timestamp,X,Y,Z
1764070974671,-0.151950,0.442050,10.407001
1764070974680,-0.085050,0.460950,10.050000
1764070974690,0.088950,0.457050,9.595051
1764070974699,0.175050,0.463950,9.435000
1764070974709,0.151050,0.367950,9.532950
1764070974718,0.139050,0.379950,9.634050
1764070974728,0.205950,0.409050,9.741000
1764070974737,0.324000,0.472950,9.840000
1764070974747,0.361950,0.414000,9.805950
1764070974756,0.240000,0.351000,9.610050
1764070974766,0.024000,0.397050,9.528001
1764070974775,-0.109050,0.484950,9.769951
1764070974785,-0.151950,0.484950,10.138950
1764070974794,0.064950,0.397050,10.383000
1764070974804,0.253950,0.373050,10.239000
1764070974813,0.181950,0.322950,9.958950
1764070974823,0.144000,0.327000,9.832050
1764070974832,-0.147000,0.409050,9.961950
1764070974842,-0.280950,0.463950,9.997951
1764070974851,-0.061050,0.382050,9.889951
1764070974861,-0.006000,0.280050,9.739051
1764070974870,0.016950,0.274950,9.562051
1764070974880,0.094050,0.247950,9.579000
1764070974889,0.046050,0.247950,9.649950
1764070974899,0.003000,0.351000,9.784950
1764070974908,-0.018000,0.339000,9.958950
1764070974918,0.052950,0.298950,10.096050
1764070974927,0.079050,0.277050,10.170000
1764070974937,0.064950,0.303000,10.060050
1764070974946,0.084000,0.397050,9.925950
1764070974956,-0.010950,0.403950,9.832050
1764070974965,-0.007950,0.310950,9.615001
1764070974975,0.075000,0.217050,9.624001
1764070974984,0.072000,0.211950,9.828000
1764070974994,0.048000,0.246000,10.053000
1764070975003,-0.013050,0.310950,10.168051
1764070975013,-0.063000,0.318000,10.042951
1764070975023,0.034050,0.295950,9.732000
1764070975032,0.111000,0.247950,9.571051
1764070975042,0.079050,0.202950,9.660001
1764070975051,0.027000,0.198000,9.916051
1764070975061,0.084000,0.241050,10.156051
1764070975070,-0.010950,0.306000,10.294950
1764070975080,-0.268950,0.358950,10.297050
1764070975089,-0.136950,0.283950,10.048051
1764070975099,0.034050,0.327000,9.727051
1764070975108,0.058050,0.382050,9.532950
1764070975118,0.003000,0.325050,9.385051
1764070975127,0.120000,0.238950,9.435000
1764070975137,0.121950,0.229050,9.676950
1764070975146,0.040950,0.289050,9.856050
1764070975156,0.027000,0.271950,9.931050
1764070975165,0.004950,0.286950,9.981001
1764070975175,0.046050,0.351000,10.090950
1764070975184,0.016950,0.375000,10.267950
1764070975194,-0.090000,0.385050,10.387951
1764070975203,-0.003000,0.394050,10.321051
1764070975213,0.036000,0.330000,10.195951
1764070975222,-0.037050,0.387000,10.009951
1764070975232,-0.019950,0.438000,9.757951
1764070975241,-0.018000,0.466050,9.511950
1764070975251,-0.106050,0.484950,9.435000
1764070975260,-0.207000,0.660000,9.627001
1764070975270,-0.172950,0.828000,9.789001
1764070975279,0.136950,0.766050,9.627001
1764070975289,0.304050,0.651000,9.478050
1764070975298,0.252000,0.502050,9.471001
1764070975308,0.103050,0.402000,9.811050
1764070975317,-0.025050,0.298950,10.354051
1764070975327,-0.055950,0.366000,10.840051
1764070975336,0.003000,0.469050,11.085001
1764070975346,0.015000,0.490050,11.049001
1764070975355,-0.043950,0.514050,10.825951
1764070975365,0.204000,0.736950,10.531951
1764070975374,0.187050,0.861000,10.132051
1764070975384,0.172950,0.709950,9.490050
1764070975393,0.276000,0.646050,8.998950
1764070975403,0.465000,0.655050,8.736000
1764070975412,0.237000,0.754050,8.683050
1764070975422,0.145950,0.973950,8.764951
1764070975431,0.367050,1.048050,9.009001
1764070975441,0.418950,1.006950,9.330001
1764070975450,0.321000,0.916050,9.703051
1764070975460,0.184950,0.895050,10.263000
1764070975469,0.120000,0.907050,10.696951
1764070975479,-0.006000,1.000050,10.918950
1764070975488,-0.135000,0.988050,10.788000
1764070975498,0.040950,0.808950,10.378051
1764070975507,0.157950,0.628950,9.978001
1764070975517,0.160950,0.703050,9.865951
1764070975526,0.019950,0.768000,10.234950
1764070975536,-0.336000,0.844950,10.699051
1764070975545,-0.460950,0.888000,10.821000
1764070975555,-0.223950,1.093950,11.017950
1764070975564,-0.187950,1.276050,11.283001
1764070975574,-0.022950,1.258950,11.046000
1764070975583,-0.187950,1.093950,10.408951
1764070975593,-0.244950,0.937950,9.721951
1764070975602,-0.133050,0.801000,9.151951
1764070975612,-0.073050,0.856950,9.030001
1764070975621,-0.001050,0.835050,9.282001
1764070975631,0.106050,0.835050,9.627001
1764070975641,0.273000,0.837000,9.729000
1764070975650,0.436050,0.663000,9.528001
1764070975660,0.532050,0.418050,9.286950
1764070975669,0.565050,0.298950,9.366000
1764070975679,0.558000,0.294000,9.612000
1764070975688,0.484050,0.454050,9.865951
1764070975698,0.369000,0.568950,10.054951
1764070975707,0.217950,0.709950,10.069051
1764070975717,0.313950,0.868950,9.729000
1764070975726,0.352050,0.913950,9.172050
1764070975736,0.136950,0.816000,8.668950
1764070975745,0.012000,0.643050,8.559000
1764070975755,0.079050,0.472950,9.004050
1764070975764,0.192000,0.445050,9.787050
1764070975774,0.283050,0.543000,10.630051
1764070975783,0.522000,0.651000,11.128051
1764070975793,0.289950,0.718050,11.085001
1764070975802,0.034050,0.768000,10.575001
1764070975812,0.187050,0.688950,9.873000
1764070975821,0.289950,0.490050,9.274950
1764070975831,0.297000,0.403950,8.664001
1764070975840,0.376050,0.291000,8.437051
1764070975850,0.321000,0.145050,8.619000
1764070975859,0.259050,0.165000,8.737950
1764070975869,0.196950,0.205050,9.078000
1764070975878,0.103050,0.289050,9.727051
1764070975888,0.067050,0.289050,10.327950
1764070975897,0.241950,0.330000,10.456950
1764070975907,0.307050,0.274950,10.234950
1764070975916,0.130050,0.271950,9.775050
1764070975926,0.175050,0.265050,9.475950
1764070975935,0.391050,0.247950,9.586050
1764070975945,0.211050,0.247950,9.634050
1764070975954,0.217950,0.258000,9.502050
1764070975964,0.340050,0.186000,9.366000
1764070975973,0.180000,0.138000,9.138000
1764070975983,0.247050,0.169050,9.028050
1764070975992,0.235050,0.154950,9.076051
1764070976002,0.111000,0.160050,9.174001
1764070976011,0.336000,0.112050,9.435000
1764070976021,0.360000,0.016050,9.816001
1764070976030,0.264000,0.000000,10.078951
1764070976040,0.328050,-0.040050,9.973950
1764070976049,0.498000,-0.055050,9.538051
1764070976059,0.361950,-0.285000,9.412951
1764070976068,0.235050,-0.567000,9.729000
1764070976078,0.180000,-0.442950,10.420951
1764070976087,0.216000,-0.118950,10.785001
1764070976097,0.133950,-0.162000,10.876051
1764070976106,-0.091950,-0.304050,10.693951
1764070976116,-0.094050,-0.313050,10.419001
1764070976125,0.208950,-0.342000,10.147950
1764070976135,0.273000,-0.427950,10.057051
1764070976144,0.295050,-0.483000,10.048051
1764070976154,0.228000,-0.423000,10.120050
1764070976163,0.136950,-0.366000,10.054951
1764070976173,0.199050,-0.421050,9.886950
1764070976182,0.337950,-0.418950,9.751050
1764070976192,0.381000,-0.421050,9.820050
1764070976201,0.460050,-0.435000,10.102950
1764070976211,0.546000,-0.265050,10.321051
1764070976220,0.460050,-0.076050,10.278001
1764070976230,0.391050,-0.076050,9.958950
1764070976239,0.594000,-0.165000,9.375000
1764070976249,0.928950,-0.184050,8.700001
1764070976259,1.099050,-0.306000,8.587050
1764070976268,0.819000,-0.298950,8.841001
1764070976278,0.577050,-0.198000,9.547951
1764070976287,0.526950,0.078000,10.347000
1764070976297,0.474000,0.271950,11.010000
1764070976306,0.337950,0.259950,11.508000
1764070976316,0.039000,0.201000,11.530050
1764070976325,-0.103950,-0.079050,10.812000
1764070976335,-0.102000,-0.378000,9.861000
1764070976344,-0.099000,-0.378000,9.186001
1764070976354,-0.376950,-0.253050,8.773951
1764070976363,-0.552000,-0.304050,8.848050
1764070976373,-0.328950,-0.322950,9.217051
1764070976382,-0.163950,-0.457050,9.457050
1764070976392,-0.166050,-0.706050,9.519000
1764070976401,-0.268950,-0.829950,9.424951
1764070976411,-0.304950,-0.904950,9.574051
1764070976420,-0.135000,-0.631950,9.982950
1764070976430,-0.022950,-0.466950,10.183950
1764070976439,-0.328950,-0.361050,10.117050
1764070976449,-0.267000,-0.177000,9.919050
1764070976458,-0.223950,-0.118950,9.622050
1764070976468,-0.187950,-0.109950,9.208051
1764070976477,0.043050,0.042000,8.953951
1764070976487,0.204000,0.081000,9.117001
1764070976496,0.160950,0.090000,9.511950
1764070976506,0.040950,0.226950,9.877951
1764070976515,-0.142050,0.223950,10.170000
1764070976525,-0.169050,0.136050,10.444950
1764070976534,0.075000,0.057000,10.483951
1764070976544,0.169950,-0.001950,10.278001
1764070976553,-0.030000,-0.067050,10.225051
1764070976563,-0.061050,-0.181950,10.201051
1764070976572,0.064950,-0.268050,10.275001
1764070976582,0.136950,-0.249000,10.258950
1764070976591,0.067050,-0.214950,10.225051
1764070976601,-0.022950,-0.237000,10.218000
1764070976610,-0.178050,-0.258000,10.186951
1764070976620,-0.259950,-0.330000,10.053000
1764070976629,-0.111000,-0.358950,9.873000
1764070976639,-0.007950,-0.244050,9.852000
1764070976648,0.084000,-0.292050,9.337050
1764070976658,-0.067950,-0.390000,8.841001
1764070976667,-0.135000,-0.426000,8.809951
1764070976677,0.024000,-0.514050,9.052051
1764070976686,0.283050,-0.531000,9.772950
1764070976696,0.300000,-0.475950,10.251000
1764070976705,-0.085050,-0.555000,10.395000
1764070976715,-0.193050,-0.613050,10.498051
1764070976724,-0.006000,-0.784950,10.396951
1764070976734,-0.102000,-0.841950,10.096050
1764070976743,-0.181050,-0.676950,10.105050
1764070976753,0.031950,-0.712950,10.086000
1764070976762,-0.066000,-0.732000,10.108050
1764070976772,-0.183000,-0.735000,10.213051
1764070976781,-0.291000,-0.711000,10.089001
1764070976791,-0.336000,-0.688950,9.840000
1764070976800,-0.220950,-0.663000,9.769951
1764070976810,0.019950,-0.568950,9.817950
1764070976819,-0.015000,-0.445050,9.934951
1764070976829,-0.015000,-0.546000,10.084050
1764070976838,-0.079950,-0.541050,10.138950
1764070976848,-0.013050,-0.634050,10.057051
1764070976858,0.132000,-0.700950,9.718050
1764070976867,0.202050,-0.667950,9.532950
1764070976877,0.108000,-0.610050,9.475950
1764070976886,-0.078000,-0.517050,9.688951
1764070976896,-0.070050,-0.495000,9.982950
1764070976905,0.010050,-0.510000,10.255951
1764070976915,-0.031950,-0.454950,10.323001
1764070976924,-0.099000,-0.499950,10.242001
1764070976934,-0.142050,-0.615000,9.876000
1764070976943,-0.211950,-0.483000,9.841950
1764070976953,0.154050,-0.595950,9.897000
1764070976962,0.108000,-0.579000,9.793950
1764070976972,-0.051000,-0.487950,9.733951
1764070976981,-0.054000,-0.553050,9.622050
1764070976991,-0.154050,-0.571950,9.550051
1764070977000,-0.219000,-0.414000,9.586050
1764070977010,-0.166050,-0.328050,9.640950
1764070977019,-0.097050,-0.471000,9.592951
1764070977029,-0.123000,-0.579000,9.627001
1764070977038,-0.190050,-0.736950,9.688951
1764070977048,-0.136950,-0.862050,9.943050
1764070977057,-0.109050,-0.730050,10.267950
1764070977067,-0.121050,-0.589050,10.488001
1764070977076,-0.121050,-0.531000,10.600950
1764070977086,-0.106050,-0.439950,10.515000
1764070977095,-0.094050,-0.378000,10.318050
1764070977105,-0.091950,-0.423000,10.036051
1764070977114,0.169950,-0.433050,9.672001
1764070977124,0.361950,-0.493050,9.277050
1764070977133,0.223050,-0.543000,9.049050
1764070977143,0.139050,-0.595950,9.178950
1764070977152,-0.007950,-0.574050,9.487950
1764070977162,-0.274050,-0.414000,9.703051
1764070977171,-0.340950,-0.394950,9.907050
1764070977181,-0.298050,-0.445050,10.093050
1764070977190,-0.172950,-0.391950,10.222951
1764070977200,-0.115950,-0.390000,10.294950
1764070977209,0.088950,-0.457050,10.263000
1764070977219,0.115050,-0.507000,9.952050
1764070977228,-0.073050,-0.579000,9.604951
1764070977238,-0.190050,-0.589050,9.543000
1764070977247,-0.226050,-0.603000,9.907050
1764070977257,-0.085050,-0.474000,10.366051
1764070977266,0.027000,-0.355950,10.623000
1764070977276,0.111000,-0.430950,10.447950
1764070977285,0.169950,-0.229050,10.249050
1764070977295,0.082050,-0.186000,10.120050
1764070977304,-0.073050,-0.238950,9.921000
1764070977314,-0.073050,-0.262950,9.591001
1764070977323,-0.130050,-0.189000,9.495001
1764070977333,-0.042000,-0.222000,9.375000
1764070977342,0.070050,-0.330000,9.214951
1764070977352,0.082050,-0.411000,9.052051
1764070977361,-0.022950,-0.423000,9.247951
1764070977371,0.120000,-0.343950,9.562051
1764070977380,0.340050,-0.349050,9.844050
1764070977390,0.307050,-0.459000,10.081051
1764070977399,0.277950,-0.534000,10.447950
1764070977409,0.312000,-0.505050,10.587001
1764070977418,0.313950,-0.471000,10.522051
1764070977428,0.388050,-0.387000,10.335000
1764070977437,0.264000,-0.286950,9.922951
1764070977447,0.103050,-0.273000,9.484950
1764070977456,-0.006000,-0.340050,9.319950
1764070977466,-0.055950,-0.406950,9.427951
1764070977476,-0.027000,-0.397050,9.604951
1764070977485,0.148950,-0.435000,9.744000
1764070977495,0.202050,-0.439950,9.811050
1764070977504,0.235050,-0.451950,9.940050
1764070977514,0.385950,-0.438000,10.042951
1764070977523,0.397950,-0.403950,10.026000
1764070977533,0.276000,-0.330000,10.036051
1764070977542,0.223050,-0.222000,10.101001
1764070977552,0.433950,-0.232050,10.074000
1764070977561,0.417000,-0.364050,9.859051
1764070977571,0.466950,-0.502050,9.841950
1764070977580,0.577050,-0.490050,10.050000
1764070977590,0.513000,-0.403950,10.138950
1764070977599,0.469950,-0.354000,10.042951
1764070977609,0.385950,-0.387000,10.000051
1764070977618,0.441000,-0.340050,10.014001
1764070977628,0.436050,-0.273000,9.889951
1764070977637,0.382950,-0.325050,9.733951
1764070977647,0.355050,-0.282000,9.751050
1764070977656,0.376050,-0.213000,9.871051
1764070977666,0.430950,-0.285000,9.760950
1764070977675,0.373950,-0.318000,9.745951
1764070977685,0.321000,-0.280050,9.904051
1764070977694,0.247050,-0.318000,10.183950
1764070977704,0.280950,-0.322950,10.290001
1764070977713,0.319050,-0.313050,10.338000
1764070977723,0.271050,-0.274950,10.249050
1764070977732,0.156000,-0.196050,9.981001
1764070977742,0.121950,-0.162000,9.753000
1764070977751,0.244950,-0.166950,9.706051
1764070977761,0.312000,-0.229050,9.805950
1764070977770,0.213000,-0.249000,9.997951
1764070977780,0.145950,-0.277050,10.263000
1764070977789,0.133950,-0.376050,10.420951
1764070977799,0.067050,-0.391950,10.339951
1764070977808,0.043050,-0.256050,9.958950
1764070977818,0.166050,-0.214950,9.496950
1764070977827,0.204000,-0.190950,9.117001
1764070977837,0.039000,-0.292050,8.857950
1764070977846,-0.181050,-0.366000,8.857950
1764070977856,-0.238050,-0.328050,9.175950
1764070977865,-0.148950,-0.246000,9.574051
1764070977875,-0.063000,-0.256050,9.898951
1764070977884,0.010050,-0.198000,10.230000
1764070977894,0.051000,-0.157950,10.572001
1764070977903,-0.070050,-0.160050,10.776001
1764070977913,-0.196950,-0.138000,10.737000
1764070977922,0.007950,-0.153000,10.491000
1764070977932,0.204000,-0.289050,10.069051
1764070977941,0.271050,-0.403950,9.579000
1764070977951,0.205950,-0.367950,9.118951
1764070977960,0.070050,-0.250950,8.797951
1764070977970,0.060000,-0.177000,8.772000
1764070977979,0.154050,-0.226950,8.887051
1764070977989,0.292050,-0.378000,9.082951
1764070977998,0.400050,-0.237000,9.616950
1764070978008,0.415050,-0.069000,10.278001
1764070978017,0.513000,0.037950,10.869000
1764070978027,0.553050,0.114000,11.086950
1764070978036,0.862050,-0.334950,11.382001
1764070978046,0.810000,-0.534000,11.524951
1764070978055,0.688050,-0.387000,11.599051
1764070978065,0.168000,-0.121950,11.242950
1764070978074,-0.102000,-0.076050,10.723050
1764070978084,-0.195000,-0.103050,10.230000
1764070978094,0.075000,-0.043050,9.816001
1764070978103,0.199050,-0.045000,9.454050
1764070978113,0.121950,-0.048000,9.184051
1764070978122,-0.013050,-0.061950,8.913000
1764070978132,-0.315000,-0.028050,8.724000
1764070978141,-0.520950,0.045000,8.710051
1764070978151,-0.397950,-0.012000,8.784000
1764070978160,-0.037050,-0.055050,9.400950
1764070978170,0.133950,0.025950,9.765000
1764070978179,-0.054000,0.136050,9.523951
1764070978189,-0.292950,0.220050,9.346050
1764070978198,-0.372000,0.196050,9.418051
1764070978208,-0.415050,0.184050,9.628950
1764070978217,-0.379050,0.162000,9.885000
1764070978227,-0.355050,0.136050,10.113001
1764070978236,-0.280950,0.141000,10.113001
1764070978246,-0.469950,0.046950,9.985950
1764070978255,-0.669000,-0.070950,10.000051
1764070978265,-0.772050,-0.115050,9.946951
1764070978274,-0.340950,-0.285000,10.029000
1764070978284,-0.013050,-0.244050,10.249050
1764070978293,0.060000,-0.076050,10.606050
1764070978303,-0.075000,0.040050,10.917001
1764070978312,-0.043950,0.307950,11.061001
1764070978322,-0.058050,0.463950,10.725000
1764070978331,-0.228000,0.450000,10.275001
1764070978341,-0.160950,0.334950,9.793950
1764070978350,-0.196950,0.189000,9.447001
1764070978360,-0.340950,0.100050,9.457050
1764070978369,-0.418050,0.133050,9.706051
1764070978379,-0.430050,0.136050,9.901951
1764070978388,-0.328950,0.040050,9.922951
1764070978398,-0.520950,-0.009000,9.660001
1764070978407,-0.232950,-0.361050,9.112050
1764070978417,0.187050,-0.562050,8.712001
1764070978426,0.505950,-0.367950,8.611051
1764070978436,0.514950,-0.129000,8.791050
1764070978445,0.118050,0.106950,9.315001
1764070978455,-0.364950,0.148050,9.811050
1764070978464,-0.391050,-0.093000,10.644000
1764070978474,-0.492000,-0.160050,11.130000
1764070978483,-0.964050,-0.415950,11.346001
1764070978493,-1.239000,-0.747000,11.247001
1764070978502,-1.204950,-0.790050,10.864051
1764070978512,-1.119000,-0.723000,10.237050
1764070978521,-1.114050,-0.663000,9.600000
1764070978531,-1.027950,-0.703950,9.247951
1764070978540,-0.703050,-0.682050,9.129001
1764070978550,-0.466050,-0.471000,9.054001
1764070978559,-0.339000,-0.337050,8.820001
1764070978569,-0.394050,-0.232050,8.677951
1764070978578,-0.640050,-0.214950,8.656950
1764070978588,-1.009050,-0.301050,8.821950
1764070978597,-1.153050,-0.306000,9.222000
1764070978607,-1.123950,-0.241050,9.724951
1764070978616,-0.901050,-0.268050,9.943050
1764070978626,-0.637950,-0.193950,10.078951
1764070978635,-0.559050,0.042000,10.285050
1764070978645,-0.703050,-0.064050,10.222951
1764070978654,-0.382050,-0.057000,10.227000
1764070978664,0.247050,0.040050,10.311001
1764070978673,-0.085050,-0.085950,10.113001
1764070978683,-0.669000,0.009000,10.150950
1764070978693,-0.691050,0.019050,10.407001
1764070978702,-0.646950,-0.217950,10.563001
1764070978712,-0.631050,-0.370950,10.471951
1764070978721,-0.829050,-0.358950,10.306050
1764070978731,-0.958950,-0.304050,10.077001
1764070978740,-0.844050,-0.232050,9.853951
1764070978750,-0.894000,-0.249000,9.729000
1764070978759,-0.817050,-0.208050,9.792001
1764070978769,-0.781950,-0.178950,9.789001
1764070978778,-0.940050,-0.304050,9.753000
1764070978788,-0.886950,-0.366000,9.616950
1764070978797,-0.753000,-0.246000,9.363001
1764070978807,-1.014000,-0.154950,9.306001
1764070978816,-1.284000,-0.217950,9.490050
1764070978826,-1.147950,-0.280050,9.784950
1764070978835,-0.802950,-0.289050,10.153050
1764070978845,-0.541950,-0.196050,10.291950
1764070978854,-0.528000,-0.138000,10.263000
1764070978864,-0.717000,-0.133950,10.060050
1764070978873,-0.949050,-0.172050,9.571051
1764070978883,-1.105050,-0.210000,9.112050
1764070978892,-1.122000,-0.316050,8.781000
1764070978902,-0.894000,-0.547950,8.508000
1764070978911,-0.564000,-0.556950,8.118000
1764070978921,-0.307050,-0.415950,8.098950
1764070978930,-0.217050,-0.304050,8.614051
1764070978940,-0.078000,-0.186000,9.478050
1764070978949,0.121950,-0.166950,10.455001
1764070978959,0.121950,-0.256050,11.137051
1764070978968,0.004950,-0.343950,11.371950
1764070978978,-0.322050,-0.343950,11.224051
1764070978987,-0.652050,-0.462000,10.792951
1764070978997,-0.774000,-0.627000,10.254001
1764070979006,-0.508950,-0.682050,9.745951
1764070979016,-0.322050,-0.672000,9.511950
1764070979025,-0.511050,-0.652950,9.580951
1764070979035,-0.592050,-0.639000,9.816001
1764070979044,-0.264000,-0.589050,10.254001
1764070979054,0.108000,-0.538050,10.587001
1764070979063,0.211050,-0.486000,10.797001
1764070979073,0.259050,-0.519000,10.714050
1764070979082,0.228000,-0.493050,10.333051
1764070979092,-0.007950,-0.451950,9.961950
1764070979101,-0.339000,-0.519000,9.667050
1764070979111,-0.549000,-0.720000,9.610050
1764070979120,-0.568050,-0.868950,9.643050
1764070979130,-0.322050,-0.940950,9.895050
1764070979139,-0.130050,-0.925950,10.242001
1764070979149,-0.142050,-0.732000,10.491000
1764070979158,-0.115950,-0.577050,10.471951
1764070979168,0.193950,-0.586050,10.261050
1764070979177,0.391050,-0.652950,9.871051
1764070979187,0.103050,-0.672000,9.571051
1764070979196,-0.336000,-0.712950,9.436951
1764070979206,-0.525000,-0.829950,9.616950
1764070979215,-0.334050,-0.960000,9.864000
1764070979225,-0.070050,-0.913950,10.084050
1764070979234,0.204000,-0.832950,10.363951
1764070979244,0.235050,-0.823050,10.531951
1764070979253,0.139050,-0.796950,10.326000
1764070979263,0.172950,-0.771000,9.990001
1764070979272,0.070050,-0.708000,9.649950
1764070979282,-0.292950,-0.841950,9.403951
1764070979291,-0.444000,-0.901950,9.378000
1764070979301,-0.147000,-0.865950,9.732000
1764070979311,0.244950,-0.802050,10.129050
1764070979320,0.388050,-0.696000,10.278001
1764070979330,0.364050,-0.652950,10.267950
1764070979339,0.213000,-0.643950,10.165051
1764070979349,-0.073050,-0.652950,9.876000
1764070979358,-0.304950,-0.627000,9.544950
1764070979368,-0.372000,-0.718050,9.175950
1764070979377,-0.364950,-0.747000,8.857950
1764070979387,-0.420000,-0.529050,8.815050
1764070979396,-0.372000,-0.250950,8.997001
1764070979406,-0.276000,-0.093000,9.412951
1764070979415,-0.223950,-0.025950,9.897000
1764070979425,-0.262050,-0.045000,10.263000
