timestamp,X,Y,Z
1764070974671,0.037400,0.065725,-0.003162
1764070974681,0.049638,0.010725,0.004125
1764070974690,0.025162,-0.005087,0.002887
1764070974700,0.001925,-0.022275,0.001650
1764070974709,-0.005362,-0.012512,0.001650
1764070974719,-0.018838,0.020488,0.005362
1764070974728,-0.034650,0.085250,0.001650
1764070974738,-0.038362,0.142725,-0.005637
1764070974747,-0.040700,0.156200,-0.014162
1764070974757,-0.067650,0.124437,-0.022688
1764070974766,-0.106700,0.081675,-0.020350
1764070974776,-0.121413,0.024200,-0.006875
1764070974785,-0.100650,-0.017325,-0.001925
1764070974795,-0.057887,0.013200,-0.008112
1764070974804,-0.034650,0.109725,-0.021450
1764070974814,-0.028600,0.176962,-0.027638
1764070974823,-0.027362,0.181775,-0.021450
1764070974833,-0.021175,0.107250,-0.003162
1764070974842,-0.012650,-0.000275,-0.000687
1764070974852,-0.002887,-0.078375,-0.001925
1764070974861,-0.004125,-0.111375,0.001650
1764070974871,-0.026125,-0.089375,0.004125
1764070974880,-0.055413,-0.065037,0.001650
1764070974890,-0.078650,-0.058850,0.002887
1764070974899,-0.082363,-0.069850,-0.001925
1764070974909,-0.067650,-0.076037,-0.000687
1764070974918,-0.040700,-0.012512,-0.003162
1764070974928,-0.013888,0.086488,-0.005637
1764070974937,-0.005362,0.152488,-0.005637
1764070974947,-0.010175,0.134200,-0.003162
1764070974956,-0.023650,0.059675,-0.001925
1764070974966,-0.050600,0.029150,-0.005637
1764070974975,-0.055413,0.037675,-0.005637
1764070974985,-0.046887,0.036438,-0.005637
1764070974994,-0.028600,0.015675,-0.008112
1764070975004,-0.005362,-0.019800,-0.008112
1764070975013,0.005637,-0.039325,-0.010450
1764070975023,-0.008938,-0.035613,-0.008112
1764070975033,-0.033413,-0.028325,-0.009350
1764070975042,-0.044413,-0.036850,-0.010450
1764070975052,-0.030938,-0.045375,-0.012925
1764070975061,-0.004125,-0.023375,-0.017875
1764070975071,0.026400,-0.000275,-0.015400
1764070975080,0.052113,0.000962,-0.005637
1764070975090,0.058162,0.018150,-0.005637
1764070975099,0.041113,0.033962,-0.004400
1764070975109,0.009350,0.019250,-0.003162
1764070975118,-0.030938,-0.005087,0.001650
1764070975128,-0.055413,-0.024612,0.000412
1764070975137,-0.059125,-0.033275,-0.006875
1764070975147,-0.060362,-0.038087,-0.010450
1764070975156,-0.055413,-0.046613,-0.010450
1764070975166,-0.046887,-0.012512,-0.006875
1764070975175,-0.030938,0.046200,-0.006875
1764070975185,-0.004125,0.058438,-0.000687
1764070975194,0.030112,0.030250,-0.000687
1764070975204,0.065587,0.029150,-0.001925
1764070975213,0.092400,0.031487,0.001650
1764070975223,0.102163,0.002200,0.005362
1764070975232,0.093637,-0.049087,0.007838
1764070975242,0.066688,-0.116325,0.016362
1764070975251,0.030112,-0.192088,0.029838
1764070975261,0.005637,-0.294663,0.042075
1764070975270,-0.012650,-0.308138,0.045650
1764070975280,-0.027362,-0.162663,0.042075
1764070975289,-0.046887,-0.006325,0.046887
1764070975299,-0.093363,0.077963,0.053075
1764070975308,-0.118937,0.075488,0.057887
1764070975318,-0.092125,0.025438,0.048125
1764070975327,-0.018838,0.022962,0.040838
1764070975337,0.075350,0.069437,0.039600
1764070975346,0.160875,0.084013,0.042075
1764070975356,0.223163,0.030250,0.027362
1764070975365,0.275687,0.033962,-0.009350
1764070975375,0.296450,0.033962,-0.021450
1764070975384,0.267163,0.053487,-0.020350
1764070975394,0.224400,0.108488,-0.009350
1764070975403,0.160875,0.121963,-0.017875
1764070975413,0.075350,0.103675,-0.021450
1764070975422,-0.011412,0.062013,-0.027638
1764070975432,-0.079888,-0.017325,-0.041113
1764070975441,-0.126225,-0.083325,-0.049638
1764070975451,-0.138462,-0.134613,-0.055687
1764070975460,-0.104363,-0.195662,-0.055687
1764070975470,-0.041938,-0.200613,-0.054450
1764070975479,0.034925,-0.118800,-0.049638
1764070975489,0.108213,-0.005087,-0.036162
1764070975498,0.155925,0.088963,-0.027638
1764070975508,0.163212,0.190300,-0.032450
1764070975517,0.153450,0.251487,-0.033687
1764070975527,0.160875,0.229487,-0.041113
1764070975536,0.191400,0.173250,-0.016638
1764070975546,0.196213,0.053487,0.017600
1764070975555,0.201163,-0.088137,0.029838
1764070975565,0.220687,-0.165137,0.044413
1764070975574,0.220687,-0.118800,0.031075
1764070975584,0.179163,-0.041800,0.034650
1764070975593,0.104637,-0.021038,0.056650
1764070975603,0.011825,-0.035613,0.078650
1764070975612,-0.059125,-0.090613,0.095837
1764070975622,-0.076175,-0.179850,0.099413
1764070975631,-0.041938,-0.255612,0.093363
1764070975641,0.003162,-0.289712,0.072600
1764070975651,0.005637,-0.218900,0.043175
1764070975660,-0.039600,-0.080850,0.013888
1764070975670,-0.089650,0.060913,-0.019112
1764070975679,-0.126225,0.115775,-0.066688
1764070975689,-0.142175,0.069437,-0.110688
1764070975698,-0.146987,-0.028325,-0.141212
1764070975708,-0.148225,-0.111375,-0.146162
1764070975717,-0.168987,-0.138325,-0.143688
1764070975727,-0.237463,-0.162663,-0.130213
1764070975736,-0.331513,-0.215188,-0.098450
1764070975746,-0.423225,-0.227425,-0.065450
1764070975755,-0.456087,-0.182325,-0.049638
1764070975765,-0.402325,-0.126088,-0.049638
1764070975774,-0.264275,-0.017325,-0.053213
1764070975784,-0.109175,0.082912,-0.070400
1764070975793,0.008112,0.115775,-0.061875
1764070975803,0.075350,0.090200,-0.033687
1764070975812,0.086350,0.035200,-0.017875
1764070975822,0.050875,-0.054038,-0.008112
1764070975831,-0.019938,-0.110137,-0.006875
1764070975841,-0.095700,-0.130900,-0.014162
1764070975850,-0.156888,-0.135850,-0.005637
1764070975860,-0.219175,-0.143137,-0.001925
1764070975869,-0.265512,-0.143137,0.007838
1764070975879,-0.256988,-0.139563,0.032175
1764070975888,-0.209413,-0.069850,0.057887
1764070975898,-0.162937,0.054725,0.067650
1764070975907,-0.129937,0.136537,0.070125
1764070975917,-0.107937,0.124437,0.081125
1764070975926,-0.087175,0.090200,0.079888
1764070975936,-0.055413,0.063250,0.062837
1764070975945,-0.022412,0.049913,0.061600
1764070975955,0.009350,0.037675,0.053075
1764070975964,0.019112,-0.036850,0.042075
1764070975974,-0.006600,-0.133375,0.039600
1764070975983,-0.059125,-0.222613,0.020075
1764070975993,-0.132412,-0.282425,0.002887
1764070976002,-0.211750,-0.305663,0.001650
1764070976012,-0.270463,-0.245850,0.000412
1764070976021,-0.282700,-0.132137,0.005362
1764070976031,-0.234987,-0.039325,0.021312
1764070976040,-0.179988,0.013200,0.032175
1764070976050,-0.160462,-0.036850,0.037125
1764070976059,-0.162937,-0.121137,0.046887
1764070976069,-0.159225,-0.129662,0.051838
1764070976078,-0.126225,-0.005087,0.057887
1764070976088,-0.062700,0.136537,0.060362
1764070976097,0.009350,0.207487,0.070125
1764070976107,0.055687,0.217250,0.090888
1764070976116,0.076450,0.186725,0.112888
1764070976126,0.083875,0.158537,0.117700
1764070976135,0.069163,0.154962,0.126363
1764070976145,0.038638,0.202537,0.131175
1764070976154,0.009350,0.289300,0.132412
1764070976164,-0.013888,0.330825,0.133650
1764070976173,-0.038362,0.319825,0.134888
1764070976183,-0.051700,0.247775,0.127600
1764070976192,-0.035887,0.121963,0.112888
1764070976202,0.001925,0.009488,0.084837
1764070976211,0.037400,-0.027088,0.050600
1764070976221,0.060638,0.009488,0.024888
1764070976230,0.055687,0.063250,0.010312
1764070976240,0.015400,0.097488,-0.008112
1764070976249,-0.068888,0.087725,-0.037400
1764070976259,-0.168987,0.054725,-0.076450
1764070976269,-0.247225,-0.005087,-0.111925
1764070976278,-0.256988,-0.019800,-0.142450
1764070976288,-0.206937,0.029150,-0.164450
1764070976297,-0.096937,0.106013,-0.172975
1764070976307,0.087450,0.168300,-0.172975
1764070976316,0.268263,0.240488,-0.168162
1764070976326,0.345262,0.290538,-0.157163
1764070976335,0.306212,0.301537,-0.137637
1764070976345,0.196213,0.238012,-0.119213
1764070976354,0.064350,0.110963,-0.082637
1764070976364,-0.039600,-0.027088,-0.037400
1764070976373,-0.090888,-0.118800,-0.005637
1764070976383,-0.107937,-0.108900,0.007838
1764070976392,-0.116462,-0.054038,0.022412
1764070976402,-0.121413,-0.006325,0.048125
1764070976411,-0.098175,0.041250,0.078650
1764070976421,-0.023650,0.065725,0.082363
1764070976430,0.071637,0.069437,0.067650
1764070976440,0.150975,0.090200,0.070125
1764070976449,0.191400,0.099963,0.054175
1764070976459,0.180400,0.095013,0.035887
1764070976468,0.085112,0.113437,0.010312
1764070976478,-0.068888,0.115775,-0.012925
1764070976487,-0.223988,0.054725,-0.030112
1764070976497,-0.337700,-0.018562,-0.030112
1764070976506,-0.399987,-0.107800,-0.026400
1764070976516,-0.414562,-0.211612,-0.023925
1764070976525,-0.380462,-0.268950,-0.015400
1764070976535,-0.314463,-0.250663,-0.015400
1764070976544,-0.261937,-0.200613,-0.015400
1764070976554,-0.204462,-0.149325,-0.000687
1764070976563,-0.160462,-0.076037,0.000412
1764070976573,-0.123888,0.037675,-0.003162
1764070976582,-0.098175,0.143963,-0.009350
1764070976592,-0.079888,0.196488,-0.014162
1764070976601,-0.067650,0.208725,-0.016638
1764070976611,-0.057887,0.192775,-0.011688
1764070976620,-0.054175,0.189200,-0.012925
1764070976630,-0.051700,0.203775,-0.021450
1764070976639,-0.034650,0.151250,-0.004400
1764070976649,-0.068888,0.095013,-0.021450
1764070976658,-0.128700,0.029150,-0.031350
1764070976668,-0.188650,-0.099137,-0.012925
1764070976677,-0.228937,-0.123613,-0.014162
1764070976687,-0.217937,-0.016088,-0.028875
1764070976696,-0.190987,0.068200,-0.054450
1764070976706,-0.173937,0.110963,-0.060638
1764070976715,-0.138462,0.117013,-0.042350
1764070976725,-0.128700,0.102437,-0.060638
1764070976734,-0.143413,0.117013,-0.071637
1764070976744,-0.132412,0.053487,-0.054450
1764070976753,-0.099413,-0.006325,-0.047162
1764070976763,-0.044413,-0.003850,-0.023925
1764070976772,0.016638,0.027912,-0.008112
1764070976782,0.053350,0.040150,0.002887
1764070976791,0.048400,0.016912,0.017600
1764070976801,0.036162,-0.021038,0.033413
1764070976810,0.027638,-0.056375,0.035887
1764070976820,0.032587,-0.090613,0.059125
1764070976829,0.036162,-0.074800,0.048125
1764070976839,0.056925,-0.000275,0.046887
1764070976848,0.065587,0.040150,0.040838
1764070976858,0.045925,0.062013,0.028600
1764070976868,0.015400,0.035200,0.015125
1764070976877,-0.017600,-0.028325,0.005362
1764070976887,-0.022412,-0.090613,0.001650
1764070976896,0.004400,-0.096800,-0.001925
1764070976906,0.048400,-0.057613,-0.003162
1764070976915,0.105875,-0.030800,0.017600
1764070976925,0.130213,-0.013612,0.011412
1764070976934,0.108213,0.030250,-0.011688
1764070976944,0.070400,0.016912,0.002887
1764070976953,0.043587,0.019250,-0.014162
1764070976963,0.028875,0.004675,-0.023925
1764070976972,0.028875,-0.040562,-0.025162
1764070976982,0.030112,-0.035613,-0.026400
1764070976991,0.023925,-0.021038,-0.026400
1764070977001,0.022825,-0.029562,-0.021450
1764070977010,0.012925,-0.035613,-0.019112
1764070977020,-0.007838,-0.035613,-0.016638
1764070977029,-0.035887,-0.056375,-0.019112
1764070977039,-0.071363,-0.032038,-0.012925
1764070977048,-0.095700,0.015675,-0.004400
1764070977058,-0.084700,0.019250,0.002887
1764070977067,-0.039600,-0.013612,0.011412
1764070977077,0.028875,-0.044275,0.022412
1764070977086,0.100925,-0.038087,0.029838
1764070977096,0.154687,-0.002612,0.026125
1764070977105,0.171875,0.044962,0.027362
1764070977115,0.147400,0.082912,0.013888
1764070977124,0.091163,0.087725,-0.006875
1764070977134,0.022825,0.063250,-0.017875
1764070977143,-0.027362,0.032725,-0.037400
1764070977153,-0.055413,0.013200,-0.049638
1764070977162,-0.079888,-0.024612,-0.047162
1764070977172,-0.094462,-0.082088,-0.033687
1764070977181,-0.085938,-0.126088,-0.020350
1764070977191,-0.052938,-0.152900,-0.011688
1764070977200,-0.007838,-0.162663,-0.003162
1764070977210,0.038638,-0.139563,-0.000687
1764070977219,0.054587,-0.067375,-0.006875
1764070977229,0.034925,-0.013612,-0.006875
1764070977238,0.010588,0.033962,-0.001925
1764070977248,0.017875,0.095013,-0.004400
1764070977257,0.065587,0.129250,-0.011688
1764070977267,0.115637,0.121963,-0.022688
1764070977276,0.142450,0.070675,-0.033687
1764070977286,0.159637,0.021725,-0.028875
1764070977295,0.168162,-0.045375,-0.022688
1764070977305,0.154687,-0.097900,-0.009350
1764070977314,0.113163,-0.060087,0.001650
1764070977324,0.075350,0.025438,0.022412
1764070977333,0.045925,0.091437,0.038362
1764070977343,0.004400,0.092675,0.051838
1764070977352,-0.056650,0.037675,0.062837
1764070977362,-0.106700,-0.033275,0.081125
1764070977371,-0.138462,-0.078375,0.085938
1764070977381,-0.146987,-0.148088,0.079888
1764070977390,-0.132412,-0.198137,0.083600
