timestamp,X,Y,Z
1764073296509,0.229843,-0.038307,9.734824
1764073296517,0.239420,-0.043096,9.749189
1764073296525,0.234632,-0.028730,9.710882
1764073296533,0.244209,-0.028730,9.797073
1764073296541,0.239420,-0.052672,9.701305
1764073296549,0.253785,-0.033519,9.830592
1764073296557,0.248997,-0.038307,9.696517
1764073296565,0.244209,-0.052672,9.749189
1764073296573,0.239420,-0.009577,9.792285
1764073296581,0.248997,-0.052672,9.725247
1764073296589,0.253785,-0.043096,9.753978
1764073296597,0.248997,-0.033519,9.753978
1764073296605,0.244209,-0.047884,9.734824
1764073296613,0.234632,-0.023942,9.801862
1764073296621,0.229843,-0.043096,9.677363
1764073296629,0.234632,-0.038307,9.758766
1764073296637,0.234632,-0.043096,9.749189
1764073296645,0.244209,-0.038307,9.744401
1764073296653,0.258574,-0.043096,9.768343
1764073296661,0.253785,-0.038307,9.749189
1764073296669,0.253785,-0.033519,9.730036
1764073296677,0.258574,-0.047884,9.768343
1764073296685,0.253785,-0.028730,9.744401
1764073296693,0.244209,-0.038307,9.725247
1764073296701,0.239420,-0.028730,9.768343
1764073296709,0.229843,-0.038307,9.720459
1764073296717,0.244209,-0.033519,9.758766
1764073296725,0.239420,-0.047884,9.725247
1764073296733,0.244209,-0.028730,9.753978
1764073296741,0.253785,-0.023942,9.749189
1764073296749,0.253785,-0.052672,9.734824
1764073296757,0.239420,-0.033519,9.739613
1764073296765,0.239420,-0.033519,9.763555
1764073296773,0.244209,-0.033519,9.725247
1764073296781,0.239420,-0.023942,9.768343
1764073296789,0.244209,-0.047884,9.725247
1764073296797,0.248997,-0.033519,9.749189
1764073296805,0.229843,-0.028730,9.744401
1764073296813,0.234632,-0.043096,9.739613
1764073296821,0.244209,-0.043096,9.763555
1764073296829,0.258574,-0.043096,9.730036
1764073296837,0.248997,-0.038307,9.730036
1764073296845,0.234632,-0.038307,9.801862
1764073296853,0.234632,-0.038307,9.706094
1764073296861,0.229843,-0.038307,9.753978
1764073296869,0.244209,-0.033519,9.777920
1764073296877,0.229843,-0.023942,9.725247
1764073296885,0.258574,-0.033519,9.753978
1764073296893,0.248997,-0.028730,9.739613
1764073296901,0.258574,-0.023942,9.744401
1764073296909,0.253785,-0.047884,9.768343
1764073296917,0.244209,-0.038307,9.744401
1764073296925,0.263362,-0.038307,9.773131
1764073296933,0.248997,-0.047884,9.734824
1764073296941,0.244209,-0.033519,9.744401
1764073296949,0.239420,-0.038307,9.758766
1764073296957,0.244209,-0.043096,9.715671
