timestamp,X,Y,Z
1764068109926,-0.090562,-0.021256,9.798773
1764068109936,-0.08652,-0.023052,9.801019
1764068109946,-0.105531,-0.019909,9.808503
1764068109956,-0.102088,-0.018112,9.805958
1764068109966,-0.111069,-0.025597,9.823622
1764068109976,-0.125739,0.002545,9.812694
1764068109986,-0.114362,-0.012574,9.818682
1764068109997,-0.102986,-0.022603,9.800121
1764068110007,-0.078886,-0.008383,9.792636
1764068110017,-0.084874,-0.016166,9.803414
1764068110027,-0.103585,-0.020058,9.799222
1764068110037,-0.117206,-0.017364,9.813593
1764068110047,-0.121996,-0.005838,9.81943
1764068110057,-0.116009,-0.00973,9.800869
1764068110067,-0.103435,-0.003293,9.794133
1764068110077,-0.105381,-0.017663,9.793385
1764068110087,-0.118104,-0.010329,9.80985
1764068110097,-0.101938,0.007185,9.794582
1764068110107,-0.106129,-0.027243,9.81015
1764068110117,-0.094603,-0.002245,9.821526
1764068110127,-0.102836,-0.020956,9.796827
1764068110137,-0.10598,-0.023202,9.809701
1764068110147,-0.113165,-0.017514,9.802516
1764068110157,-0.090711,-0.020058,9.817784
1764068110167,-0.094154,-0.009879,9.78575
1764068110177,-0.099393,-0.018412,9.803563
1764068110187,-0.111219,-0.029638,9.80521
1764068110197,-0.102836,-0.025597,9.805509
1764068110207,-0.096849,-0.007185,9.820329
1764068110217,-0.088616,-0.021555,9.804761
1764068110227,-0.092059,-0.022154,9.809701
1764068110237,-0.104632,-0.018861,9.803114
1764068110247,-0.099244,-0.01422,9.808503
1764068110257,-0.093106,-0.008682,9.811796
1764068110267,-0.085921,-0.011077,9.805659
1764068110277,-0.110021,-0.018861,9.807755
1764068110287,-0.110321,-0.015717,9.81943
1764068110298,-0.103734,-0.007035,9.811647
1764068110308,-0.092208,-0.02889,9.796977
1764068110318,-0.089664,-0.022902,9.812844
1764068110328,-0.097447,-0.017663,9.810898
1764068110338,-0.106279,-0.037272,9.812994
1764068110348,-0.093855,-0.001946,9.795031
1764068110358,-0.101639,-0.017813,9.793235
1764068110368,-0.090562,-0.016615,9.821077
1764068110378,-0.092807,-0.021405,9.799671
1764068110388,-0.089963,-0.017065,9.807755
1764068110398,-0.104333,-0.003293,9.806707
1764068110408,-0.084424,-0.011376,9.817035
1764068110418,-0.095801,-0.02395,9.806557
1764068110428,-0.085622,-0.017065,9.802965
1764068110438,-0.108524,-0.010179,9.807306
1764068110448,-0.097747,-0.024399,9.805659
1764068110458,-0.103435,-0.010778,9.811946
1764068110468,-0.085323,-0.013771,9.804761
1764068110478,-0.095501,-0.019759,9.807306
1764068110488,-0.084125,-0.004491,9.799522
1764068110498,-0.106878,-0.018412,9.810449
1764068110508,-0.086221,-0.009281,9.802965
1764068110518,-0.084724,-0.015418,9.803713
1764068110528,-0.090412,-0.00958,9.799671
1764068110538,-0.103585,-0.015717,9.792786
1764068110548,-0.108524,-0.020208,9.803264
1764068110558,-0.0961,-0.009281,9.805809
1764068110568,-0.092508,-0.020657,9.807904
1764068110578,-0.082628,-0.007934,9.809401
1764068110588,-0.103884,-0.017813,9.809701
1764068110599,-0.097148,-0.021106,9.809401
1764068110609,-0.102088,-0.019759,9.795331
1764068110619,-0.092059,-0.017065,9.799821
1764068110629,-0.089214,-0.008083,9.796827
1764068110639,-0.106279,-0.011825,9.812545
1764068110649,-0.10119,-0.025746,9.803114
1764068110659,-0.09116,-0.039218,9.799222
1764068110669,-0.095352,-0.015717,9.807006
1764068110679,-0.113165,-0.027543,9.808353
1764068110689,-0.107776,-0.008083,9.797726
1764068110699,-0.091759,-0.012724,9.801617
1764068110709,-0.104333,-0.02425,9.806258
1764068110719,-0.092807,-0.010029,9.807006
1764068110729,-0.086969,-0.028441,9.802965
1764068110739,-0.103734,-0.009131,9.807755
1764068110749,-0.114811,-0.015867,9.811198
1764068110759,-0.120799,-0.011975,9.809551
1764068110769,-0.09131,-0.005688,9.797426
1764068110779,-0.084125,-0.010478,9.804462
1764068110789,-0.104483,-0.001497,9.797276
1764068110799,-0.113314,-0.01946,9.80985
1764068110809,-0.092957,-0.017514,9.811796
1764068110819,-0.109872,-0.016765,9.80042
1764068110829,-0.094304,-0.013472,9.806857
1764068110839,-0.096699,-0.01422,9.789044
1764068110849,-0.100441,-0.029938,9.816886
1764068110859,-0.113015,-0.019609,9.815239
1764068110869,-0.114212,-0.026794,9.810898
1764068110879,-0.09146,0.000898,9.797726
1764068110889,-0.092657,-0.009131,9.816736
1764068110900,-0.107177,-0.018262,9.805809
1764068110910,-0.110321,-0.031884,9.806258
1764068110920,-0.078886,-0.030237,9.802516
1764068110930,-0.089065,-0.018711,9.811647
1764068110940,-0.097298,-0.01901,9.813143
1764068110950,-0.126337,-0.009879,9.820478
1764068110960,-0.104183,-0.021405,9.820478
1764068110970,-0.081131,-0.014969,9.803863
1764068110980,-0.080233,-0.015418,9.802665
1764068110990,-0.100591,-0.023801,9.803414
1764068111000,-0.095352,-0.022902,9.808353
1764068111010,-0.088765,-0.020956,9.812545
1764068111020,-0.088765,-0.007484,9.806108
1764068111030,-0.11062,-0.016466,9.818981
1764068111040,-0.105231,-0.023651,9.820329
1764068111050,-0.094903,-0.023202,9.811048
1764068111060,-0.103734,-0.009879,9.800719
1764068111070,-0.112267,-0.029788,9.80506
1764068111080,-0.094753,-0.020657,9.804012
1764068111090,-0.102986,-0.024998,9.80027
1764068111100,-0.109422,-0.013472,9.804611
1764068111110,-0.104333,-0.010778,9.807156
1764068111120,-0.098345,-0.010478,9.798773
1764068111130,-0.084724,-0.004042,9.808952
1764068111140,-0.092657,-0.004191,9.805958
1764068111150,-0.085323,-0.018112,9.801917
1764068111160,-0.098495,-0.007634,9.796229
1764068111170,-0.098495,-0.013472,9.810449
1764068111180,-0.107626,-0.015418,9.801318
1764068111190,-0.104932,-0.017514,9.801168
1764068111201,-0.092807,-0.035327,9.799821
1764068111211,-0.100741,-0.031584,9.803863
1764068111221,-0.10104,-0.002245,9.806108
1764068111231,-0.11062,-0.016017,9.81
1764068111241,-0.089963,-0.013921,9.811946
1764068111251,-0.102836,-0.013771,9.803414
1764068111261,-0.098795,-0.012724,9.797875
1764068111271,-0.105081,-0.002994,9.807306
1764068111281,-0.0961,-0.006886,9.800869
1764068111291,-0.099543,-0.011376,9.813143
