timestamp,X,Y,Z
1764071926128,-0.099992,-0.007035,9.806707
1764071926138,-0.108824,-0.027094,9.822724
1764071926149,-0.127535,-0.02874,9.821676
1764071926159,-0.090861,-0.015867,9.821227
1764071926169,-0.113464,-0.022603,9.839788
1764071926179,-0.097298,-0.030087,9.810748
1764071926189,-0.121547,-0.040416,9.826166
1764071926199,-0.116458,-0.033979,9.820927
1764071926209,-0.108674,-0.031884,9.813593
1764071926219,-0.096998,-0.017663,9.801019
1764071926229,-0.121398,-0.026345,9.792037
1764071926239,-0.11541,-0.00958,9.812545
1764071926249,-0.104782,-0.012125,9.815538
1764071926259,-0.096699,-0.032033,9.797726
1764071926269,-0.101489,-0.030387,9.805659
1764071926279,-0.098944,-0.021256,9.80521
1764071926289,-0.107926,-0.020507,9.813293
1764071926299,-0.119901,-0.024399,9.82916
1764071926309,-0.123793,-0.016915,9.820478
1764071926319,-0.093855,-0.029339,9.809102
1764071926329,-0.088616,-0.01916,9.797726
1764071926339,-0.114811,-0.027842,9.817634
1764071926349,-0.119302,-0.025297,9.806258
1764071926359,-0.098495,-0.023202,9.804761
1764071926369,-0.105381,-0.030087,9.804162
1764071926379,-0.100291,-0.015717,9.799073
1764071926389,-0.111518,-0.031584,9.818682
1764071926399,-0.112117,-0.010927,9.81464
1764071926409,-0.116009,-0.017663,9.813293
1764071926419,-0.075742,-0.021106,9.807306
1764071926429,-0.077389,-0.023501,9.806707
1764071926439,-0.099244,-0.021106,9.825867
1764071926449,-0.12484,-0.018112,9.813742
1764071926460,-0.11047,-0.036524,9.805659
1764071926470,-0.108524,-0.036674,9.799821
1764071926480,-0.107177,-0.022004,9.822424
1764071926490,-0.107027,-0.026794,9.815988
1764071926500,-0.108075,-0.022453,9.812096
1764071926510,-0.102986,-0.029638,9.82422
1764071926520,-0.091609,-0.003443,9.821676
1764071926530,-0.107926,-0.018262,9.806258
1764071926540,-0.107776,-0.027543,9.824071
1764071926550,-0.114063,-0.01437,9.805809
1764071926560,-0.116308,-0.013771,9.808653
1764071926570,-0.089214,-0.023501,9.802965
1764071926580,-0.119452,-0.02425,9.825268
1764071926590,-0.104333,-0.011227,9.804462
1764071926600,-0.11047,-0.029339,9.809252
1764071926610,-0.105531,-0.026495,9.800719
1764071926620,-0.111368,-0.022453,9.815089
1764071926630,-0.123793,-0.021405,9.812844
1764071926640,-0.104183,-0.031285,9.820628
1764071926650,-0.100142,-0.009281,9.818682
1764071926660,-0.111368,-0.007934,9.807904
1764071926670,-0.122745,-0.031884,9.811647
1764071926680,-0.107027,-0.011825,9.817185
1764071926690,-0.101788,-0.030836,9.82901
1764071926700,-0.107626,-0.024549,9.810299
1764071926710,-0.093855,-0.022304,9.819281
1764071926720,-0.0964,-0.013322,9.79548
1764071926730,-0.090861,-0.026794,9.796528
1764071926740,-0.103884,-0.032782,9.817484
1764071926750,-0.124092,-0.018561,9.803713
1764071926760,-0.113015,-0.032183,9.816886
1764071926771,-0.119302,-0.014669,9.797127
1764071926781,-0.104183,-0.035327,9.802366
1764071926791,-0.104183,-0.007784,9.807904
1764071926801,-0.102088,-0.030237,9.802366
1764071926811,-0.097447,-0.020208,9.803114
1764071926821,-0.099393,-0.016017,9.804611
