timestamp,X,Y,Z
1764068109921,-0.004909,0.00491,-0.001716
1764068109931,-0.002381,0.008374,-0.000854
1764068109941,-0.002789,0.00719,-0.002144
1764068109951,-0.003728,0.004849,-0.000864
1764068109961,-0.002078,0.005895,-0.002082
1764068109971,-0.003677,0.00816,-0.000515
1764068109981,-0.000517,0.007585,0.000516
1764068109991,-0.002852,0.006816,-0.002378
1764068110001,-0.000418,0.008346,0.000334
1764068110011,0.000404,0.009272,-0.001382
1764068110021,-0.002966,0.008181,-0.001405
1764068110031,-0.000714,0.007518,-0.00149
1764068110041,-0.003822,0.007424,-0.002984
1764068110051,-0.001049,0.007875,-0.000432
1764068110061,-0.0016,0.005173,-0.000998
1764068110071,-0.002732,0.007458,0.000479
1764068110081,-0.004668,0.008903,-0.000622
1764068110091,-0.001729,0.009007,-0.002204
1764068110101,-0.002784,0.007452,-0.001475
1764068110111,-0.002447,0.009055,-0.000933
1764068110121,-0.003536,0.007481,-0.001505
1764068110131,-0.002134,0.008201,-0.003685
1764068110141,-0.004275,0.008008,-0.001472
1764068110151,-0.001862,0.008339,-0.001373
1764068110161,-0.002021,0.008204,-0.002528
1764068110171,-0.002582,0.008878,-0.001079
1764068110181,-0.00329,0.007999,-0.002974
1764068110191,0.00079,0.008635,0.000389
1764068110201,-0.001546,0.009811,-0.002007
1764068110211,-0.000902,0.007766,-0.000379
1764068110222,-0.001878,0.007657,-0.001325
1764068110232,-0.003572,0.010454,-0.000942
1764068110242,-0.003524,0.009437,-0.002756
1764068110252,-0.002599,0.00864,-0.001251
1764068110262,-0.004848,0.008535,-0.001238
1764068110272,-0.003768,0.008341,-0.00085
1764068110282,0.000193,0.009702,0.000447
1764068110292,-0.003506,0.009217,-0.00151
1764068110302,-0.000723,0.006713,-0.000784
1764068110312,-0.002913,0.008392,-0.003043
1764068110322,-0.00052,0.009291,0.000822
1764068110332,-0.001763,0.007768,-0.002659
1764068110342,-0.002977,0.009026,-0.001289
1764068110352,-0.00291,0.008988,-0.00314
1764068110362,-0.000202,0.009182,-0.001937
1764068110372,-0.001017,0.008672,-0.002573
1764068110382,-0.004446,0.008893,-0.001098
1764068110392,-0.002372,0.008643,-0.001001
1764068110402,-0.002315,0.008561,-0.000564
1764068110412,-0.005392,0.011106,-0.000583
1764068110422,-0.001395,0.008727,-0.000396
1764068110432,-0.001814,0.006642,-0.001032
1764068110442,-0.000312,0.011004,-0.001125
1764068110452,-0.003694,0.008883,-0.002354
1764068110462,-0.002587,0.008029,0.001037
1764068110472,-0.004206,0.00809,-0.000621
