session_id,driver_name,lap_number,lap_time_s,sector1_time_s,sector2_time_s,sector3_time_s,is_valid,weather,track_condition,tire_compound
1,Sébastien Loeb,1,86.384,28.935,27.295,30.153,True,sunny,wet,soft
1,Sébastien Loeb,2,85.384,26.981,29.662,28.741,True,sunny,wet,soft
1,Sébastien Loeb,3,86.953,25.385,26.539,35.03,True,sunny,wet,soft
1,Sébastien Loeb,4,86.512,29.97,32.637,23.906,True,sunny,wet,soft
1,Sébastien Loeb,5,86.452,24.798,30.668,30.987,True,sunny,wet,soft
1,Sébastien Loeb,6,87.527,27.204,27.113,33.21,True,sunny,wet,soft
1,Sébastien Loeb,7,86.497,29.725,27.74,29.032,True,sunny,wet,soft
1,Sébastien Loeb,8,86.863,28.35,28.225,30.288,False,sunny,wet,soft
1,Sébastien Loeb,9,88.796,26.012,33.527,29.258,True,sunny,wet,soft
1,Sébastien Loeb,10,87.694,29.313,32.899,25.482,False,sunny,wet,soft
2,Walter Röhrl,1,59.0,20.327,18.118,20.555,True,overcast,dry,medium
2,Walter Röhrl,2,59.31,17.421,18.008,23.882,True,overcast,dry,medium
2,Walter Röhrl,3,58.418,17.467,21.398,19.553,True,overcast,dry,medium
2,Walter Röhrl,4,58.149,17.734,18.752,21.664,True,overcast,dry,medium
2,Walter Röhrl,5,58.361,19.618,17.856,20.886,True,overcast,dry,medium
2,Walter Röhrl,6,58.956,20.581,21.329,17.047,True,overcast,dry,medium
2,Walter Röhrl,7,59.166,19.586,21.401,18.18,True,overcast,dry,medium
2,Walter Röhrl,8,59.309,16.914,19.494,22.902,True,overcast,dry,medium
2,Walter Röhrl,9,58.179,16.549,18.901,22.729,True,overcast,dry,medium
2,Walter Röhrl,10,59.407,17.986,21.29,20.131,True,overcast,dry,medium
3,Petter Solberg,1,78.36,24.531,24.258,29.571,True,light_rain,dry,soft
3,Petter Solberg,2,78.023,25.742,28.156,24.125,True,light_rain,dry,soft
3,Petter Solberg,3,78.767,24.778,26.924,27.066,True,light_rain,dry,soft
3,Petter Solberg,4,78.049,24.189,23.573,30.286,True,light_rain,dry,soft
3,Petter Solberg,5,76.954,24.287,28.673,23.994,True,light_rain,dry,soft
3,Petter Solberg,6,78.485,23.345,26.122,29.018,True,light_rain,dry,soft
3,Petter Solberg,7,77.344,22.073,24.996,30.275,True,light_rain,dry,soft
3,Petter Solberg,8,78.297,22.807,29.313,26.178,True,light_rain,dry,soft
3,Petter Solberg,9,78.145,26.648,28.468,23.03,False,light_rain,dry,soft
3,Petter Solberg,10,78.553,23.021,29.175,26.357,True,light_rain,dry,soft
4,Juha Kankkunen,1,64.927,22.252,21.13,21.545,True,overcast,damp,medium
4,Juha Kankkunen,2,64.311,18.502,20.466,25.342,True,overcast,damp,medium
4,Juha Kankkunen,3,64.873,22.073,19.498,23.302,True,overcast,damp,medium
4,Juha Kankkunen,4,64.07,20.23,21.361,22.479,True,overcast,damp,medium
4,Juha Kankkunen,5,64.016,19.437,24.034,20.545,True,overcast,damp,medium
4,Juha Kankkunen,6,64.07,19.389,21.88,22.801,True,overcast,damp,medium
4,Juha Kankkunen,7,63.733,22.181,24.027,17.525,True,overcast,damp,medium
4,Juha Kankkunen,8,64.938,19.327,22.065,23.546,True,overcast,damp,medium
4,Juha Kankkunen,9,63.664,17.99,22.204,23.47,True,overcast,damp,medium
4,Juha Kankkunen,10,63.704,20.079,19.374,24.252,True,overcast,damp,medium
5,Carlos Sainz,1,76.827,22.8,23.939,30.088,True,cloudy,dry,medium
5,Carlos Sainz,2,76.374,24.001,28.934,23.438,True,cloudy,dry,medium
5,Carlos Sainz,3,77.0,25.665,24.564,26.771,True,cloudy,dry,medium
5,Carlos Sainz,4,75.828,25.097,24.98,25.751,True,cloudy,dry,medium
5,Carlos Sainz,5,77.392,24.572,23.776,29.043,True,cloudy,dry,medium
5,Carlos Sainz,6,77.383,26.192,25.201,25.99,True,cloudy,dry,medium
5,Carlos Sainz,7,77.574,21.811,26.45,29.313,True,cloudy,dry,medium
5,Carlos Sainz,8,77.063,22.799,27.096,27.167,False,cloudy,dry,medium
5,Carlos Sainz,9,76.856,23.6,28.816,24.439,True,cloudy,dry,medium
5,Carlos Sainz,10,75.966,22.002,24.863,29.102,True,cloudy,dry,medium
6,Richard Burns,1,69.517,22.676,25.4,21.441,True,sunny,dry,medium
6,Richard Burns,2,70.024,22.328,23.974,23.722,True,sunny,dry,medium
6,Richard Burns,3,69.531,23.835,25.868,19.827,True,sunny,dry,medium
6,Richard Burns,4,69.599,22.572,22.767,24.259,True,sunny,dry,medium
6,Richard Burns,5,70.437,24.146,26.13,20.162,True,sunny,dry,medium
6,Richard Burns,6,69.228,23.163,24.324,21.741,True,sunny,dry,medium
6,Richard Burns,7,69.837,19.599,21.518,28.72,True,sunny,dry,medium
6,Richard Burns,8,70.182,22.911,21.083,26.189,True,sunny,dry,medium
6,Richard Burns,9,69.806,22.927,24.583,22.297,True,sunny,dry,medium
6,Richard Burns,10,69.029,20.412,24.642,23.976,True,sunny,dry,medium
7,Markku Alén,1,78.756,26.167,27.72,24.869,False,sunny,damp,medium
7,Markku Alén,2,78.513,26.651,27.684,24.178,True,sunny,damp,medium
7,Markku Alén,3,78.678,24.055,25.273,29.35,False,sunny,damp,medium
7,Markku Alén,4,79.322,23.565,29.971,25.786,True,sunny,damp,medium
7,Markku Alén,5,79.786,25.865,29.009,24.912,True,sunny,damp,medium
7,Markku Alén,6,79.076,24.923,27.372,26.78,True,sunny,damp,medium
7,Markku Alén,7,78.335,25.895,25.26,27.18,True,sunny,damp,medium
7,Markku Alén,8,79.204,22.312,27.851,29.041,True,sunny,damp,medium
7,Markku Alén,9,79.146,27.516,29.845,21.785,True,sunny,damp,medium
7,Markku Alén,10,79.693,27.073,25.785,26.835,True,sunny,damp,medium
8,Tommi Mäkinen,1,73.875,22.324,23.164,28.387,True,light_rain,dry,hard
8,Tommi Mäkinen,2,73.06,23.304,27.39,22.366,True,light_rain,dry,hard
8,Tommi Mäkinen,3,73.628,21.117,25.711,26.8,True,light_rain,dry,hard
8,Tommi Mäkinen,4,74.294,25.951,23.121,25.222,True,light_rain,dry,hard
8,Tommi Mäkinen,5,73.879,24.517,26.283,23.079,True,light_rain,dry,hard
8,Tommi Mäkinen,6,73.289,24.125,24.094,25.07,False,light_rain,dry,hard
8,Tommi Mäkinen,7,73.788,24.845,27.255,21.688,True,light_rain,dry,hard
8,Tommi Mäkinen,8,72.903,25.073,24.853,22.976,True,light_rain,dry,hard
8,Tommi Mäkinen,9,74.098,24.119,26.391,23.589,True,light_rain,dry,hard
8,Tommi Mäkinen,10,73.259,24.593,27.194,21.472,False,light_rain,dry,hard
