timestamp,X,Y,Z
1764068037583,-0.144599,0.32213,9.800869
1764068037593,-0.14894,0.320633,9.797576
1764068037603,-0.154479,0.323178,9.806557
1764068037613,-0.147294,0.321382,9.793983
1764068037623,-0.149389,0.316741,9.793834
1764068037633,-0.156425,0.316442,9.791588
1764068037643,-0.156874,0.315843,9.787098
1764068037653,-0.152682,0.312849,9.793834
1764068037663,-0.151784,0.313298,9.783056
1764068037673,-0.162562,0.314047,9.7859
1764068037683,-0.156425,0.311652,9.792786
1764068037693,-0.154179,0.309257,9.785451
1764068037703,-0.157323,0.304766,9.785152
1764068037713,-0.142354,0.306862,9.788894
1764068037723,-0.154479,0.30791,9.795331
1764068037733,-0.155676,0.314795,9.792337
1764068037743,-0.151186,0.32707,9.783655
1764068037753,-0.153431,0.33186,9.782607
1764068037763,-0.149988,0.314945,9.791888
1764068037773,-0.162113,0.30312,9.787547
1764068037783,-0.154179,0.302222,9.783804
1764068037793,-0.151335,0.289049,9.792486
1764068037803,-0.167053,0.300425,9.777068
1764068037813,-0.156874,0.302072,9.778416
1764068037823,-0.15388,0.316592,9.796827
1764068037833,-0.155227,0.328417,9.783954
1764068037843,-0.144001,0.330213,9.779913
1764068037853,-0.149988,0.324525,9.7859
1764068037863,-0.151036,0.309107,9.78575
1764068037873,-0.153132,0.295186,9.783655
1764068037883,-0.162712,0.295186,9.778565
1764068037893,-0.142953,0.295336,9.780511
1764068037903,-0.152682,0.305515,9.788894
1764068037913,-0.157473,0.314945,9.784104
1764068037923,-0.138911,0.31749,9.787696
1764068037933,-0.151784,0.317041,9.793834
1764068037943,-0.157473,0.316891,9.79099
1764068037953,-0.147443,0.311353,9.795031
1764068037963,-0.165406,0.317789,9.7859
1764068037973,-0.151335,0.321831,9.786798
1764068037983,-0.157922,0.313448,9.783804
1764068037993,-0.155676,0.306263,9.798773
1764068038003,-0.149988,0.309107,9.783954
1764068038013,-0.152982,0.307311,9.787846
1764068038023,-0.151335,0.316292,9.786499
1764068038033,-0.155976,0.311353,9.785451
1764068038043,-0.148192,0.316292,9.785601
1764068038053,-0.157173,0.304018,9.79578
1764068038063,-0.159718,0.310454,9.784703
1764068038073,-0.153431,0.310454,9.79054
1764068038083,-0.153431,0.301174,9.784703
1764068038093,-0.150437,0.304916,9.789792
1764068038103,-0.156724,0.295486,9.787846
1764068038113,-0.150886,0.303718,9.785301
1764068038123,-0.155676,0.305365,9.792786
1764068038133,-0.158221,0.315394,9.79548
1764068038143,-0.157173,0.314047,9.797576
1764068038153,-0.152233,0.317639,9.787547
1764068038163,-0.165556,0.313748,9.796977
1764068038173,-0.158371,0.309856,9.784852
1764068038183,-0.152682,0.292941,9.787696
1764068038193,-0.147144,0.296084,9.786649
1764068038203,-0.162861,0.302671,9.787696
1764068038213,-0.160017,0.310454,9.794133
1764068038223,-0.156574,0.315244,9.789193
1764068038233,-0.150886,0.314795,9.795181
1764068038244,-0.155976,0.315993,9.794732
1764068038254,-0.154778,0.309407,9.788145
1764068038264,-0.141007,0.305215,9.789193
1764068038274,-0.154928,0.313149,9.798773
1764068038284,-0.152533,0.315095,9.788894
1764068038294,-0.154329,0.312849,9.787996
1764068038304,-0.148791,0.300725,9.782757
1764068038314,-0.161814,0.305066,9.803414
1764068038324,-0.159868,0.303868,9.782008
1764068038334,-0.150287,0.29833,9.78096
1764068038344,-0.155377,0.31255,9.787247
1764068038354,-0.151485,0.315544,9.789193
1764068038364,-0.141905,0.312251,9.786499
1764068038374,-0.146246,0.30791,9.793684
1764068038384,-0.157622,0.308209,9.784703
1764068038394,-0.161664,0.316891,9.779314
1764068038404,-0.154179,0.328567,9.793834
1764068038414,-0.147892,0.327369,9.776021
1764068038424,-0.150287,0.328866,9.79054
1764068038434,-0.161814,0.320933,9.783355
1764068038444,-0.151784,0.311203,9.794432
1764068038454,-0.151635,0.290097,9.789343
1764068038464,-0.148042,0.293091,9.787247
1764068038474,-0.151485,0.2886,9.784703
1764068038484,-0.157772,0.307461,9.778565
1764068038494,-0.150737,0.311951,9.788894
1764068038504,-0.15373,0.315993,9.792636
1764068038514,-0.155976,0.340991,9.796378
1764068038524,-0.155227,0.32692,9.792486
1764068038534,-0.146994,0.315993,9.791588
1764068038544,-0.163011,0.30297,9.782457
1764068038554,-0.142953,0.293989,9.794582
1764068038564,-0.1443,0.291743,9.785601
1764068038574,-0.155377,0.302222,9.78096
1764068038584,-0.152832,0.321831,9.791888
1764068038594,-0.157473,0.332758,9.791289
1764068038604,-0.145947,0.32722,9.792187
1764068038614,-0.151186,0.323627,9.782308
1764068038624,-0.159568,0.320783,9.791289
1764068038634,-0.153581,0.301922,9.793534
1764068038644,-0.155527,0.301922,9.79084
1764068038654,-0.154329,0.301323,9.782757
1764068038664,-0.152084,0.303269,9.794133
1764068038674,-0.156425,0.313897,9.802965
1764068038684,-0.154628,0.320484,9.790391
1764068038694,-0.150886,0.320334,9.79563
1764068038704,-0.152982,0.309556,9.789193
1764068038714,-0.160915,0.303718,9.795331
1764068038724,-0.154628,0.318538,9.793085
1764068038734,-0.156724,0.316442,9.778266
1764068038744,-0.143402,0.310604,9.792786
1764068038754,-0.142504,0.318687,9.796977
1764068038764,-0.152982,0.306562,9.790391
1764068038774,-0.157323,0.311053,9.792486
1764068038784,-0.157922,0.292192,9.797426
1764068038794,-0.14894,0.296533,9.78575
1764068038804,-0.148192,0.310005,9.78605
1764068038814,-0.152383,0.317939,9.798923
1764068038824,-0.160766,0.330513,9.791888
1764068038834,-0.149389,0.331411,9.782158
1764068038844,-0.14924,0.31749,9.782308
1764068038854,-0.156874,0.303569,9.788445
1764068038864,-0.158071,0.3124,9.782906
1764068038874,-0.152383,0.305215,9.788145
1764068038884,-0.144899,0.306712,9.791439
1764068038894,-0.14909,0.3124,9.776021
1764068038904,-0.157323,0.315993,9.793684
1764068038914,-0.165855,0.316442,9.785002
1764068038924,-0.149838,0.308359,9.784403
1764068038934,-0.155227,0.308808,9.789044
1764068038945,-0.157772,0.306712,9.79099
1764068038955,-0.153281,0.313748,9.787098
1764068038965,-0.15403,0.319286,9.783954
1764068038975,-0.13936,0.324076,9.79069
1764068038985,-0.147443,0.318987,9.784852
1764068038995,-0.15882,0.318538,9.786349
1764068039005,-0.145797,0.31255,9.781409
1764068039015,-0.160017,0.314646,9.791289
1764068039025,-0.151485,0.313748,9.790091
1764068039035,-0.146845,0.307161,9.780062
