timestamp,X,Y,Z
1764068037573,-0.010738,0.014868,-0.009728
1764068037583,-0.00969,0.017476,-0.009767
1764068037593,-0.009221,0.018327,-0.011692
1764068037603,-0.010987,0.019542,-0.011148
1764068037613,-0.009051,0.018475,-0.011228
1764068037623,-0.00976,0.02087,-0.012365
1764068037633,-0.010436,0.02149,-0.009397
1764068037643,-0.012377,0.018957,-0.011213
1764068037653,-0.011161,0.017546,-0.009383
1764068037663,-0.010873,0.016869,-0.010682
1764068037673,-0.008426,0.018838,-0.010448
1764068037683,-0.011018,0.017558,-0.008774
1764068037693,-0.009435,0.01795,-0.011665
1764068037703,-0.011995,0.019464,-0.010468
1764068037713,-0.007277,0.01862,-0.008281
1764068037723,-0.009179,0.018081,-0.01082
1764068037733,-0.009297,0.018327,-0.012309
1764068037743,-0.009497,0.01592,-0.010948
1764068037753,-0.010977,0.01496,-0.010512
1764068037763,-0.009626,0.017937,-0.012263
1764068037773,-0.009948,0.016758,-0.009556
1764068037783,-0.009876,0.017427,-0.010982
1764068037793,-0.007951,0.017748,-0.009399
1764068037803,-0.009805,0.016932,-0.008988
1764068037813,-0.008787,0.017519,-0.011091
1764068037823,-0.009965,0.017039,-0.009891
1764068037833,-0.00832,0.018911,-0.008591
1764068037843,-0.007626,0.017363,-0.011074
1764068037853,-0.007934,0.016653,-0.009995
1764068037863,-0.005232,0.017365,-0.008965
1764068037873,-0.00596,0.014986,-0.010634
1764068037883,-0.008691,0.015911,-0.010233
1764068037893,-0.006734,0.01623,-0.009852
1764068037903,-0.007234,0.017487,-0.010903
1764068037913,-0.009177,0.015261,-0.010873
1764068037923,-0.008445,0.016836,-0.012847
1764068037933,-0.006272,0.017922,-0.010194
1764068037943,-0.007908,0.015402,-0.011035
1764068037953,-0.010597,0.016245,-0.009352
1764068037963,-0.008197,0.018406,-0.012048
1764068037973,-0.008449,0.0172,-0.011741
1764068037983,-0.010455,0.015509,-0.011653
1764068037993,-0.010268,0.018302,-0.010154
1764068038003,-0.007788,0.019058,-0.010229
1764068038013,-0.009868,0.014435,-0.006791
1764068038023,-0.005023,0.020267,-0.01213
1764068038033,-0.008327,0.013664,-0.009194
1764068038043,-0.006515,0.016418,-0.008554
1764068038053,-0.007662,0.018274,-0.011904
1764068038063,-0.008167,0.015043,-0.008356
1764068038073,-0.008427,0.017896,-0.009384
1764068038083,-0.006993,0.0159,-0.011153
1764068038093,-0.006832,0.014337,-0.010172
1764068038103,-0.006959,0.015854,-0.010044
1764068038113,-0.007331,0.014735,-0.011115
1764068038123,-0.006858,0.014571,-0.010281
1764068038133,-0.007962,0.015966,-0.011835
1764068038143,-0.008257,0.017308,-0.010153
1764068038153,-0.006123,0.016656,-0.010094
1764068038163,-0.005855,0.014599,-0.007305
1764068038173,-0.008403,0.015576,-0.010841
1764068038183,-0.008685,0.016537,-0.009803
1764068038193,-0.007558,0.019405,-0.010081
1764068038204,-0.00464,0.016237,-0.010683
1764068038214,-0.00627,0.014566,-0.010911
1764068038224,-0.006507,0.015998,-0.010485
1764068038234,-0.006023,0.016182,-0.011701
1764068038244,-0.008667,0.014178,-0.008515
1764068038254,-0.006771,0.016862,-0.010781
1764068038264,-0.007611,0.017142,-0.011709
1764068038274,-0.002829,0.017649,-0.010405
1764068038284,-0.006676,0.01586,-0.012325
1764068038294,-0.008477,0.01472,-0.008071
1764068038304,-0.008925,0.014289,-0.010338
1764068038314,-0.008076,0.016019,-0.011709
1764068038324,-0.005703,0.015155,-0.009374
1764068038334,-0.006987,0.015665,-0.008707
1764068038344,-0.008518,0.016436,-0.011701
1764068038354,-0.005327,0.016937,-0.010766
1764068038364,-0.007772,0.016687,-0.010596
1764068038374,-0.004573,0.020447,-0.008721
1764068038384,-0.006372,0.017762,-0.011292
1764068038394,-0.008247,0.01819,-0.011343
1764068038404,-0.008694,0.014262,-0.010167
1764068038414,-0.005444,0.017345,-0.011665
1764068038424,-0.007004,0.018946,-0.00849
1764068038434,-0.007322,0.017054,-0.011092
1764068038444,-0.007128,0.018059,-0.009506
1764068038454,-0.008584,0.015243,-0.010052
1764068038464,-0.006077,0.015708,-0.009671
1764068038474,-0.007305,0.016983,-0.009693
1764068038484,-0.007392,0.016334,-0.010994
1764068038494,-0.006423,0.016384,-0.010973
1764068038504,-0.006074,0.017035,-0.007777
1764068038514,-0.008158,0.015427,-0.012033
1764068038524,-0.008895,0.016631,-0.011055
1764068038534,-0.008653,0.01829,-0.009444
1764068038544,-0.006815,0.016218,-0.010867
1764068038554,-0.007135,0.013498,-0.010114
1764068038564,-0.005742,0.01821,-0.010781
1764068038574,-0.00566,0.017094,-0.011317
1764068038584,-0.007828,0.014277,-0.009752
1764068038594,-0.007344,0.015959,-0.008683
1764068038604,-0.008874,0.016472,-0.008272
1764068038614,-0.00621,0.015635,-0.010578
1764068038624,-0.010806,0.016984,-0.013306
1764068038634,-0.007738,0.016367,-0.011874
1764068038644,-0.0059,0.013472,-0.010017
1764068038654,-0.010357,0.015803,-0.008317
1764068038664,-0.008587,0.016434,-0.010417
