timestamp,X,Y,Z
1764060172419,-0.015119,0.260009,9.787397
1764060172429,-0.017364,0.276475,9.778266
1764060172439,-0.025597,0.281115,9.763896
1764060172449,-0.022603,0.275727,9.778416
1764060172459,-0.032632,0.268691,9.782308
1764060172469,-0.01916,0.260159,9.770183
1764060172479,-0.040715,0.271685,9.781409
1764060172489,-0.036075,0.272433,9.792037
1764060172499,-0.030237,0.289348,9.799372
1764060172509,-0.022902,0.303269,9.780362
1764060172519,-0.020807,0.308808,9.782158
1764060172529,-0.029189,0.281714,9.784852
1764060172539,-0.020058,0.258961,9.782008
1764060172549,-0.032033,0.261057,9.782008
1764060172559,-0.020058,0.253872,9.764345
1764060172569,-0.02425,0.265398,9.77138
1764060172579,-0.030836,0.275128,9.785601
1764060172589,-0.032932,0.295785,9.788445
1764060172599,-0.017065,0.279918,9.777518
1764060172609,-0.01452,0.263153,9.77617
1764060172619,-0.012873,0.262554,9.778715
1764060172629,-0.028141,0.275278,9.783355
1764060172639,-0.029189,0.286055,9.774224
1764060172649,-0.025597,0.281714,9.783954
1764060172658,-0.025746,0.276176,9.789044
1764060172668,-0.035626,0.271984,9.784104
1764060172678,-0.031435,0.274379,9.786798
1764060172688,-0.024399,0.264051,9.764944
1764060172698,-0.011526,0.268991,9.793684
1764060172708,-0.029189,0.289498,9.783355
1764060172718,-0.026495,0.292641,9.770782
1764060172728,-0.02889,0.281714,9.792935
1764060172738,-0.038919,0.287253,9.777518
1764060172748,-0.013921,0.285007,9.780661
1764060172758,-0.023651,0.287702,9.781859
1764060172768,-0.015717,0.275876,9.777518
1764060172778,-0.012724,0.264051,9.789343
1764060172788,-0.016615,0.261955,9.774973
1764060172798,-0.022453,0.279319,9.78111
1764060172808,-0.030087,0.275577,9.77168
1764060172818,-0.017813,0.267344,9.774823
1764060172828,-0.01946,0.258512,9.782008
1764060172838,-0.025297,0.268991,9.785601
1764060172848,-0.023651,0.282463,9.775123
1764060172858,-0.016017,0.275278,9.782607
1764060172868,-0.014071,0.268392,9.762249
1764060172878,-0.017065,0.261057,9.780661
1764060172888,-0.007634,0.265697,9.764195
1764060172898,-0.026345,0.268092,9.779314
1764060172908,-0.01931,0.277224,9.78111
1764060172918,-0.03832,0.290246,9.778565
1764060172928,-0.042212,0.292641,9.779913
1764060172938,-0.024399,0.275278,9.774973
1764060172948,-0.043559,0.255968,9.791588
1764060172958,-0.011376,0.272284,9.771231
1764060172968,-0.011077,0.262853,9.78111
1764060172978,-0.01931,0.279918,9.780661
1764060172988,-0.025746,0.273481,9.775572
1764060172998,-0.027842,0.294887,9.775871
1764060173008,-0.029189,0.292641,9.767189
1764060173018,-0.016765,0.284858,9.771829
1764060173028,-0.009879,0.273781,9.783355
1764060173038,-0.027543,0.261506,9.769883
1764060173048,-0.022902,0.227527,9.767339
1764060173058,-0.025148,0.257764,9.760453
1764060173068,-0.017514,0.268392,9.774374
1764060173078,-0.020358,0.281864,9.775871
1764060173088,-0.027842,0.304167,9.791289
1764060173098,-0.020208,0.284858,9.770183
1764060173108,-0.037422,0.280816,9.775422
1764060173118,-0.022603,0.265548,9.789493
1764060173128,-0.022304,0.257465,9.772877
1764060173138,-0.030237,0.255818,9.790391
1764060173148,-0.024399,0.261357,9.782308
1764060173158,-0.017214,0.276774,9.781409
1764060173168,-0.01931,0.265099,9.779014
1764060173178,-0.031285,0.295935,9.788595
1764060173188,-0.02874,0.290845,9.775572
1764060173198,-0.006886,0.266895,9.771231
1764060173208,-0.023351,0.26914,9.769584
1764060173218,-0.017364,0.266895,9.775721
1764060173228,-0.008981,0.275876,9.783655
1764060173238,-0.015568,0.27423,9.770482
1764060173248,-0.010628,0.281864,9.781409
1764060173258,-0.023052,0.280816,9.772129
1764060173268,-0.019909,0.265997,9.772129
1764060173278,-0.027543,0.273481,9.775572
1764060173288,-0.029339,0.280068,9.774823
1764060173298,-0.024549,0.2883,9.774673
1764060173308,-0.02874,0.2883,9.784104
1764060173318,-0.020208,0.281564,9.767039
1764060173328,-0.027243,0.275577,9.790391
1764060173338,-0.023351,0.270338,9.775422
1764060173348,-0.023052,0.252974,9.777518
1764060173358,-0.021555,0.274379,9.783355
1764060173368,-0.016166,0.278271,9.772578
1764060173378,-0.029339,0.284259,9.77647
1764060173388,-0.021256,0.272433,9.781409
1764060173398,-0.012424,0.280816,9.774374
1764060173408,-0.0241,0.268392,9.774224
1764060173418,-0.016915,0.257165,9.776021
1764060173428,-0.016615,0.255369,9.769734
1764060173438,-0.025447,0.263003,9.774973
1764060173448,-0.023351,0.264051,9.773476
1764060173458,-0.022004,0.280666,9.777667
1764060173468,-0.032782,0.296234,9.779763
1764060173478,-0.025148,0.286804,9.774075
1764060173488,-0.020507,0.267943,9.786349
1764060173498,-0.027393,0.280217,9.774823
1764060173508,-0.011975,0.267194,9.777218
1764060173518,-0.020956,0.25956,9.771081
1764060173528,-0.025896,0.25028,9.772728
1764060173538,-0.021256,0.263153,9.781409
1764060173548,-0.015268,0.276325,9.77632
1764060173558,-0.013622,0.289648,9.767488
1764060173568,-0.030087,0.290546,9.791888
1764060173578,-0.021705,0.277523,9.785451
1764060173588,-0.027543,0.275128,9.765842
1764060173598,-0.031734,0.280068,9.782457
1764060173608,-0.013921,0.263302,9.788595
1764060173618,-0.02425,0.253273,9.789343
1764060173628,-0.024998,0.258213,9.769734
1764060173638,-0.031734,0.271835,9.783954
1764060173647,-0.025746,0.252974,9.774823
1764060173657,-0.012274,0.258512,9.78096
1764060173667,-0.013921,0.265248,9.788295
1764060173677,-0.032782,0.273631,9.782158
1764060173687,-0.028441,0.287103,9.785451
1764060173697,-0.029638,0.280517,9.789193
1764060173707,-0.046853,0.305066,9.778266
1764060173717,-0.023052,0.294288,9.786499
1764060173727,-0.031584,0.289498,9.772129
1764060173737,-0.033231,0.257465,9.777817
1764060173747,-0.028141,0.236209,9.774973
1764060173757,-0.017065,0.233365,9.771829
1764060173767,-0.021855,0.25477,9.778416
1764060173777,-0.018561,0.284858,9.778416
1764060173787,-0.035327,0.286355,9.79054
1764060173797,-0.029339,0.296384,9.789493
1764060173807,-0.036374,0.290695,9.774075
1764060173817,-0.022453,0.280517,9.774973
1764060173827,-0.018412,0.265697,9.789044
1764060173837,-0.015268,0.247286,9.777817
1764060173847,-0.020358,0.251926,9.785601
1764060173857,-0.029489,0.25492,9.779763
1764060173867,-0.026196,0.273481,9.779464
1764060173877,-0.018861,0.285456,9.784254
1764060173887,-0.021555,0.293091,9.777817
1764060173897,-0.032932,0.295785,9.783954
1764060173907,-0.020807,0.280367,9.783655
1764060173917,-0.032333,0.276774,9.768985
1764060173927,-0.021705,0.270488,9.784703
1764060173937,-0.00943,0.276026,9.780811
1764060173947,-0.010329,0.251477,9.781409
1764060173957,-0.04341,0.254171,9.783355
1764060173967,-0.019759,0.262704,9.774224
1764060173977,-0.022154,0.258213,9.784104
1764060173987,-0.027842,0.276625,9.785451
1764060173997,-0.019609,0.296683,9.788445
1764060174007,-0.02889,0.295186,9.785451
1764060174017,-0.026046,0.271984,9.768237
1764060174027,-0.014669,0.263302,9.771081
1764060174037,-0.022304,0.262105,9.774374
1764060174047,-0.027842,0.242196,9.776769
1764060174057,-0.021106,0.252076,9.783355
1764060174067,-0.032482,0.258363,9.779613
1764060174077,-0.036674,0.274679,9.783206
1764060174087,-0.033381,0.268242,9.781409
1764060174097,-0.032782,0.280367,9.780212
1764060174107,-0.022902,0.279319,9.770183
1764060174117,-0.020208,0.285606,9.77647
1764060174127,-0.020358,0.268542,9.784553
1764060174137,-0.024998,0.261806,9.783655
1764060174147,-0.027094,0.276176,9.774673
1764060174157,-0.02874,0.278571,9.778266
1764060174167,-0.027692,0.265099,9.780661
1764060174177,-0.030387,0.286953,9.78111
1764060174187,-0.033231,0.280217,9.780062
1764060174197,-0.012274,0.265997,9.772428
1764060174207,-0.026645,0.262554,9.777817
1764060174217,-0.034578,0.274379,9.77168
1764060174227,-0.02874,0.268392,9.773177
1764060174237,-0.020208,0.265248,9.789044
1764060174247,-0.027393,0.27408,9.78605
1764060174257,-0.026345,0.272733,9.773177
1764060174267,-0.030536,0.276625,9.786499
1764060174277,-0.022154,0.266147,9.777068
1764060174287,-0.02395,0.268841,9.776919
1764060174297,-0.018112,0.255668,9.783804
1764060174307,-0.037572,0.270488,9.785451
1764060174317,-0.033381,0.282912,9.773027
1764060174327,-0.024399,0.279918,9.783056
1764060174337,-0.01916,0.270488,9.772428
1764060174347,-0.018711,0.273481,9.784553
1764060174357,-0.028591,0.285007,9.782906
1764060174367,-0.033081,0.278421,9.783804
1764060174377,-0.023202,0.286055,9.775871
1764060174387,-0.020058,0.270787,9.789493
1764060174397,-0.020058,0.266147,9.767638
1764060174407,-0.013322,0.26435,9.775272
1764060174417,-0.025597,0.263752,9.786499
1764060174427,-0.029189,0.265697,9.792636
1764060174437,-0.026196,0.289049,9.786798
1764060174447,-0.038919,0.293091,9.786948
1764060174457,-0.020208,0.291145,9.789493
1764060174467,-0.022603,0.272134,9.785601
1764060174477,-0.029489,0.258063,9.780811
1764060174487,-0.027094,0.256866,9.770183
1764060174497,0.000748,0.255668,9.784553
1764060174507,-0.037871,0.25492,9.780511
1764060174517,-0.055235,0.268691,9.764495
1764060174527,0.014819,0.272733,9.780511
1764060174537,-0.031135,0.270488,9.782457
1764060174547,-0.049098,0.274379,9.7859
1764060174557,0.007784,0.282463,9.777518
1764060174567,-0.043559,0.281415,9.783655
1764060174577,-0.029638,0.265099,9.778715
1764060174587,-0.005838,0.268841,9.778565
1764060174597,-0.036225,0.265099,9.787846
