timestamp,X,Y,Z
1764070206971,0.794997,-0.639021,10.42073
1764070206981,0.713117,-0.63947,10.337952
1764070206991,0.70219,-0.659828,10.121203
1764070207001,0.652343,-0.767155,9.84353
1764070207011,0.465831,-0.929268,9.469608
1764070207021,0.297731,-1.05321,9.639954
1764070207031,0.32722,-0.946781,10.07929
1764070207041,0.410147,-0.900378,10.086475
1764070207051,0.361648,-0.74051,10.129585
1764070207061,0.264201,-0.523761,9.951007
1764070207071,0.289498,-0.411045,9.67513
1764070207081,0.516127,-0.283361,9.488618
1764070207091,0.705633,-0.143252,9.332643
1764070207101,0.791853,-0.025896,9.470656
1764070207111,0.727787,0.105081,9.748628
1764070207121,0.579744,0.213606,9.907896
1764070207131,0.305066,0.119003,9.648037
1764070207141,0.121847,-0.051343,9.428443
1764070207151,0.041015,-0.249381,9.080417
1764070207161,0.040266,-0.321831,9.039552
1764070207171,0.049996,-0.305664,9.192983
1764070207181,0.100441,-0.329465,9.480835
1764070207191,0.227527,-0.267344,9.802066
1764070207201,0.253573,-0.154329,9.774075
1764070207211,0.122595,-0.050894,9.738449
1764070207221,-0.048499,0.153431,9.781709
1764070207231,-0.114961,0.32243,9.791139
1764070207241,-0.226629,0.410596,9.734407
1764070207251,-0.41823,0.455203,9.676627
1764070207261,-0.710872,0.405956,9.685908
1764070207270,-0.844244,0.28396,9.900412
1764070207280,-0.859363,0.128732,10.092612
1764070207290,-0.852777,-0.039368,10.069411
1764070207300,-0.837359,-0.152832,10.036329
1764070207310,-0.759521,-0.254621,10.07435
1764070207320,-0.699346,-0.324974,9.940828
1764070207330,-0.633183,-0.268092,9.672286
1764070207340,-0.409848,-0.154628,9.593999
1764070207350,-0.184566,-0.058229,9.68037
1764070207360,-0.24055,0.126188,9.698033
1764070207370,-0.465831,0.269889,9.662706
1764070207380,-0.470771,0.429158,9.56975
1764070207390,-0.269739,0.656834,9.545799
1764070207400,-0.080533,0.837359,9.707613
1764070207410,-0.054038,0.875829,9.871971
1764070207420,-0.218995,0.746348,9.77632
1764070207430,-0.380209,0.56732,9.495205
1764070207440,-0.448168,0.501308,9.249416
1764070207450,-0.454754,0.476459,9.132359
1764070207460,-0.443827,0.520168,9.091494
1764070207470,-0.36554,0.605491,9.080118
1764070207480,-0.194895,0.747545,9.133706
1764070207490,0.031435,0.953966,9.324859
1764070207500,0.280966,1.120869,9.764794
1764070207510,0.37048,1.128503,10.078542
1764070207520,0.273781,1.07731,10.030641
1764070207530,0.107776,0.985401,9.810599
1764070207540,-0.064965,0.776735,9.638756
1764070207550,-0.174687,0.478555,9.62244
1764070207560,-0.330962,0.241598,9.744436
1764070207570,-0.429906,0.131876,9.896071
1764070207580,-0.46179,0.055385,9.919872
1764070207590,-0.410596,0.038021,9.966425
1764070207600,-0.32722,0.112117,10.056238
1764070207610,-0.238155,0.251926,10.102342
1764070207620,-0.082928,0.393382,10.121652
1764070207630,0.113913,0.525707,10.105635
1764070207640,0.262853,0.622555,10.037078
1764070207650,0.335752,0.608634,9.950408
1764070207660,0.386047,0.609832,9.895921
1764070207670,0.406405,0.623154,9.940379
1764070207680,0.368683,0.630788,9.990375
1764070207690,0.318538,0.639321,10.015822
1764070207700,0.270488,0.586331,9.943672
1764070207710,0.255968,0.523162,9.721833
1764070207720,0.311951,0.507594,9.504934
1764070207730,0.446372,0.585582,9.471853
1764070207740,0.569865,0.691412,9.650432
1764070207750,0.599653,0.751587,9.832453
1764070207760,0.525557,0.719703,9.923314
1764070207770,0.407453,0.710722,9.88679
1764070207780,0.294438,0.697849,9.774374
1764070207790,0.211061,0.662971,9.699081
1764070207800,0.166753,0.554297,9.663006
1764070207810,0.161963,0.398471,9.699979
1764070207820,0.142504,0.237706,9.767638
1764070207830,0.055535,0.085622,9.730216
1764070207840,-0.025148,0.042063,9.631571
1764070207850,-0.081131,-0.008981,9.611662
1764070207860,-0.128283,-0.075593,9.537417
1764070207870,-0.138761,-0.15373,9.413175
1764070207880,-0.239203,-0.157323,9.443263
1764070207890,-0.368085,-0.176932,9.681268
1764070207900,-0.588277,-0.276774,9.812844
1764070207910,-0.83676,-0.43769,9.796079
1764070207920,-0.952918,-0.505798,9.762399
1764070207930,-0.885558,-0.492626,9.770782
1764070207940,-0.72599,-0.448467,9.710008
1764070207950,-0.399968,-0.190254,9.577982
1764070207960,0.017065,0.196841,9.544153
1764070207970,0.382305,0.549956,9.621841
1764070207980,0.679437,0.751437,9.790241
1764070207990,0.793949,0.86101,10.034982
1764070208000,0.782573,0.824935,10.174342
1764070208010,0.642614,0.622106,10.150093
1764070208020,0.427062,0.416284,10.042018
1764070208030,0.305814,0.222737,9.831405
1764070208040,0.277074,0.0479,9.737401
1764070208050,0.272583,-0.079784,9.773626
1764070208060,0.211211,-0.155527,9.793983
1764070208070,0.117655,-0.127984,9.810599
1764070208080,0.132924,0.007934,9.931248
1764070208090,0.256866,0.158371,10.020462
1764070208100,0.36554,0.257465,9.936337
1764070208110,0.482447,0.374222,9.854008
1764070208120,0.55789,0.448617,9.90146
1764070208130,0.589175,0.490979,9.913585
1764070208140,0.69725,0.566123,9.904753
1764070208150,0.700094,0.54816,9.931398
1764070208160,0.609982,0.420176,9.715397
1764070208170,0.517474,0.2645,9.428443
1764070208180,0.429457,0.185614,9.159453
1764070208190,0.296234,0.131277,9.089997
1764070208200,0.225581,0.103884,9.231603
1764070208210,0.111219,-0.044907,9.546698
1764070208220,-0.008682,-0.171244,9.90595
1764070208230,0.001497,-0.246687,10.230775
1764070208240,0.036225,-0.29818,10.340497
1764070208250,0.066462,-0.259111,10.300829
1764070208260,0.11077,-0.244591,10.350526
1764070208270,0.141007,-0.151934,10.28122
1764070208280,0.234562,-0.003742,10.141411
1764070208290,0.303569,0.187111,10.096504
1764070208300,0.405656,0.356259,10.067165
1764070208310,0.529449,0.486937,9.977951
1764070208320,0.541723,0.533491,9.870923
1764070208330,0.579146,0.554597,9.742939
1764070208340,0.499511,0.453407,9.633667
1764070208350,0.238155,0.36554,9.479338
1764070208360,-0.075293,0.394579,9.372909
1764070208370,-0.252076,0.460143,9.372011
1764070208380,-0.277673,0.50475,9.293424
1764070208390,-0.248633,0.535437,9.314081
1764070208400,-0.155527,0.559836,9.381142
1764070208410,-0.041763,0.532293,9.619895
1764070208420,0.068258,0.503403,9.915231
1764070208430,0.170346,0.508343,10.081535
1764070208440,0.203427,0.595911,10.13243
1764070208450,0.140109,0.653691,10.106084
1764070208460,-0.016915,0.638871,9.880952
1764070208470,-0.182471,0.525407,9.577533
1764070208480,-0.328417,0.415835,9.414672
1764070208490,-0.506846,0.392783,9.46856
1764070208499,-0.576451,0.406255,9.513317
1764070208509,-0.559536,0.426014,9.452992
1764070208519,-0.500858,0.445324,9.456435
1764070208529,-0.487985,0.445174,9.574989
1764070208539,-0.509241,0.419577,9.692943
1764070208549,-0.424218,0.431104,9.745484
1764070208559,-0.293989,0.40386,9.902358
1764070208569,-0.209564,0.407602,9.956396
1764070208579,-0.175585,0.398471,9.822574
1764070208589,-0.150437,0.315095,9.535172
1764070208599,-0.156275,0.22588,9.216185
1764070208609,-0.148791,0.268991,9.180409
1764070208619,0.007335,0.520917,9.67528
1764070208629,0.113464,0.618663,9.946965
1764070208639,0.164807,0.541574,9.914333
1764070208649,0.246986,0.555794,9.947863
1764070208659,0.407602,0.616119,9.958342
1764070208669,0.559536,0.770148,10.038575
1764070208679,0.518671,0.693807,10.182725
1764070208689,0.183219,0.476609,10.214908
1764070208699,-0.212708,0.205373,10.183174
1764070208709,-0.484393,0.020058,10.007888
1764070208719,-0.409848,0.118853,9.843081
1764070208729,-0.160616,0.345332,9.873618
1764070208739,0.213606,0.629591,10.012529
1764070208749,0.809068,0.70189,10.028546
1764070208759,0.928519,0.901875,10.157128
1764070208769,0.606539,1.037792,10.23781
1764070208779,0.427661,0.853525,10.275831
1764070208789,0.218396,0.67794,10.363549
1764070208799,-0.045206,0.475561,10.327474
1764070208809,-0.266147,0.415985,10.249187
1764070208819,-0.359702,0.446971,9.999207
1764070208829,-0.342039,0.325274,9.587563
1764070208839,-0.303419,0.378413,9.154214
1764070208849,-0.352068,0.520917,8.971593
1764070208859,-0.361349,0.653391,9.020841
1764070208869,-0.201481,0.72599,9.168883
1764070208879,-0.047751,0.612227,9.450747
1764070208889,0.006586,0.317789,9.743987
1764070208899,-0.141755,-0.13442,9.90625
1764070208909,-0.629441,0.061971,10.283465
1764070208919,-0.704285,0.151335,10.044712
1764070208929,-0.665067,0.178579,10.061178
1764070208939,-0.627944,0.372276,10.073752
1764070208949,-0.390388,0.550705,9.866882
1764070208959,-0.142354,0.753084,9.707763
1764070208969,-0.130978,0.941991,9.494905
1764070208979,-0.20702,1.005309,9.288634
1764070208989,-0.23546,0.837808,9.15601
1764070208999,-0.168699,0.508792,9.236243
1764070209009,-0.079634,0.247585,9.470057
1764070209019,-0.013622,0.183668,9.62259
1764070209029,-0.145497,0.051792,9.812096
1764070209039,-0.487686,-0.119751,9.996213
1764070209049,-0.831072,-0.219743,10.067614
1764070209059,-1.054108,-0.238604,10.02136
1764070209069,-1.069676,-0.09131,9.962832
1764070209079,-0.727787,0.229473,9.880803
1764070209089,-0.170346,0.598306,9.718241
1764070209099,0.170945,0.799338,9.391321
1764070209109,0.267943,0.896785,9.211544
1764070209119,0.21645,0.906216,9.393117
1764070209129,0.041314,0.623454,9.582323
1764070209139,-0.158221,0.303569,9.721384
1764070209149,-0.17813,0.188608,9.780212
1764070209159,0.090262,0.319286,9.659563
1764070209169,0.488434,0.483046,9.457184
1764070209179,0.631237,0.553699,9.488319
1764070209189,0.40416,0.536335,9.755064
1764070209199,-0.151635,0.204624,9.993069
1764070209209,-0.669707,-0.229772,10.185419
1764070209219,-0.936303,-0.469124,10.30068
1764070209229,-0.876427,-0.525407,10.249785
1764070209239,-0.643811,-0.443079,10.048903
1764070209249,-0.357307,-0.251327,9.73306
1764070209259,-0.202679,-0.124691,9.599687
1764070209269,-0.173938,0.04311,9.501941
1764070209279,-0.090412,0.1922,9.173524
1764070209289,0.189805,0.398172,8.935518
1764070209299,0.208367,0.433049,9.094189
1764070209309,-0.05748,0.270038,9.380244
1764070209319,-0.549657,0.054187,9.663604
1764070209329,-0.955313,-0.192949,9.915081
1764070209339,-0.908161,-0.500709,9.953851
1764070209349,-0.449515,-0.668809,9.825717
1764070209359,-0.279169,-0.620759,9.680968
1764070209369,-0.290995,-0.314646,9.512718
1764070209379,-0.254022,0.075742,9.448951
1764070209389,-0.181273,0.207319,9.462123
1764070209399,-0.318238,-0.007185,9.538465
1764070209409,-0.644709,-0.345182,9.818682
1764070209419,-0.992885,-0.801433,10.072853
1764070209429,-1.111738,-1.080154,10.176737
