timestamp,X,Y,Z
1764060172424,-0.001822,0.004157,-0.000234
1764060172434,-0.00187,0.004391,0.00202
1764060172444,-0.00168,0.001444,-0.000364
1764060172454,-0.002321,0.001747,0.000165
1764060172464,-0.002278,0.001627,-0.001629
1764060172474,-0.001899,-0.000543,-0.000262
1764060172484,-0.00315,0.000847,0.000003
1764060172494,-0.00136,0.000262,-0.000308
1764060172504,-0.001322,0.001657,0.00002
1764060172514,-0.002044,0.000448,-0.001079
1764060172524,-0.002291,0.002817,0.001052
1764060172534,-0.002736,0.001166,-0.001419
1764060172544,-0.002345,0.003955,0.000629
1764060172554,-0.002555,0.002724,-0.000109
1764060172564,-0.002227,0.002795,-0.001866
1764060172574,-0.001517,0.001822,0.000155
1764060172584,-0.000867,0.001524,0.000108
1764060172594,-0.002797,0.003699,-0.001123
1764060172604,-0.001876,0.001724,0.000583
1764060172614,-0.000512,0.002798,-0.000782
1764060172624,-0.002585,0.002699,0.001424
1764060172634,-0.002976,0.002333,-0.00132
1764060172644,-0.001293,0.002174,0.00127
1764060172653,-0.001246,0.002437,-0.001372
1764060172663,-0.00182,0.002517,-0.000026
1764060172673,-0.00215,0.003618,0.000377
1764060172683,-0.000589,0.002576,0.000006
1764060172693,-0.002692,0.002646,0.000938
1764060172703,-0.002128,0.002808,-0.000847
1764060172713,-0.002697,0.001623,-0.000484
1764060172723,-0.002392,0.003538,-0.001238
1764060172733,-0.001229,0.001499,0.000597
1764060172743,-0.00398,0.002255,0.000893
1764060172753,-0.002735,0.0016,0.000077
1764060172763,-0.002159,0.001897,-0.000693
1764060172773,-0.003037,0.003144,-0.000896
1764060172783,-0.005363,0.002401,-0.000985
1764060172793,-0.002493,0.001794,-0.000455
1764060172803,-0.003101,0.000644,-0.000017
1764060172813,-0.003574,0.001916,-0.000328
1764060172823,-0.002429,0.001717,-0.001726
1764060172833,-0.002467,0.002845,0.000657
1764060172843,-0.003346,0.000816,0.000102
1764060172853,-0.001793,0.0022,-0.000084
1764060172863,-0.00206,0.002658,-0.000013
1764060172873,-0.003112,0.002472,-0.000563
1764060172883,-0.003942,0.001782,-0.000973
1764060172893,-0.001711,0.002781,0.000861
1764060172903,-0.001182,0.002658,-0.000894
1764060172913,-0.00055,0.002372,-0.000557
1764060172923,-0.002076,0.001874,0.001164
1764060172933,-0.002475,0.000714,-0.00032
1764060172943,-0.001886,0.001329,-0.000398
1764060172953,-0.001649,0.001661,0.001523
1764060172963,-0.002513,0.000112,-0.001338
1764060172973,-0.002645,0.001002,-0.000494
1764060172983,-0.002088,0.001126,-0.000056
1764060172993,-0.001993,0.001894,-0.002089
1764060173003,-0.003559,0.003124,-0.000687
1764060173013,-0.003955,0.000639,0.001312
1764060173023,-0.003146,0.002854,0.000255
1764060173033,-0.002047,0.002589,-0.000845
1764060173043,-0.002266,0.000905,-0.001054
1764060173053,-0.001108,0.001434,0.000246
1764060173063,-0.002593,0.000996,-0.000731
1764060173073,-0.001804,0.000339,-0.000846
1764060173083,-0.003164,0.001867,-0.001194
1764060173093,-0.000958,0.001681,0.000855
1764060173103,-0.002689,0.002189,0.000609
1764060173113,-0.00267,0.002059,-0.000795
1764060173123,-0.002236,0.002781,-0.000425
1764060173133,-0.003804,0.00321,-0.000939
1764060173143,-0.001777,0.002902,0.000748
1764060173153,-0.003084,0.001443,0.000374
1764060173163,-0.001239,0.001905,0.001006
1764060173173,-0.001133,0.00208,-0.000317
1764060173183,-0.002281,0.00084,-0.000472
1764060173193,-0.002365,0.001999,0.001229
1764060173203,-0.001707,0.001583,-0.000751
1764060173213,-0.002251,0.002888,-0.000075
1764060173223,-0.001803,0.002546,0.000148
1764060173233,-0.002157,0.00132,0.000763
1764060173243,-0.001236,0.001951,0.000241
1764060173253,-0.001083,0.003355,-0.001634
1764060173263,-0.002856,0.003539,0.000215
1764060173273,-0.002275,0.002498,0.001481
1764060173283,-0.001846,0.00182,-0.000624
1764060173293,-0.000921,0.001632,0.000812
1764060173303,-0.002241,0.002023,-0.001137
1764060173313,-0.001364,0.001187,-0.000109
1764060173323,-0.00177,0.001879,-0.000414
1764060173333,-0.001561,0.002318,0.000723
1764060173343,-0.00406,0.00243,-0.001476
1764060173353,-0.001494,0.001507,0.000564
1764060173363,-0.001826,-0.000084,0.000343
1764060173373,-0.000914,0.001378,0.0012
1764060173383,-0.001545,0.001235,-0.000144
1764060173393,-0.00196,0.002219,-0.000952
1764060173403,-0.001655,0.002015,-0.001463
1764060173413,-0.002625,0.002472,0.000352
1764060173423,-0.002885,0.001892,0.00071
1764060173433,-0.002083,0.002345,0.000357
1764060173443,-0.001326,0.002643,0.001497
1764060173453,-0.002097,0.002282,0.000443
1764060173463,-0.002758,0.001769,-0.001282
1764060173473,-0.001849,0.003002,0.00089
1764060173483,-0.002536,0.001965,-0.000579
1764060173493,-0.002197,0.00105,-0.000082
1764060173503,-0.003192,0.002218,0.001605
1764060173513,-0.000597,0.000926,-0.00023
1764060173523,-0.002972,0.00243,-0.000411
1764060173533,-0.002326,0.001654,0.000735
1764060173543,-0.000795,0.00213,-0.00108
1764060173553,-0.002439,0.002727,-0.000338
1764060173563,-0.002621,-0.0001,0.001011
1764060173573,-0.00219,0.002359,0.00065
1764060173583,-0.003398,0.002776,-0.000449
1764060173593,-0.002348,0.001501,0.000395
1764060173603,-0.002082,0.002525,0.001485
1764060173613,-0.002217,0.002359,-0.000205
1764060173623,-0.002076,0.001789,-0.000125
1764060173633,-0.00052,0.00196,-0.001367
1764060173642,-0.002499,0.003261,0.000424
1764060173652,0.000362,0.002011,0.000557
1764060173662,-0.001677,0.003391,-0.000829
1764060173672,-0.002421,0.001215,0.000275
1764060173682,-0.00227,0.002863,-0.000536
1764060173692,-0.001342,0.002577,-0.000009
1764060173702,-0.00141,0.002185,-0.000317
1764060173712,-0.003081,0.002031,-0.000451
1764060173722,-0.001958,0.001202,0.001254
1764060173732,-0.003035,0.002407,-0.000687
1764060173742,-0.001996,0.001497,-0.000591
1764060173752,-0.001636,0.001628,-0.000808
1764060173762,-0.001956,0.002037,0.000374
1764060173772,-0.001119,0.002717,0.002541
1764060173782,-0.001254,0.003017,-0.001325
1764060173792,-0.002027,0.002211,0.00015
1764060173802,-0.002315,0.003146,-0.000006
1764060173812,-0.002839,0.00143,0.000626
1764060173822,-0.003759,0.001249,-0.000251
1764060173832,-0.001862,0.001701,-0.000309
1764060173842,-0.00075,0.001753,0.00101
1764060173852,-0.002099,0.002392,0.001621
1764060173862,-0.002431,0.000336,0.001016
1764060173872,-0.003127,0.002443,0.000226
1764060173882,-0.001109,0.001847,0.000221
1764060173892,-0.001839,0.00248,-0.000537
1764060173902,-0.002118,0.000539,0.001634
1764060173912,-0.001801,0.001387,0.001217
1764060173922,-0.001401,0.002273,0.000671
1764060173932,-0.003284,0.002413,-0.000885
1764060173942,-0.00184,0.00119,-0.000604
1764060173952,-0.002083,0.00232,0.000148
1764060173962,-0.0009,0.001057,-0.001302
1764060173972,-0.002293,0.001634,0.000121
1764060173982,-0.001611,0.001613,0.001314
1764060173992,-0.002164,0.001791,-0.000732
1764060174002,-0.001018,0.002174,0.000053
1764060174012,-0.001863,0.002342,0.000009
1764060174022,-0.002151,0.001264,0.001104
1764060174032,-0.002137,0.002617,-0.000561
1764060174042,-0.00022,0.001117,-0.001344
1764060174052,-0.001994,0.001659,-0.001224
1764060174062,-0.003054,0.002279,0.000044
1764060174072,-0.000912,0.002345,0.001269
1764060174082,-0.001065,0.002282,-0.000554
1764060174092,-0.001449,0.001905,-0.000649
1764060174102,-0.002124,0.001187,-0.000623
1764060174112,-0.002456,0.002306,-0.00018
1764060174122,-0.001949,0.001778,-0.000113
1764060174132,-0.002322,0.001846,-0.000026
1764060174142,-0.002984,0.002678,0.000195
1764060174152,-0.003236,0.00271,0.000324
1764060174162,-0.001989,0.002319,0.000729
1764060174172,-0.000003,0.002003,-0.00012
1764060174182,-0.003046,0.002826,-0.000652
1764060174192,-0.001546,0.002692,-0.00041
1764060174202,-0.001112,0.002314,-0.000357
1764060174212,-0.002531,0.00294,0.000793
1764060174222,-0.000722,0.001931,0.000397
1764060174232,-0.003526,0.001813,-0.000059
1764060174242,-0.003245,0.00127,0.00104
1764060174252,-0.002846,0.001736,-0.000591
1764060174262,-0.002786,0.001871,0.0002
1764060174272,-0.002417,0.000738,-0.000353
1764060174282,-0.003395,0.003286,0.0
1764060174292,-0.001195,0.001989,0.000154
1764060174302,-0.002256,0.001947,-0.001641
1764060174312,-0.001873,0.002192,-0.000079
1764060174322,-0.000923,0.000837,-0.001187
1764060174332,-0.002987,0.002035,-0.000944
1764060174342,-0.003206,0.001708,0.000406
1764060174352,-0.001742,0.002129,0.000849
1764060174362,-0.001128,0.001396,-0.000982
1764060174372,-0.003347,0.001462,0.000868
1764060174382,-0.002732,0.002967,-0.001572
1764060174392,-0.002205,0.002194,-0.000532
1764060174402,-0.001226,0.002677,-0.000042
1764060174412,-0.003795,0.002491,-0.000616
1764060174422,-0.000901,0.002788,0.000003
1764060174432,-0.000163,0.002525,0.001063
1764060174442,-0.002479,0.001381,0.000179
1764060174452,-0.003265,0.001938,0.000112
1764060174462,-0.00277,0.001008,-0.000329
1764060174472,-0.002067,0.002654,-0.000687
1764060174482,-0.003111,0.003082,-0.000417
1764060174492,-0.002082,-0.000239,0.000066
1764060174502,-0.002352,0.002316,0.000121
1764060174512,-0.002467,0.001574,-0.00027
1764060174522,-0.001491,0.001417,-0.000595
1764060174532,-0.002477,0.002234,-0.001145
1764060174542,-0.000537,0.000642,-0.000069
1764060174552,-0.002314,0.001512,-0.000108
1764060174562,-0.001871,0.004147,0.0006
1764060174572,-0.001671,0.002039,0.00031
1764060174582,-0.003245,0.002303,-0.000402
1764060174592,-0.001684,0.001935,0.000874
1764060174602,-0.001973,0.000807,0.000177
1764060174612,-0.002107,0.001327,-0.000218
