timestamp,X,Y,Z
1764070857795,0.012836,-0.007751,-0.001652
1764070857805,-0.005878,0.0047,0.001635
1764070857815,-0.009738,0.009847,-0.002401
1764070857825,0.012062,-0.009174,0.000607
1764070857835,-0.007108,0.007346,-0.000904
1764070857845,-0.007939,0.006666,-0.000633
1764070857855,0.008206,-0.006007,-0.002229
1764070857865,-0.004566,0.004665,0.00147
1764070857875,-0.006485,0.00487,0.000479
1764070857885,0.004045,-0.004379,-0.00018
1764070857895,-0.006754,0.006267,0.001407
1764070857905,-0.00521,0.002782,0.000028
1764070857915,0.006308,-0.002956,-0.000689
1764070857925,-0.0092,0.006554,0.000425
1764070857935,-0.000011,0.001396,0.000298
1764070857945,0.000552,-0.001095,0.000047
1764070857955,-0.006052,0.005427,0.000538
1764070857965,0.00119,0.000119,0.000478
1764070857975,-0.000362,0.002524,-0.000627
1764070857985,-0.003381,0.003798,0.001709
1764070857995,-0.002006,0.000645,-0.000448
1764070858005,-0.000363,0.002214,-0.000831
1764070858015,-0.005722,0.002981,0.001374
1764070858025,-0.001232,0.001309,-0.000749
1764070858035,-0.000607,0.001759,0.000436
1764070858045,-0.005384,0.003279,0.00037
1764070858055,-0.00125,0.000781,0.000546
1764070858065,-0.001285,0.001064,-0.000152
1764070858075,-0.002705,0.002232,-0.00043
1764070858085,0.001375,0.000149,-0.00149
1764070858095,-0.000075,0.002477,0.001938
1764070858105,-0.003285,0.001761,-0.000475
1764070858115,0.000685,0.000322,0.001385
1764070858125,-0.00465,0.0021,0.001662
1764070858135,-0.005352,0.003395,0.000427
1764070858145,-0.002089,0.000293,-0.000564
1764070858155,-0.006848,0.003568,-0.000618
1764070858165,-0.00217,0.00171,-0.000721
1764070858175,-0.002159,0.002046,0.000644
1764070858185,-0.001662,0.001713,-0.001013
1764070858195,0.000609,0.001025,0.001052
1764070858205,-0.001519,0.00229,0.000368
1764070858215,-0.001608,0.001762,0.001019
1764070858225,-0.005203,0.002539,-0.000928
1764070858235,-0.004381,0.000556,-0.000949
1764070858245,-0.00426,0.00272,0.001506
1764070858255,-0.003441,0.002256,0.000594
1764070858265,-0.002027,0.002938,-0.000151
1764070858275,-0.002683,0.001844,0.000739
1764070858285,-0.000222,0.000708,0.000418
1764070858295,-0.000694,0.001035,0.000359
1764070858305,-0.000729,0.004171,0.001494
1764070858315,-0.003808,0.001725,0.000443
1764070858325,-0.002391,0.001301,-0.000154
1764070858335,-0.004266,0.0019,0.000714
1764070858345,0.001131,-0.000031,-0.000002
1764070858355,-0.000475,0.002188,0.001148
1764070858365,-0.001525,0.001109,0.000595
1764070858375,-0.000323,0.00322,0.000231
1764070858385,-0.002207,0.00163,0.001055
1764070858395,-0.003576,0.00228,-0.000495
1764070858405,-0.002358,0.001476,-0.000117
1764070858415,-0.002581,0.003162,0.000718
1764070858425,-0.000549,-0.000285,-0.000678
1764070858435,-0.002309,0.003352,0.0002
1764070858445,-0.000678,0.002924,-0.001173
1764070858455,0.000972,0.001028,0.000711
1764070858465,-0.003929,0.004113,-0.000967
1764070858475,-0.000809,0.001087,-0.000176
1764070858485,-0.003509,0.001866,-0.000553
1764070858495,-0.002732,0.003377,-0.000136
1764070858504,-0.002362,0.001423,0.000744
1764070858514,-0.000404,0.002365,0.001107
1764070858524,-0.002888,0.000885,0.000046
1764070858534,0.000996,0.001383,0.00003
1764070858544,-0.001912,0.00187,-0.001103
1764070858554,-0.002109,0.002755,0.001264
1764070858564,-0.001523,0.002133,0.000503
1764070858574,-0.002605,0.002094,-0.001442
1764070858584,-0.002139,0.001661,0.001061
1764070858594,-0.000483,0.001394,-0.000197
1764070858604,-0.001368,0.002371,-0.000974
1764070858614,-0.001511,0.001353,-0.001188
1764070858624,-0.001482,0.002465,0.000732
1764070858634,-0.003087,0.000751,-0.001024
1764070858644,-0.001336,0.004286,0.001781
