# Combined LVM export
# delta_x = 1.0
# fs = 1.0
# channels = 18
# ----------------------------------
frequency	UEBERTRAGUNGSFUNKTIONFFTY_0	UEBERTRAGUNGSFUNKTIONFFTY_1	UEBERTRAGUNGSFUNKTIONFFTY_2	UEBERTRAGUNGSFUNKTIONFFTY_3	UEBERTRAGUNGSFUNKTIONFFTY_4	UEBERTRAGUNGSFUNKTIONFFTY_5	UEBERTRAGUNGSFUNKTIONFFTY_6	UEBERTRAGUNGSFUNKTIONFFTY_7	UEBERTRAGUNGSFUNKTIONFFTY_8	UEBERTRAGUNGSFUNKTIONFFTY_9	UEBERTRAGUNGSFUNKTIONFFTY_10	UEBERTRAGUNGSFUNKTIONFFTY_11	UEBERTRAGUNGSFUNKTIONFFTY_12	UEBERTRAGUNGSFUNKTIONFFTY_13	UEBERTRAGUNGSFUNKTIONFFTY_14	UEBERTRAGUNGSFUNKTIONFFTY_15	UEBERTRAGUNGSFUNKTIONFFTY_16	UEBERTRAGUNGSFUNKTIONFFTY_17
0,0	0,075644	0,085868	0,072564	0,132453	0,055551	0,056916	0,035644	0,150209	0,062961	0,057703	0,118217	0,053066	0,062783	0,140805	0,11524	0,079825	0,079197	0,073242
0,05	0,163297	0,029706	0,032338	0,020507	0,04912	0,032306	0,078243	0,081092	0,085397	0,036641	0,616519	0,059745	0,069685	0,094811	0,129432	0,073832	0,390037	0,090969
0,1	0,326181	0,117744	0,109347	0,057052	0,127848	0,198521	0,244505	0,17173	0,088451	0,160256	0,513834	0,120399	0,044945	0,098351	0,165581	0,111696	0,096748	0,049366
0,15000000000000002	0,130252	0,036601	0,01791	0,018037	0,234548	0,067023	0,068116	0,148602	0,014999	0,112583	0,371212	0,106408	0,029617	0,04848	0,086466	0,156601	0,073439	0,060801
0,2	0,115426	0,034979	0,073379	0,058356	0,194713	0,031251	0,150661	0,134814	0,100987	0,312322	0,415757	0,037879	0,011231	0,090253	0,073298	0,038382	0,039218	0,044307
0,25	0,077915	0,187197	0,062353	0,089106	0,055786	0,0342	0,038384	0,016853	0,106923	0,737372	0,239611	0,063866	0,025327	0,011781	0,107273	0,01749	0,092753	0,042748
0,30000000000000004	0,05294	0,08561	0,052206	0,014117	0,045305	0,049532	0,0793	0,066588	0,103728	0,429732	0,21321	0,106043	0,015608	0,085347	0,070237	0,198319	0,041149	0,052971
0,35000000000000003	0,103871	0,105539	0,070463	0,04216	0,160884	0,040039	0,108064	0,102324	0,060145	0,778314	0,291787	0,047594	0,02165	0,06224	0,010517	0,171534	0,0318	0,016969
0,4	0,13391	0,049162	0,105742	0,029931	0,086137	0,04261	0,046141	0,12098	0,034269	0,019553	0,17407	0,008097	0,023114	0,031967	0,083407	0,184615	0,0197	0,057432
0,45	0,093484	0,052729	0,049084	0,016006	0,065001	0,072074	0,074288	0,083527	0,039936	0,065866	0,155694	0,03125	0,009395	0,047977	0,082878	0,097132	0,028178	0,014662
0,5	0,030633	0,069074	0,070399	0,037733	0,01369	0,048394	0,033782	0,043074	0,050382	0,131413	0,112913	0,053433	0,007419	0,079494	0,053042	0,080469	0,033127	0,028064
0,55	0,039256	0,075372	0,039646	0,036144	0,066744	0,052534	0,064221	0,090446	0,021608	0,211554	0,145684	0,001965	0,015408	0,045964	0,062866	0,041582	0,015573	0,003122
0,6000000000000001	0,0146	0,055516	0,027656	0,012072	0,07344	0,055126	0,075536	0,090083	0,015715	0,098634	0,130754	0,024816	0,014277	0,018492	0,006369	0,085361	0,024368	0,011651
0,65	0,021878	0,06351	0,035332	0,039994	0,025022	0,005489	0,027991	0,108268	0,012001	0,10342	0,153857	0,017912	0,003871	0,066613	0,019356	0,041381	0,017592	0,018791
0,7000000000000001	0,072877	0,014142	0,048432	0,058153	0,036884	0,031424	0,026663	0,055846	0,028796	0,243215	0,155477	0,011757	0,018226	0,043112	0,027796	0,055442	0,029845	0,015505
0,75	0,026114	0,044044	0,010493	0,022993	0,087212	0,030892	0,042316	0,011888	0,072421	0,248617	0,152468	0,003726	0,005845	0,035903	0,043574	0,038436	0,029902	0,019118
0,8	0,033383	0,013304	0,014373	0,035598	0,054844	0,02734	0,024459	0,053587	0,03257	0,061181	0,149397	0,029105	0,019692	0,016535	0,007696	0,041278	0,013218	0,016078
0,8500000000000001	0,039676	0,029982	0,031904	0,036098	0,035145	0,030212	0,03755	0,072673	0,035297	0,048488	0,148648	0,02385	0,011427	0,037719	0,024297	0,044806	0,035409	0,010304
0,9	0,081216	0,017457	0,007393	0,01951	0,044129	0,071949	0,081293	0,054445	0,032422	0,395724	0,143054	0,011577	0,013928	0,027174	0,020228	0,036655	0,017196	0,008873
0,9500000000000001	0,021914	0,04647	0,003365	0,028885	0,047499	0,012104	0,070251	0,028357	0,024472	0,086356	0,145117	0,019675	0,012623	0,026036	0,020772	0,034391	0,005906	0,00868
1,0	0,012552	0,039134	0,015291	0,016035	0,010801	0,062052	0,024454	0,093866	0,017138	0,082007	0,124157	0,037587	0,017461	0,043086	0,025951	0,025398	0,006705	0,011429
1,05	0,020059	0,028226	0,025209	0,028411	0,023257	0,022375	0,054141	0,043155	0,030828	0,102074	0,143842	0,00743	0,010778	0,030612	0,038514	0,035319	0,009146	0,010854
1,1	0,010914	0,032481	0,004994	0,026929	0,02129	0,035524	0,05473	0,052643	0,029946	0,146024	0,129204	0,004048	0,027326	0,0288	0,022173	0,023595	0,012504	0,013397
1,1500000000000001	0,018915	0,014436	0,005967	0,019663	0,028038	0,055882	0,032606	0,005116	0,025357	0,046345	0,144664	0,0185	0,01045	0,014899	0,022341	0,032882	0,015772	0,019983
1,2000000000000002	0,034786	0,012713	0,010469	0,012912	0,057159	0,059762	0,046908	0,048166	0,010765	0,062211	0,139052	0,012396	0,007744	0,036194	0,008703	0,054525	0,004301	0,014365
1,25	0,01694	0,020981	0,014419	0,004641	0,012952	0,05679	0,026173	0,033159	0,034449	0,081604	0,13376	0,004274	0,016827	0,039568	0,023154	0,041773	0,010384	0,010392
1,3	0,051889	0,028287	0,013308	0,019671	0,015586	0,039374	0,01729	0,040735	0,032941	0,067529	0,158867	0,026708	0,022737	0,048718	0,030346	0,04927	0,00712	0,00931
1,35	0,00636	0,014885	0,005053	0,008787	0,024167	0,037571	0,028741	0,056565	0,062271	0,032938	0,16608	0,018663	0,009212	0,032321	0,033957	0,011017	0,00952	0,014932
1,4000000000000001	0,048772	0,04191	0,004021	0,033408	0,028539	0,018016	0,018237	0,025754	0,041225	0,06711	0,135447	0,00695	0,026625	0,029447	0,051371	0,030956	0,015159	0,006949
1,4500000000000002	0,05091	0,038673	0,016051	0,009066	0,030024	0,063538	0,036449	0,066411	0,054231	0,068721	0,169084	0,00312	0,030286	0,034652	0,053634	0,009135	0,003325	0,008929
1,5	0,037245	0,018068	0,001732	0,030567	0,028029	0,081729	0,044236	0,039856	0,054131	0,055127	0,179738	0,00559	0,027382	0,029942	0,024692	0,038017	0,008848	0,012752
1,55	0,023254	0,018758	0,002191	0,01246	0,023479	0,042991	0,036188	0,038147	0,046718	0,068981	0,1711	0,008371	0,029121	0,036868	0,017389	0,065276	0,023471	0,010177
1,6	0,05058	0,013233	0,00557	0,023148	0,053331	0,046462	0,053717	0,034654	0,069199	0,070518	0,174003	0,006013	0,032206	0,050887	0,016666	0,030444	0,017313	0,010924
1,6500000000000001	0,082875	0,02222	0,003859	0,038779	0,013645	0,080616	0,042339	0,008636	0,05679	0,033441	0,187872	0,009267	0,036232	0,04143	0,021652	0,018846	0,018211	0,011999
1,7000000000000002	0,046313	0,009426	0,011052	0,026404	0,033321	0,068687	0,028383	0,01827	0,053276	0,055028	0,179098	0,006737	0,042583	0,041543	0,030761	0,025682	0,035453	0,020303
1,75	0,018637	0,010994	0,029669	0,030499	0,007632	0,090166	0,055771	0,011037	0,072621	0,094423	0,167795	0,016809	0,038004	0,026851	0,013595	0,039766	0,022963	0,011763
1,8	0,055056	0,060009	0,017843	0,034164	0,043714	0,075443	0,037301	0,043937	0,074729	0,105594	0,191388	0,018556	0,036902	0,022904	0,04509	0,006585	0,023799	0,004492
1,85	0,060613	0,027041	0,020981	0,045748	0,040125	0,080673	0,028327	0,045638	0,088931	0,077512	0,195568	0,018844	0,044263	0,016337	0,061863	0,052648	0,034726	0,012551
1,9000000000000001	0,059343	0,050903	0,027662	0,048128	0,044197	0,089149	0,054129	0,012581	0,092678	0,037878	0,191956	0,002692	0,059748	0,006055	0,068342	0,051811	0,022689	0,017132
1,9500000000000002	0,062859	0,046333	0,019888	0,052174	0,067166	0,102881	0,06709	0,028846	0,114072	0,04374	0,206311	0,015472	0,057628	0,019079	0,071596	0,037826	0,042825	0,013137
