# Combined LVM export
# delta_x = 1.0
# fs = 1.0
# channels = 18
# ----------------------------------
frequency	UEbertragungsfunktionImaginaerFFTY_0	UEbertragungsfunktionImaginaerFFTY_1	UEbertragungsfunktionImaginaerFFTY_2	UEbertragungsfunktionImaginaerFFTY_3	UEbertragungsfunktionImaginaerFFTY_4	UEbertragungsfunktionImaginaerFFTY_5	UEbertragungsfunktionImaginaerFFTY_6	UEbertragungsfunktionImaginaerFFTY_7	UEbertragungsfunktionImaginaerFFTY_8	UEbertragungsfunktionImaginaerFFTY_9	UEbertragungsfunktionImaginaerFFTY_10	UEbertragungsfunktionImaginaerFFTY_11	UEbertragungsfunktionImaginaerFFTY_12	UEbertragungsfunktionImaginaerFFTY_13	UEbertragungsfunktionImaginaerFFTY_14	UEbertragungsfunktionImaginaerFFTY_15	UEbertragungsfunktionImaginaerFFTY_16	UEbertragungsfunktionImaginaerFFTY_17
0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
0,05	-0,047556	-0,021535	-0,025897	-0,017815	-0,044449	0,008597	-0,045868	0,040111	0,053335	0,03543	-0,492555	-0,028557	0,037407	0,067208	-0,124778	-0,073592	-0,319832	-0,030814
0,1	-0,11432	0,051419	-0,02294	0,034676	0,127846	-0,197928	-0,098766	0,134323	-0,00482	0,118634	-0,46181	0,088362	0,044044	0,086825	0,107303	-0,102853	0,068165	-0,03314
0,15000000000000002	0,10846	0,029951	0,008236	-0,008159	-0,125141	0,066784	0,059842	0,147921	0,010576	-0,081867	-0,371059	-0,093447	0,028691	0,016637	-0,086306	0,15329	-0,063213	0,027976
0,2	-0,114907	0,030006	0,03094	0,003472	-0,109137	0,014413	-0,144859	0,116141	0,048444	-0,125597	-0,408283	0,010391	-0,007601	-0,014561	0,071252	0,038381	-0,016799	-0,035979
0,25	-0,073477	0,05318	-0,020387	0,078982	0,054039	0,019426	0,010892	-0,015138	0,106016	-0,513989	-0,204084	-0,045065	-0,021095	0,011777	0,011761	-0,011724	0,036695	-0,025547
0,30000000000000004	-0,052083	0,038287	-0,006846	0,00521	0,044753	0,000144	-0,06056	-0,054962	0,024131	0,377582	-0,187042	0,01582	-0,008991	0,008549	0,003646	0,198294	-0,039479	-0,024288
0,35000000000000003	-0,043555	0,035984	-0,051965	-0,02938	0,136828	0,032871	-0,002233	0,083104	-0,002061	0,775834	-0,205986	-0,013851	0,001004	0,036195	0,009234	0,127861	-0,031754	-0,016925
0,4	0,1329	0,048284	-0,102207	-0,029922	-0,01223	0,007045	0,013585	-0,0563	0,004019	-0,019533	-0,149009	-0,001699	-0,000579	0,022217	-0,012967	0,184601	0,019488	0,055118
0,45	0,074497	0,050344	-0,049081	-0,001098	0,060267	0,012503	-0,028872	-0,045537	0,036443	0,007514	-0,122244	0,030419	-0,008623	0,036624	0,043634	0,081265	-0,005158	0,013885
0,5	-0,018427	-0,068301	-0,060474	0,033125	-0,00786	0,031092	-0,033297	0,005538	0,048409	-0,109947	-0,073843	0,05287	0,006695	0,061414	-0,052045	0,003967	0,029156	0,002797
0,55	0,018222	0,066439	0,039369	-0,028493	-0,051706	0,003512	0,020129	0,086704	0,00238	0,196429	-0,043768	0,001964	-0,007438	0,026008	0,040222	0,024123	0,011207	-0,001224
0,6000000000000001	0,013944	-0,007934	0,012463	-0,007404	0,056158	0,052647	-0,014535	-0,081726	-0,013423	-0,09733	-0,086996	0,019755	-0,010678	0,008033	-0,006222	-0,085021	0,005317	0,011104
0,65	-0,018819	0,057138	0,029688	0,03997	0,014826	0,005467	-0,001305	-0,108205	-0,005602	0,098103	-0,094654	0,008205	0,003082	0,054181	0,00592	-0,012265	-0,015668	-0,006253
0,7000000000000001	0,064273	0,002921	-0,004195	-0,04971	0,019354	0,021957	-0,009252	0,009134	0,027002	-0,241372	-0,088021	0,011489	0,01638	0,025341	0,024889	0,043098	0,028647	0,013073
0,75	-0,025344	-0,002628	0,001353	0,00371	-0,023426	0,029572	0,022937	-0,011433	0,054855	0,227692	-0,065984	0,003274	0,005049	0,0271	0,037575	-0,01343	-0,003817	0,003783
0,8	-0,031039	0,010533	-0,01403	0,014639	-0,025215	-0,019698	0,024163	-0,034375	0,011154	0,005587	-0,09093	0,012128	-0,018716	0,016409	0,007512	-0,032825	-0,012592	0,01258
0,8500000000000001	-0,035977	0,010476	0,023849	0,007999	0,035145	-0,024853	0,001443	0,043388	0,033547	-0,045202	-0,062987	0,023072	0,011417	0,027638	-0,012212	0,04237	-0,02249	0,005895
0,9	0,073413	-0,000496	0,00347	-0,010989	0,031541	0,054889	-0,007324	-0,015217	0,031711	-0,109398	-0,05032	0,010812	-0,001915	0,019032	-0,006984	-0,0103	0,015211	0,004213
0,9500000000000001	-0,016966	0,032681	0,001086	-0,017873	0,04458	0,012054	-0,054554	0,01607	0,021577	0,077891	-0,063629	0,018933	0,010775	0,025773	0,019023	0,030847	-0,003389	-0,005592
1,0	-0,012151	0,037984	-0,001581	0,009144	0,005477	0,047125	0,019944	-0,081037	-0,008518	-0,071425	-0,022036	-0,025587	-0,006759	0,034583	0,012384	0,009723	-0,00404	-0,002637
1,05	-0,019666	0,007471	0,025174	0,028138	-0,020616	-0,017431	0,03364	0,007156	0,025666	-0,075159	-0,022187	-0,005149	-0,009168	0,027322	0,037732	0,033437	0,004464	0,005717
1,1	-0,00015	-0,032288	-0,003281	0,026891	-0,002856	-0,034183	-0,032479	-0,02924	0,025751	-0,138999	-0,033579	-0,002785	0,0055	0,023559	0,022011	-0,013261	0,010901	0,008721
1,1500000000000001	-0,017478	-0,013473	0,005466	-0,008665	-0,006472	0,004949	-0,004533	-0,004596	0,002409	0,043897	-0,05919	0,014635	0,00356	0,013279	-0,013893	0,008924	-0,005842	0,017747
1,2000000000000002	0,03409	0,003123	0,010408	-0,012715	0,043286	-0,001742	-0,000461	0,046152	-0,004353	-0,041597	-0,04042	0,012312	0,003866	0,019217	-0,003372	-0,05217	-0,003833	0,001449
1,25	-0,006283	0,015743	0,014206	-0,002871	0,012516	-0,033565	0,011859	-0,027735	-0,000156	0,080203	-0,03096	-0,001789	-0,0006	0,028071	0,020032	-0,031691	0,001955	0,000904
1,3	0,004857	-0,003262	0,006762	-0,003705	-0,011853	-0,0003	0,015959	0,008401	0,001392	0,018612	-0,042701	0,015096	0,009281	0,035529	0,01151	0,035269	-0,005607	-0,004901
1,35	-0,001905	0,003256	0,004999	-0,008551	0,01924	0,027156	-0,00439	0,05637	0,010366	0,029699	-0,034903	0,018593	-0,005432	0,019485	0,006743	-0,010402	0,000648	0,014926
1,4000000000000001	-0,012761	0,040429	0,00313	0,012885	-0,005979	0,007793	0,00933	0,025692	0,010707	0,002053	-0,022262	-0,006908	-0,009222	0,027323	0,00995	-0,025236	0,008562	-0,00062
1,4500000000000002	-0,01956	0,023779	2,787776e-05	-0,003317	0,029502	0,001559	-0,000596	0,048303	0,021225	-0,0676	-0,049236	-0,001029	-0,002312	0,02325	0,00204	0,006417	-0,002968	0,007825
1,5	-0,00341	0,016793	0,00088	0,005946	0,021786	0,007338	0,017113	0,037966	0,015563	-0,052556	-0,023612	0,004111	-0,006367	0,026014	0,000751	-0,021371	-0,000217	0,001126
1,55	-0,021791	0,016249	-0,002164	3,247539e-05	0,017722	0,01895	-0,01009	0,034678	-0,014107	-0,034559	-0,012969	0,00836	-0,002042	0,032365	-0,004283	-0,037926	-0,000915	0,004193
1,6	0,0021	0,012356	-0,000802	0,004785	0,032007	-0,017158	0,010502	0,026834	0,008612	0,042318	-0,043684	0,001632	-0,001864	0,043765	0,015214	-0,00697	-0,006815	0,004118
1,6500000000000001	-0,00699	0,018343	-0,00378	0,013212	0,008664	0,013404	-0,013893	-0,005282	-0,001207	0,032141	-0,015834	0,008993	-0,008537	0,031306	0,016466	-0,006503	8,726721e-05	0,009416
1,7000000000000002	-0,008358	0,006476	-0,004056	0,016986	0,006967	0,016886	-0,006783	-0,018263	-0,006876	0,051996	-0,02992	-0,002385	0,000523	0,02333	0,01003	0,022599	0,003119	0,015103
1,75	-0,006939	0,002274	0,005003	0,026907	-0,005787	0,018291	0,000414	0,009338	-0,005872	0,090852	-0,025534	-0,013719	-0,006896	0,010429	-0,001927	0,038557	0,008494	0,001013
1,8	-0,052867	-0,011334	0,008842	0,009084	0,004654	-0,017956	0,014715	-0,016909	-0,029639	-0,079749	-0,022785	-0,012155	-0,001375	0,004858	-0,014696	0,005844	-0,002871	0,003988
