Frequenz - Plot 0	Amplitude - Plot 0
0	0
0	-0,000415274
0	0,000780776
0	-0,00148688
0	-7,36E-06
0	-0,000827239
1	0,000497968
1	-0,000107716
1	0,00095411
1	-0,000150793
1	0,000556825
1	6,54E-05
1	-0,000388115
1	-0,000577778
1	0,000146446
2	0,000272928
2	4,12E-05
2	0,000287438
2	0,000164448
2	-0,000206897
2	2,90E-05
2	0,000448202
2	-0,000197422
2	0,000463018
2	0,00064406
2	0,000703609
3	0,00105205
3	0,00144419
3	0,00325822
3	0,0106339
3	0,00413873
3	0,000819124
3	0,000204876
3	-0,000176286
3	0,000128143
4	0,000381251
4	0,000361238
4	0,000331293
4	0,000384696
4	0,000282233
4	-4,47E-05
4	0,000194055
4	0,000308659
4	0,000371232
4	0,000336707
4	0,000445368
5	0,000455698
5	0,000562073
5	0,000364531
5	0,000554907
5	0,000323901
5	0,00057139
5	0,000409924
5	0,000599991
5	0,000587054
6	0,000770872
6	0,000807078
6	0,000728177
6	0,000620625
6	0,000898474
6	0,00123251
6	0,00115473
6	0,00123297
6	0,00147198
6	0,00175878
6	0,00197652
7	0,00222241
7	0,00243418
7	0,00274035
7	0,00296604
7	0,00336797
7	0,00336524
7	0,00390243
7	0,00444065
7	0,00506867
8	0,00585145
8	0,00694846
8	0,00754241
8	0,00846449
8	0,00918977
8	0,00985971
8	0,0107451
8	0,0110408
8	0,0114021
8	0,0114556
8	0,0109271
9	0,00962954
9	0,00830248
9	0,00597669
9	0,00276903
9	-0,000916433
9	-0,00326682
9	-0,00296539
9	0,00382474
9	0,0112239
10	0,00602595
10	0,00621546
10	0,00664363
10	0,00607519
10	0,00545853
10	0,00463725
10	0,00382677
10	0,00333466
10	0,00238011
10	0,00214479
10	0,00191933
11	0,00193051
11	0,00214682
11	0,00185005
11	0,00162123
11	0,00138301
11	0,00124773
11	0,00129871
11	0,0012273
11	0,00134586
12	0,00139699
12	0,00132351
12	0,00124208
12	0,00113841
12	0,00113124
12	0,00108924
12	0,00119519
12	0,00120532
12	0,00116911
12	0,00110802
12	0,000948593
13	0,000959114
13	0,000754499
13	0,000724381
13	0,000579756
13	0,000498111
13	0,00060125
13	0,000439829
13	0,000458562
13	0,000418254
14	0,000512387
14	0,000349805
14	0,000293878
14	0,000475153
14	0,000325649
14	0,000351366
14	0,000347398
14	0,000491691
14	0,000332113
14	0,000514888
14	0,000373217
15	0,000339206
15	0,000292454
15	0,0004461
15	0,000562438
15	0,000710506
15	0,000919625
15	0,00117931
15	0,00146302
15	0,00208491
16	0,00248883
16	0,00318458
16	0,00375155
16	0,00479261
16	0,00608172
16	0,00999909
16	0,0165445
16	8,53E-05
16	0,00149005
16	0,00170045
16	0,0018532
17	0,0018921
17	0,00185777
17	0,00186884
17	0,00167362
17	0,00169571
17	0,00195619
17	0,0017811
17	0,00177883
17	0,00203105
18	0,00179383
18	0,00165198
18	0,00157282
18	0,00137216
18	0,00117767
18	0,00106201
18	0,000761561
18	0,000557253
18	0,000504402
18	0,000514787
18	0,000422054
19	0,000319694
19	0,000299524
19	0,000364613
19	0,000456696
19	0,000385647
19	0,000388565
19	0,000356115
19	0,000390533
19	0,000339766
20	0,000218266
20	0,000433517
20	0,000537899
20	0,00049421
20	0,000629673
