Time - Force	Amplitude - Force
0	-0,0122964
0,000605	-0,0491437
0,001211	-0,0352172
0,001816	-0,0384087
0,002422	-0,0363777
0,003027	-0,0337665
0,003633	-0,0149077
0,004238	-0,0363777
0,004844	-0,0517549
0,005449	-0,00968522
0,006055	-0,030575
0,00666	-0,00562332
0,007266	-0,0239019
0,007871	-0,0323158
0,008477	-0,0308651
0,009082	-0,0302849
0,009687	-0,0462423
0,010293	-0,0224512
0,010898	-0,0291243
0,011504	-0,0320257
0,012109	-0,0366678
0,012715	-0,0337665
0,01332	-0,0201301
0,013926	-0,0253525
0,014531	-0,0268032
0,015137	-0,0236117
0,015742	-0,0326059
0,016348	-0,0352172
0,016953	-0,0462423
0,017559	-0,0427607
0,018164	-0,00852468
0,01877	-0,0160682
0,019375	-0,0163583
0,01998	-0,0323158
0,020586	-0,0445015
0,021191	-0,028544
0,021797	-0,0439212
0,022402	-0,060459
0,023008	-0,0372481
0,023613	-0,0326059
0,024219	-0,0215808
0,024824	-0,0151978
0,02543	-0,0183893
0,026035	-0,0291243
0,026641	-0,0343468
0,027246	-0,0244821
0,027852	-0,0273835
0,028457	-0,028544
0,029062	-0,0346369
0,029668	-0,0352172
0,030273	-0,0212906
0,030879	-0,0244821
0,031484	-0,026223
0,03209	-0,0311553
0,032695	-0,0563971
0,033301	-0,0265131
0,033906	-0,0326059
0,034512	-0,0311553
0,035117	-0,0230315
0,035723	-0,0320257
0,036328	-0,024192
0,036934	-0,0227413
0,037539	-0,013457
0,038145	-0,0328961
0,03875	-0,028544
0,039355	-0,0389889
0,039961	-0,011426
0,040566	-0,0244821
0,041172	-0,0236117
0,041777	-0,0180992
0,042383	-0,0311553
0,042988	0,00279062
0,043594	-0,0299947
0,044199	-0,0166485
0,044805	-0,0128767
0,04541	-0,0340566
0,046016	-0,028544
0,046621	-0,0270934
0,047227	-0,0340566
0,047832	-0,00968522
0,048438	-0,0407297
0,049043	-0,0334763
0,049648	-0,0282539
0,050254	-0,0317355
0,050859	-0,0308651
0,051465	-0,0224512
0,05207	-0,0212906
0,052676	-0,0146175
0,053281	-0,0343468
0,053887	-0,0221611
0,054492	-0,0128767
0,055098	-0,0331862
0,055703	-0,0215808
0,056309	-0,0151978
0,056914	-0,0233216
0,05752	-0,036958
0,058125	-0,024192
0,05873	-0,0253525
0,059336	-0,0407297
0,059941	-0,0215808
0,060547	-0,0244821
0,061152	-0,0175189
0,061758	-0,0366678
0,062363	-0,0427607
0,062969	-0,00127128
0,063574	-0,0311553
0,06418	-0,0169386
0,064785	-0,01984
0,065391	-0,0355073
0,065996	-0,0326059
0,066602	-0,0215808
0,067207	-0,0279638
0,067812	-0,011426
0,068418	-0,0346369
0,069023	-0,024192
0,069629	-0,0111359
0,070234	-0,0111359
0,07084	-0,0311553
0,071445	-0,0117162
0,072051	-0,0180992
0,072656	-0,011426
0,073262	-0,0250624
0,073867	-0,0218709
0,074473	-0,0372481
0,075078	-0,0410199
0,075684	-0,0395692
0,076289	-0,0186794
0,076895	-0,0154879
