Time - Acceleration	Amplitude - Acceleration
0	-0,000962977
0,000605	-0,000996006
0,001211	-0,000866895
0,001816	-0,000971985
0,002422	-0,00104405
0,003027	-0,000947964
0,003633	-0,000935954
0,004238	-0,000875903
0,004844	-0,00100802
0,005449	-0,00103504
0,006055	-0,000944962
0,00666	-0,000893918
0,007266	-0,00103804
0,007871	-0,000962977
0,008477	-0,00100501
0,009082	-0,000896921
0,009687	-0,000990001
0,010293	-0,00109809
0,010898	-0,000830864
0,011504	-0,00124822
0,012109	-0,00108008
0,012715	-0,00103204
0,01332	-0,00108608
0,013926	-0,000935954
0,014531	-0,000887913
0,015137	-0,000911934
0,015742	-0,00103504
0,016348	-0,00108909
0,016953	-0,000990001
0,017559	-0,0012272
0,018164	-0,00139835
0,01877	-0,00100501
0,019375	-0,0011071
0,01998	-0,0011041
0,020586	-0,00127825
0,021191	-0,0012212
0,021797	-0,00118817
0,022402	-0,00124222
0,023008	-0,00112812
0,023613	-0,0012242
0,024219	-0,00126924
0,024824	-0,00135631
0,02543	-0,00112512
0,026035	-0,00148543
0,026641	-0,0013413
0,027246	-0,00152746
0,027852	-0,00140436
0,028457	-0,00140736
0,029062	-0,00141036
0,029668	-0,00140736
0,030273	-0,00128726
0,030879	-0,0013413
0,031484	-0,00135331
0,03209	-0,00146141
0,032695	-0,00146141
0,033301	-0,00147642
0,033906	-0,00132929
0,034512	-0,00120318
0,035117	-0,0013443
0,035723	-0,00137433
0,036328	-0,00135932
0,036934	-0,00129626
0,037539	-0,00114914
0,038145	-0,00128726
0,03875	-0,00125423
0,039355	-0,00104705
0,039961	-0,0013383
0,040566	-0,00143438
0,041172	-0,00127224
0,041777	-0,00120018
0,042383	-0,00141036
0,042988	-0,00119418
0,043594	-0,00135631
0,044199	-0,00128425
0,044805	-0,00125122
0,04541	-0,00139835
0,046016	-0,00120318
0,046621	-0,00126023
0,047227	-0,00108308
0,047832	-0,00130527
0,048438	-0,00143438
0,049043	-0,00120018
0,049648	-0,00115214
0,050254	-0,00116115
0,050859	-0,00111311
0,051465	-0,00105005
0,05207	-0,000996006
0,052676	-0,00105305
0,053281	-0,00105906
0,053887	-0,00126324
0,054492	-0,00117916
0,055098	-0,00123321
0,055703	-0,00106506
0,056309	-0,00116415
0,056914	-0,00125122
0,05752	-0,00127825
0,058125	-0,00107107
0,05873	-0,00114914
0,059336	-0,00111611
0,059941	-0,00115514
0,060547	-0,000983995
0,061152	-0,00104405
0,061758	-0,00107107
0,062363	-0,00117616
0,062969	-0,00105005
0,063574	-0,000971985
0,06418	-0,00100802
0,064785	-0,000980993
0,065391	-0,000932952
0,065996	-0,00116115
0,066602	-0,00112512
0,067207	-0,00113112
0,067812	-0,00112812
0,068418	-0,00101402
0,069023	-0,000917939
0,069629	-0,000887913
0,070234	-0,00106506
0,07084	-0,000620684
0,071445	-0,000659717
0,072051	-0,000902926
0,072656	-0,000993003
0,073262	-0,000986998
0,073867	-0,0012182
0,074473	-0,000743789
0,075078	-0,000905928
0,075684	-0,000908931
0,076289	-0,00100201
0,076895	-0,000587655
0,0775	-0,000950967
0,078105	-0,00103804
0,078711	-0,000986998
0,079316	-0,000993003
0,079922	-0,000944962
0,080527	-0,00095397
0,081133	-0,000878905
0,081738	-0,000986998
0,082344	-0,000926946
0,082949	-0,000890916
0,083555	-0,000821856
0,08416	-0,000869898
0,084766	-0,000917939
0,085371	-0,000797836
0,085977	-0,000794833
0,086582	-0,000971985
0,087188	-0,000950967
0,087793	-0,000842874
0,088398	-0,000773815
0,089004	-0,000996006
0,089609	-0,000707758
0,090215	-0,000722771
0,09082	-0,000854885
0,091426	-0,000971985
0,092031	-0,000923944
0,092637	-0,000929949
0,093242	-0,00105606
0,093848	-0,000923944
0,094453	-0,000893918
0,095059	-0,000827861
0,095664	-0,000902926
0,09627	-0,000890916
0,096875	-0,000908931
0,09748	-0,000911934
0,098086	-0,000911934
0,098691	-0,000968983
0,099297	-0,00125122
0,099902	-0,000983995
0,100508	-0,000809846
0,101113	-0,00105606
0,101719	-0,0011011
0,102324	-0,00106506
0,10293	-0,000980993
0,103535	-0,000800838
0,104141	-0,00112812
0,104746	-0,000959975
0,105352	-0,00102003
0,105957	-0,00108608
0,106563	-0,000866895
0,107168	-0,00096598
0,107773	-0,00112211
0,108379	-0,000950967
0,108984	-0,00108608
0,10959	-0,00131128
0,110195	-0,00118817
0,110801	-0,0012212
0,111406	-0,00100802
0,112012	-0,000812849
0,112617	-0,00112211
0,113223	-0,00124222
0,113828	-0,00102603
0,114434	-0,00112512
0,115039	-0,00126023
0,115645	-0,00120919
0,11625	-0,00121519
0,116855	-0,000917939
0,117461	-0,000962977
0,118066	-0,00088491
0,118672	-0,000920941
0,119277	-0,00112812
0,119883	-0,0011101
0,120488	-0,00117916
0,121094	-0,000986998
0,121699	-0,00113112
0,122305	-0,00104104
0,12291	-0,00116115
0,123516	-0,00121519
0,124121	-0,00135631
0,124727	-0,00108909
0,125332	-0,00119117
0,125938	-0,00113112
0,126543	-0,00117316
0,127148	-0,00119117
0,127754	-0,00115214
0,128359	-0,00127825
0,128965	-0,00123321
0,12957	-0,00107708
0,130176	-0,00126023
0,130781	-0,00133229
0,131387	-0,00106206
0,131992	-0,00120318
0,132598	-0,00126023
0,133203	-0,0011011
0,133809	-0,00137133
0,134414	-0,00120318
0,13502	-0,00117316
0,135625	-0,00120919
0,13623	-0,0015695
0,136836	-0,00123921
0,137441	-0,00143138
0,138047	-0,00109209
0,138652	-0,00124222
0,139258	-0,00112512
0,139863	-0,00124522
0,140469	-0,00116415
0,141074	-0,00116415
0,14168	-0,00127825
0,142285	-0,0012272
0,142891	-0,00117616
0,143496	-0,00105906
0,144102	-0,00100201
0,144707	-0,00136232
0,145313	-0,00114313
0,145918	-0,00107407
0,146523	-0,00106506
0,147129	-0,00103504
0,147734	-0,0012182
0,14834	-0,000983995
0,148945	-0,000974988
0,149551	-0,00126023
0,150156	-0,00123621
0,150762	-0,00113112
0,151367	-0,00113713
0,151973	-0,00124522
0,152578	-0,00114313
0,153184	-0,00116115
0,153789	-0,00100802
0,154395	-0,00111311
0,155	-0,00114914
0,155605	-0,00129026
0,156211	-0,00114613
0,156816	-0,0011101
0,157422	-0,00103804
0,158027	-0,00102603
0,158633	-0,00100501
0,159238	-0,00113112
0,159844	-0,00103204
0,160449	-0,00105305
0,161055	-0,00103504
0,16166	-0,00105305
0,162266	-0,000857887
0,162871	-0,00086089
0,163477	-0,000893918
0,164082	-0,000914936
0,164687	-0,00108308
0,165293	-0,000917939
0,165898	-0,00100802
0,166504	-0,000605671
0,167109	-0,000752797
0,167715	-0,000893918
0,16832	-0,00097799
0,168926	-0,00102603
0,169531	-0,000839872
0,170137	-0,000896921
0,170742	-0,00101702
0,171348	-0,000776818
0,171953	-0,000929949
0,172559	-0,000896921
0,173164	-0,00101102
0,17377	-0,000956972
0,174375	-0,00119418
0,17498	-0,000996006
0,175586	-0,00114613
0,176191	-0,00105305
0,176797	-0,000996006
0,177402	-0,00096598
0,178008	-0,000827861
0,178613	-0,000839872
0,179219	-0,000845877
0,179824	-0,000815851
0,18043	-0,000968983
0,181035	-0,00111311
0,181641	-0,000749794
0,182246	-0,000869898
0,182852	-0,000839872
0,183457	-0,000680735
0,184062	-0,00103504
0,184668	-0,00088491
0,185273	-0,000878905
0,185879	-0,000764807
0,186484	-0,000806843
0,18709	-0,000947964
0,187695	-0,000677733
0,188301	-0,000899923
0,188906	-0,00103204
0,189512	-0,000947964
0,190117	-0,000917939
0,190723	-0,000899923
0,191328	-0,000968983
0,191934	-0,000845877
0,192539	-0,000914936
0,193145	-0,00097799
0,19375	-0,000851882
0,194355	-0,00100201
0,194961	-0,000836869
0,195566	-0,00104405
0,196172	-0,000962977
0,196777	-0,00107107
0,197383	-0,000996006
0,197988	-0,00111311
0,198594	-0,000944962
0,199199	-0,00102003
0,199805	-0,00105906
0,20041	-0,00104405
0,201016	-0,00111311
0,201621	-0,00117616
0,202227	-0,00129026
0,202832	-0,00126324
0,203437	-0,00114914
0,204043	-0,00116115
0,204648	-0,00104405
0,205254	-0,00117916
0,205859	-0,00105906
0,206465	-0,00112812
0,20707	-0,000878905
0,207676	-0,00124522
0,208281	-0,00111311
0,208887	-0,00111311
0,209492	-0,000996006
0,210098	-0,00131728
0,210703	-0,00119117
0,211309	-0,00132028
0,211914	-0,00131428
0,21252	-0,00114013
0,213125	-0,00132929
0,21373	-0,00113713
0,214336	-0,00120318
0,214941	-0,00126624
0,215547	-0,00126023
0,216152	-0,00138334
0,216758	-0,00126023
0,217363	-0,00111611
0,217969	-0,00119718
0,218574	-0,00125723
0,21918	-0,0012212
0,219785	-0,00101402
0,220391	-0,00119117
0,220996	-0,00153046
0,221602	-0,00126924
0,222207	-0,00132929
0,222812	-0,00131728
0,223418	-0,00135331
0,224023	-0,00132028
0,224629	-0,00127525
0,225234	-0,0012212
0,22584	-0,00130827
0,226445	-0,00154848
0,227051	-0,00119117
0,227656	-0,00136532
0,228262	-0,00126624
0,228867	-0,00127525
0,229473	-0,00144339
0,230078	-0,00128125
0,230684	-0,00148543
0,231289	-0,00143738
0,231895	-0,00105005
0,2325	-0,00126624
0,233105	-0,00131128
0,233711	-0,00137733
0,234316	-0,00136532
0,234922	-0,00148242
0,235527	-0,00160553
0,236133	-0,00152146
