Frequenz - Plot 0	Amplitude - Plot 0
0	0,0421086
0	-0,00072048
0	0,000222402
0	-0,000874447
0	0,000252862
0	4,46E-05
1	0,000149968
1	5,24E-05
1	-0,000357261
1	-0,000276457
1	-0,00025679
1	-0,000109228
1	-0,00029707
1	-0,000243288
1	-0,000432311
2	-0,000337796
2	-1,92E-05
2	-0,000253747
2	-0,000129411
2	-0,000327389
2	-8,54E-06
2	-0,000167412
2	-3,97E-05
2	-0,000570692
2	-0,000116978
2	-7,77E-05
3	-0,000370347
3	-0,000316424
3	-0,000597182
3	-0,000255702
3	-0,000879754
3	-0,00185902
3	0,00429912
3	0,00113723
3	0,000528975
4	0,000257807
4	0,000259069
4	0,000264598
4	6,86E-05
4	0,000182156
4	0,000218688
4	0,000218343
4	0,000223878
4	0,000275034
4	0,000248819
4	0,000160787
5	0,000196303
5	0,000273742
5	0,000184603
5	7,94E-05
5	0,00011456
5	0,000206573
5	0,000197661
5	0,000205275
5	0,000254394
6	0,000242179
6	0,00023481
6	0,00029499
6	0,000341498
6	0,00045899
6	0,000280787
6	0,000343371
6	0,000183485
6	0,000228332
6	0,000161844
6	0,000358853
7	0,000165245
7	-4,97E-05
7	-5,44E-05
7	-0,000114048
7	-0,000442916
7	-0,000494751
7	-0,000693115
7	-0,000496997
7	-0,00030599
8	-0,000186735
8	-0,000182445
8	-0,000165219
8	-0,000127113
8	-4,58E-05
8	7,84E-06
8	0,000159108
8	0,000243206
8	0,000235383
8	0,000377523
8	0,000467581
9	0,000346483
9	0,000640262
9	0,000614724
9	0,000902625
9	0,000985736
9	0,000747529
9	9,31E-05
9	-0,0065989
9	-0,00535363
10	-0,00344083
10	-0,00331475
10	-0,00336319
10	-0,00335196
10	-0,00216848
10	-0,000731403
10	-0,000189211
10	0,00091232
10	0,00230647
10	0,00277848
10	0,00299657
11	0,00221081
11	0,00127598
11	0,000235038
11	-0,000577648
11	-7,09E-06
11	0,00013758
11	0,000808615
11	-8,49E-06
11	3,70E-05
12	0,000100698
12	-1,79E-05
12	-8,05E-05
12	-0,000188524
12	-0,000213808
12	-0,00015553
12	-0,000263396
12	-0,00026014
12	-0,000263159
12	-0,000255437
12	-0,000303194
13	-0,00023385
13	-0,000227251
13	-0,000328622
13	-0,000332362
13	-0,000419678
13	-0,000489063
13	-0,000513461
13	-0,000598595
13	-0,000598834
14	-0,000552801
14	-0,000598544
14	-0,000686794
14	-0,000672334
14	-0,000783562
14	-0,000803929
14	-0,000798587
14	-0,000895959
14	-0,00109036
14	-0,00119598
14	-0,00132888
15	-0,00151407
15	-0,00171347
15	-0,00186894
15	-0,00204389
15	-0,00216057
15	-0,00229856
15	-0,00253185
15	-0,00267279
15	-0,00278315
16	-0,00273723
16	-0,00273543
16	-0,0026122
16	-0,00256799
16	-0,00289601
16	-0,00309109
16	0,0055471
16	0,0153021
16	0,00679727
16	0,00496978
16	0,00415581
17	0,00368082
17	0,00331926
17	0,00311666
17	0,0028698
17	0,00283759
17	0,00262993
17	0,0025468
17	0,0025879
17	0,00262202
18	0,00254875
18	0,00246296
18	0,0025551
18	0,00248081
18	0,00233256
18	0,00223757
18	0,00207443
18	0,00205212
18	0,00201619
18	0,00194057
