timestamp,X,Y,Z
1764066689441,0.019154,-0.035913,9.873688
1764066689449,0.007183,-0.016759,9.844957
1764066689457,0.007183,-0.031125,9.854534
1764066689465,0.004788,-0.043096,9.847352
1764066689473,0.021548,-0.038307,9.849746
1764066689481,0.016759,-0.011971,9.849746
1764066689489,0.011971,-0.011971,9.864111
1764066689497,0.011971,-0.031125,9.866506
1764066689505,0.007183,-0.038307,9.852140
1764066689513,0.009577,-0.038307,9.859323
1764066689521,0.007183,-0.011971,9.868899
1764066689529,0.011971,0.000000,9.864111
1764066689537,-0.009577,-0.009577,9.849746
1764066689545,-0.007183,-0.019154,9.856929
1764066689553,0.000000,0.028730,9.567230
1764066689561,0.023942,-0.040701,9.976639
1764066689569,0.011971,-0.052672,9.974244
1764066689577,-0.009577,-0.007183,9.840169
1764066689585,0.011971,-0.035913,9.952697
1764066689593,0.026336,-0.009577,9.643845
1764066689601,0.052672,-0.016759,9.854534
1764066689609,-0.002394,-0.009577,9.830592
1764066689617,-0.004788,-0.038307,9.928755
1764066689625,0.011971,-0.016759,9.799467
1764066689633,0.021548,-0.033519,9.871294
1764066689641,0.011971,-0.033519,9.844957
1764066689649,0.014365,-0.033519,9.804255
1764066689657,0.026336,-0.026336,9.888053
1764066689665,-0.007183,-0.035913,9.842564
1764066689673,0.007183,-0.026336,9.852140
1764066689681,0.023942,-0.031125,9.864111
1764066689689,0.002394,-0.011971,9.818622
1764066689697,0.011971,-0.007183,9.856929
1764066689705,0.007183,-0.023942,9.873688
1764066689713,0.011971,-0.023942,9.852140
1764066689721,0.004788,-0.043096,9.854534
1764066689729,0.009577,-0.035913,9.864111
1764066689737,0.019154,-0.021548,9.835381
1764066689745,0.007183,-0.021548,9.842564
1764066689753,0.016759,-0.023942,9.847352
1764066689761,0.007183,-0.021548,9.849746
1764066689769,0.007183,-0.014365,9.837775
1764066689777,0.011971,-0.021548,9.842564
1764066689785,0.000000,-0.016759,9.864111
1764066689793,0.011971,-0.026336,9.830592
1764066689801,0.014365,-0.031125,9.868899
1764066689809,0.004788,-0.038307,9.825804
1764066689817,0.019154,-0.028730,9.844957
1764066689825,0.019154,-0.028730,9.868899
1764066689833,0.007183,-0.011971,9.823410
1764066689841,-0.002394,0.002394,9.868899
1764066689849,0.023942,-0.007183,9.840169
1764066689857,0.011971,-0.031125,9.828198
1764066689865,0.007183,-0.050278,9.861717
1764066689873,0.016759,-0.062249,9.852140
1764066689880,0.009577,-0.047884,9.878476
1764066689889,0.004788,-0.043096,9.911995
1764066689897,0.000000,-0.014365,9.840169
1764066689905,0.011971,-0.007183,9.885659
1764066689913,-0.002394,0.000000,9.876082
1764066689921,0.002394,-0.009577,9.828198
1764066689929,0.007183,-0.021548,9.868899
1764066689937,0.002394,-0.043096,9.832987
1764066689945,0.011971,-0.045490,9.811439
1764066689953,0.021548,-0.045490,9.856929
1764066689961,0.009577,-0.021548,9.799467
1764066689969,0.014365,-0.002394,9.830592
1764066689977,0.004788,-0.011971,9.842564
1764066689985,0.000000,-0.009577,9.825804
1764066689993,0.021548,-0.023942,9.880871
1764066690001,0.007183,-0.026336,9.892841
1764066690009,0.004788,-0.043096,9.832987
1764066690017,0.021548,-0.035913,9.883265
1764066690025,0.007183,-0.028730,9.854534
1764066690033,0.011971,-0.028730,9.809045
1764066690041,0.023942,-0.016759,9.892841
1764066690049,0.009577,-0.009577,9.837775
1764066690057,0.011971,-0.023942,9.844957
1764066690065,0.014365,-0.031125,9.883265
1764066690073,0.007183,-0.023942,9.844957
1764066690081,0.019154,-0.023942,9.856929
1764066690089,0.011971,-0.014365,9.854534
1764066690097,0.007183,-0.031125,9.852140
1764066690105,0.019154,-0.028730,9.876082
1764066690113,-0.002394,-0.033519,9.854534
1764066690121,0.004788,-0.028730,9.864111
1764066690129,0.014365,-0.028730,9.876082
1764066690137,0.000000,-0.014365,9.842564
1764066690145,0.004788,-0.009577,9.847352
1764066690153,0.021548,-0.035913,9.878476
1764066690161,0.002394,-0.035913,9.830592
1764066690169,0.014365,-0.031125,9.878476
1764066690177,0.004788,-0.033519,9.864111
1764066690185,0.011971,-0.011971,9.828198
1764066690193,0.016759,-0.023942,9.880871
1764066690201,0.019154,-0.021548,9.861717
1764066690209,-0.002394,-0.028730,9.830592
1764066690217,0.004788,-0.026336,9.892841
1764066690225,0.014365,-0.019154,9.832987
1764066690233,0.002394,-0.021548,9.871294
1764066690241,0.011971,-0.035913,9.861717
1764066690249,0.011971,-0.023942,9.835381
1764066690257,0.000000,-0.028730,9.868899
1764066690265,0.019154,-0.016759,9.835381
1764066690273,0.009577,-0.016759,9.840169
1764066690281,0.014365,-0.021548,9.871294
1764066690289,0.007183,-0.021548,9.804255
