timestamp,X,Y,Z
1764073560015,-0.009577,-0.134075,9.981427
1764073560023,0.023942,-0.131681,9.787497
1764073560031,0.014365,-0.143652,9.883265
1764073560039,0.009577,-0.146046,9.854534
1764073560047,0.009577,-0.129287,9.837775
1764073560055,0.004788,-0.126893,9.864111
1764073560063,0.004788,-0.110133,9.866506
1764073560071,0.021548,-0.100556,9.825804
1764073560079,0.011971,-0.107739,9.866506
1764073560087,0.000000,-0.129287,9.837775
1764073560095,0.009577,-0.129287,9.888053
1764073560103,0.002394,-0.126893,9.837775
1764073560111,0.000000,-0.129287,9.876082
1764073560119,0.002394,-0.148441,9.868899
1764073560127,0.009577,-0.131681,9.835381
1764073560135,-0.004788,-0.134075,9.871294
1764073560143,0.011971,-0.129287,9.818622
1764073560151,0.002394,-0.122104,9.873688
1764073560159,0.019154,-0.114922,9.813833
1764073560167,0.000000,-0.119710,9.849746
1764073560175,0.016759,-0.119710,9.844957
1764073560183,0.014365,-0.126893,9.866506
1764073560191,0.009577,-0.131681,9.842564
1764073560199,0.007183,-0.112527,9.864111
1764073560207,0.019154,-0.117316,9.830592
1764073560215,0.014365,-0.122104,9.854534
1764073560223,0.009577,-0.122104,9.828198
1764073560231,0.023942,-0.129287,9.866506
1764073560239,0.011971,-0.129287,9.842564
1764073560247,0.014365,-0.122104,9.856929
1764073560255,0.019154,-0.131681,9.868899
1764073560263,0.011971,-0.117316,9.832987
1764073560271,0.009577,-0.129287,9.866506
1764073560279,0.019154,-0.124498,9.837775
1764073560287,0.002394,-0.117316,9.849746
1764073560295,0.014365,-0.126893,9.880871
1764073560303,0.002394,-0.131681,9.844957
1764073560311,0.000000,-0.136469,9.866506
1764073560319,-0.002394,-0.117316,9.840169
1764073560327,0.023942,-0.148441,9.835381
1764073560335,0.016759,-0.124498,9.832987
1764073560343,0.019154,-0.126893,9.825804
1764073560351,-0.002394,-0.126893,9.866506
1764073560359,0.004788,-0.117316,9.830592
1764073560367,0.009577,-0.124498,9.852140
1764073560375,0.019154,-0.126893,9.840169
1764073560383,-0.004788,-0.126893,9.878476
1764073560391,0.023942,-0.119710,9.821015
1764073560399,-0.007183,-0.134075,9.940725
1764073560407,0.014365,-0.126893,9.768343
1764073560415,0.019154,-0.136469,9.935937
1764073560423,0.016759,-0.095768,9.806650
1764073560431,-0.016759,-0.129287,9.931149
1764073560439,0.033519,-0.110133,9.837775
1764073560447,-0.016759,-0.129287,9.873688
1764073560455,0.028730,-0.110133,9.852140
1764073560463,0.004788,-0.129287,9.864111
1764073560471,0.011971,-0.126893,9.828198
1764073560479,0.019154,-0.126893,9.871294
1764073560487,0.031125,-0.131681,9.821015
1764073560495,0.014365,-0.117316,9.892841
1764073560503,0.004788,-0.107739,9.852140
1764073560511,0.009577,-0.136469,9.864111
