timestamp,X,Y,Z
1764072357021,-0.031125,-0.050278,9.801862
1764072357029,-0.021548,-0.052672,9.878476
1764072357037,-0.023942,-0.052672,9.868899
1764072357045,-0.033519,-0.043096,9.794679
1764072357053,-0.023942,-0.062249,9.878476
1764072357061,-0.021548,-0.067038,9.854534
1764072357069,-0.031125,-0.047884,9.799467
1764072357077,-0.021548,-0.052672,9.890448
1764072357085,-0.023942,-0.043096,9.876082
1764072357093,-0.035913,-0.038307,9.797073
1764072357101,-0.019154,-0.043096,9.907207
1764072357109,-0.038307,-0.064643,9.871294
1764072357117,-0.021548,-0.040701,9.789890
1764072357125,-0.016759,-0.052672,9.900024
1764072357133,-0.035913,-0.057461,9.876082
1764072357141,-0.050278,-0.028730,9.794679
1764072357149,-0.021548,-0.038307,9.895236
1764072357157,-0.014365,-0.031125,9.837775
1764072357165,-0.026336,-0.038307,9.775525
1764072357173,-0.026336,-0.059855,9.895236
1764072357181,-0.014365,-0.045490,9.854534
1764072357189,-0.026336,-0.050278,9.804255
1764072357197,-0.019154,-0.057461,9.878476
1764072357205,-0.011971,-0.031125,9.847352
1764072357213,-0.028730,-0.033519,9.835381
1764072357221,-0.023942,-0.050278,9.876082
1764072357229,-0.023942,-0.043096,9.844957
1764072357237,-0.035913,-0.064643,9.840169
1764072357245,-0.031125,-0.059855,9.866506
1764072357253,-0.023942,-0.057461,9.835381
1764072357261,-0.026336,-0.059855,9.859323
1764072357269,-0.021548,-0.045490,9.840169
1764072357277,-0.033519,-0.040701,9.811439
1764072357285,-0.023942,-0.031125,9.871294
1764072357293,-0.028730,-0.028730,9.861717
1764072357301,-0.028730,-0.038307,9.816227
1764072357309,-0.028730,-0.045490,9.871294
1764072357317,-0.014365,-0.047884,9.832987
1764072357325,-0.023942,-0.033519,9.813833
1764072357333,-0.016759,-0.057461,9.864111
1764072357341,-0.023942,-0.047884,9.859323
1764072357349,-0.033519,-0.033519,9.821015
1764072357357,-0.021548,-0.038307,9.866506
1764072357365,-0.019154,-0.028730,9.861717
1764072357373,-0.023942,-0.040701,9.828198
1764072357381,-0.023942,-0.055067,9.847352
1764072357389,-0.009577,-0.047884,9.859323
1764072357397,-0.021548,-0.050278,9.837775
1764072357405,-0.023942,-0.040701,9.830592
1764072357413,-0.011971,-0.040701,9.854534
1764072357421,-0.026336,-0.043096,9.849746
1764072357429,-0.023942,-0.038307,9.816227
1764072357437,-0.007183,-0.055067,9.871294
1764072357445,-0.026336,-0.057461,9.859323
1764072357453,-0.016759,-0.043096,9.821015
1764072357461,-0.009577,-0.047884,9.849746
1764072357469,-0.028730,-0.031125,9.854534
1764072357477,-0.011971,-0.047884,9.832987
1764072357485,-0.026336,-0.047884,9.859323
1764072357493,-0.023942,-0.045490,9.888053
1764072357501,-0.023942,-0.035913,9.832987
1764072357509,-0.035913,-0.059855,9.854534
1764072357517,-0.021548,-0.067038,9.852140
1764072357525,-0.009577,-0.064643,9.825804
1764072357533,-0.033519,-0.043096,9.861717
1764072357541,-0.031125,-0.028730,9.876082
1764072357549,-0.016759,-0.033519,9.844957
1764072357557,-0.033519,-0.062249,9.852140
1764072357565,-0.023942,-0.064643,9.856929
1764072357573,-0.033519,-0.050278,9.859323
1764072357581,-0.019154,-0.050278,9.854534
1764072357589,-0.028730,-0.043096,9.864111
1764072357597,-0.028730,-0.043096,9.847352
1764072357605,-0.023942,-0.045490,9.849746
1764072357613,-0.023942,-0.047884,9.847352
1764072357621,-0.021548,-0.040701,9.844957
1764072357629,-0.021548,-0.040701,9.866506
1764072357637,-0.026336,-0.047884,9.849746
1764072357645,-0.014365,-0.043096,9.854534
1764072357653,-0.011971,-0.057461,9.854534
1764072357661,-0.028730,-0.050278,9.840169
1764072357669,-0.028730,-0.064643,9.840169
1764072357677,-0.023942,-0.047884,9.866506
1764072357685,-0.019154,-0.045490,9.842564
1764072357693,-0.040701,-0.040701,9.818622
