timestamp,X,Y,Z
1764072928947,-0.045490,-0.040701,9.672575
1764072928955,-0.014365,-0.040701,10.074800
1764072928963,-0.021548,-0.062249,9.792285
1764072928971,-0.035913,-0.043096,9.682152
1764072928979,-0.014365,-0.062249,10.038888
1764072928987,-0.026336,-0.067038,9.840169
1764072928995,-0.019154,-0.040701,9.725247
1764072929003,-0.021548,-0.076614,9.995792
1764072929011,-0.014365,-0.045490,9.804255
1764072929019,-0.009577,-0.050278,9.737218
1764072929027,-0.031125,-0.088585,9.988609
1764072929035,-0.021548,-0.043096,9.801862
1764072929043,-0.019154,-0.055067,9.782708
1764072929051,-0.026336,-0.059855,9.962274
1764072929059,-0.021548,-0.040701,9.797073
1764072929067,-0.021548,-0.062249,9.792285
1764072929075,-0.033519,-0.083797,9.955091
1764072929083,-0.016759,-0.055067,9.792285
1764072929091,-0.021548,-0.043096,9.821015
1764072929099,-0.023942,-0.038307,9.957485
1764072929107,-0.026336,-0.043096,9.777920
1764072929115,-0.011971,-0.064643,9.811439
1764072929123,-0.026336,-0.079009,9.933543
1764072929131,-0.014365,-0.052672,9.797073
1764072929139,-0.021548,-0.047884,9.854534
1764072929147,-0.019154,-0.064643,9.926360
1764072929155,-0.031125,-0.055067,9.799467
1764072929163,-0.028730,-0.055067,9.832987
1764072929171,-0.028730,-0.064643,9.900024
1764072929179,-0.016759,-0.067038,9.806650
1764072929187,-0.016759,-0.071826,9.835381
1764072929195,-0.016759,-0.062249,9.897630
1764072929203,-0.009577,-0.050278,9.832987
1764072929211,-0.026336,-0.064643,9.830592
1764072929219,-0.031125,-0.062249,9.871294
1764072929227,-0.026336,-0.055067,9.840169
1764072929235,-0.009577,-0.050278,9.849746
1764072929243,-0.026336,-0.052672,9.876082
1764072929251,-0.028730,-0.047884,9.844957
1764072929259,-0.014365,-0.069432,9.856929
1764072929267,-0.035913,-0.069432,9.864111
1764072929275,-0.014365,-0.067038,9.871294
1764072929283,-0.019154,-0.059855,9.849746
1764072929291,-0.045490,-0.052672,9.859323
1764072929299,-0.019154,-0.050278,9.864111
1764072929307,-0.019154,-0.040701,9.832987
1764072929315,-0.035913,-0.059855,9.842564
1764072929323,-0.035913,-0.055067,9.840169
1764072929331,-0.028730,-0.067038,9.830592
1764072929339,-0.033519,-0.062249,9.842564
1764072929347,-0.033519,-0.052672,9.830592
1764072929355,-0.023942,-0.062249,9.868899
1764072929363,-0.023942,-0.064643,9.859323
1764072929371,-0.021548,-0.035913,9.840169
1764072929379,-0.031125,-0.045490,9.847352
1764072929387,-0.026336,-0.057461,9.856929
1764072929395,-0.031125,-0.074220,9.837775
1764072929403,-0.002394,-0.071826,9.861717
1764072929411,-0.011971,-0.067038,9.873688
1764072929419,-0.040701,-0.076614,9.837775
1764072929427,-0.009577,-0.050278,9.844957
1764072929435,-0.021548,-0.067038,9.866506
1764072929442,-0.033519,-0.050278,9.813833
1764072929450,-0.014365,-0.055067,9.873688
1764072929458,-0.007183,-0.052672,9.885659
1764072929466,-0.023942,-0.067038,9.832987
1764072929474,-0.011971,-0.069432,9.866506
1764072929482,-0.009577,-0.071826,9.876082
1764072929490,-0.009577,-0.064643,9.871294
1764072929498,-0.019154,-0.052672,9.883265
1764072929506,-0.019154,-0.038307,9.859323
1764072929514,-0.026336,-0.052672,9.832987
1764072929522,-0.028730,-0.069432,9.828198
1764072929530,-0.007183,-0.050278,9.842564
1764072929538,-0.019154,-0.069432,9.813833
1764072929546,-0.047884,-0.057461,9.852140
1764072929554,0.009577,-0.038307,9.682152
1764072929562,-0.052672,-0.052672,9.878476
1764072929570,-0.021548,-0.062249,9.907207
1764072929578,-0.031125,-0.040701,9.758766
1764072929586,-0.011971,-0.062249,9.955091
1764072929594,-0.047884,-0.055067,9.854534
