timestamp,X,Y,Z
1764071674068,-0.187261,0.649799,9.751921
1764071674078,-0.201182,0.664917,9.720486
1764071674088,-0.189356,0.66342,9.709709
1764071674098,-0.165107,0.645607,9.693093
1764071674108,-0.170645,0.636926,9.726623
1764071674118,-0.179327,0.657133,9.792636
1764071674128,-0.192051,0.655786,9.846225
1764071674138,-0.21151,0.635279,9.782906
1764071674148,-0.216749,0.656535,9.756861
1764071674158,-0.229323,0.656834,9.788894
1764071674168,-0.226329,0.674048,9.796977
1764071674179,-0.21645,0.65384,9.844728
1764071674189,-0.203277,0.662672,9.796977
1764071674199,-0.191003,0.661624,9.760453
1764071674209,-0.192051,0.647853,9.740544
1764071674219,-0.19714,0.661025,9.736503
1764071674229,-0.198188,0.661924,9.73306
1764071674239,-0.21151,0.667013,9.715846
1764071674249,-0.201032,0.660876,9.744137
1764071674259,-0.203726,0.635279,9.798324
1764071674269,-0.208516,0.655337,9.812994
1764071674279,-0.22139,0.683628,9.821077
1764071674289,-0.217797,0.664019,9.829609
1764071674299,-0.207918,0.648302,9.866133
1764071674309,-0.196541,0.650996,9.818083
1764071674319,-0.20193,0.650397,9.736503
1764071674329,-0.208666,0.661175,9.709709
1764071674339,-0.204774,0.665965,9.755663
1764071674349,-0.177082,0.661774,9.694291
1764071674359,-0.156425,0.656235,9.460327
1764071674369,-0.170346,0.649499,9.648486
1764071674379,-0.199834,0.653541,9.709259
1764071674389,-0.251327,0.651146,9.769883
1764071674399,-0.287702,0.649799,9.919422
1764071674410,-0.308209,0.65414,10.085577
1764071674420,-0.295486,0.646206,9.870325
1764071674430,-0.253124,0.653541,9.711056
1764071674440,-0.24055,0.660277,9.938583
1764071674450,-0.228275,0.63977,9.900113
1764071674460,-0.185165,0.660127,9.601783
1764071674470,-0.17798,0.663271,9.553733
1764071674480,-0.203277,0.652044,9.640552
1764071674490,-0.226928,0.658181,9.710756
1764071674500,-0.24998,0.655487,9.724079
1764071674510,-0.252076,0.656984,9.81015
1764071674520,-0.262554,0.652793,9.864786
1764071674530,-0.253573,0.658481,9.856404
1764071674540,-0.232167,0.65863,9.797426
1764071674550,-0.205523,0.64905,9.79548
1764071674560,-0.222437,0.645757,9.816437
1764071674570,-0.243993,0.657433,9.893526
1764071674580,-0.248483,0.648751,9.80042
1764071674590,-0.238604,0.659079,9.720786
1764071674600,-0.217198,0.661025,9.688453
1764071674610,-0.192799,0.653092,9.643846
1764071674620,-0.184866,0.650098,9.710756
1764071674631,-0.168699,0.660726,9.760453
1764071674641,-0.179327,0.666264,9.759854
1764071674651,-0.198487,0.661924,9.732312
1764071674661,-0.222587,0.659678,9.751023
1764071674671,-0.239203,0.659678,9.782308
1764071674681,-0.227826,0.656834,9.788145
1764071674691,-0.22588,0.655637,9.793534
1764071674701,-0.214354,0.662971,9.784703
1764071674711,-0.225431,0.652793,9.815838
1764071674721,-0.239352,0.657732,9.787247
1764071674731,-0.240849,0.667013,9.793534
1764071674741,-0.249082,0.657882,9.783954
1764071674751,-0.252525,0.661624,9.77168
1764071674761,-0.241149,0.636027,9.763746
1764071674771,-0.234562,0.652343,9.758657
1764071674781,-0.229173,0.664768,9.784852
1764071674791,-0.217348,0.65893,9.764644
1764071674801,-0.215402,0.66821,9.83425
1764071674811,-0.199236,0.653092,9.774823
1764071674821,-0.217947,0.658481,9.712104
1764071674831,-0.207469,0.661924,9.711954
1764071674841,-0.200433,0.645009,9.667047
1764071674852,-0.204475,0.654439,9.672286
1764071674862,-0.184866,0.645009,9.711056
1764071674872,-0.205972,0.645158,9.768536
1764071674882,-0.231119,0.647104,9.807755
1764071674892,-0.25971,0.666863,9.893077
1764071674902,-0.275876,0.660576,9.850566
1764071674912,-0.267643,0.652493,9.827963
1764071674922,-0.257614,0.645757,9.765093
1764071674932,-0.244591,0.654589,9.686956
1764071674942,-0.257764,0.640668,9.724677
1764071674952,-0.256716,0.655188,9.739048
1764071674962,-0.275278,0.648901,9.759854
1764071674972,-0.293091,0.654738,9.789642
1764071674982,-0.281714,0.658481,9.746831
1764071674992,-0.290246,0.659529,9.765393
1764071675002,-0.284858,0.662522,9.782607
1764071675012,-0.291444,0.650397,9.783505
1764071675022,-0.267045,0.64935,9.749825
1764071675032,-0.276475,0.65384,9.726474
1764071675042,-0.289498,0.672402,9.751322
1764071675052,-0.298779,0.672402,9.789942
1764071675062,-0.313298,0.648302,9.798025
1764071675073,-0.321232,0.652044,9.822125
1764071675083,-0.328866,0.645458,9.811946
1764071675093,-0.326621,0.649499,9.777068
1764071675103,-0.318388,0.661325,9.76195
1764071675113,-0.287103,0.645607,9.753268
1764071675123,-0.263003,0.645308,9.726324
1764071675133,-0.244142,0.645308,9.737551
1764071675143,-0.272583,0.662672,9.740844
1764071675153,-0.288151,0.651595,9.694141
1764071675163,-0.316891,0.653242,9.718989
1764071675173,-0.351619,0.638871,9.816437
1764071675183,-0.365091,0.652044,9.820029
1764071675193,-0.351768,0.666714,9.822274
1764071675203,-0.325423,0.650248,9.796528
1764071675213,-0.296683,0.649499,9.755064
1764071675223,-0.29324,0.655188,9.76195
1764071675233,-0.298928,0.657732,9.744137
1764071675243,-0.325124,0.656984,9.765542
1764071675253,-0.333506,0.660427,9.771829
1764071675263,-0.31734,0.664917,9.778865
1764071675273,-0.313598,0.649649,9.806407
1764071675283,-0.296084,0.660726,9.762549
