timestamp,X,Y,Z
1764071615559,0.074545,-0.026495,10.053993
1764071615569,0.083377,0.0961,9.576486
1764071615579,0.085622,-0.008532,9.954001
1764071615589,0.084574,0.073198,9.673933
1764071615599,0.079634,0.022304,9.86778
1764071615609,0.061672,0.055085,9.741143
1764071615619,0.072449,0.020956,9.808802
1764071615629,0.079784,0.045954,9.773626
1764071615639,0.084125,0.032782,9.793085
1764071615649,0.085772,0.044757,9.797576
1764071615659,0.066462,0.03847,9.771081
1764071615669,0.084724,0.042212,9.794582
1764071615679,0.069306,0.041164,9.771979
1764071615689,0.082478,0.044907,9.812245
1764071615699,0.062121,0.049996,9.752969
1764071615710,0.060474,0.02904,9.811497
1764071615720,0.07679,0.058079,9.769285
1764071615730,0.084724,0.037871,9.806707
1764071615740,0.081131,0.045954,9.756411
1764071615750,0.080383,0.035177,9.812395
1764071615760,0.079485,0.036973,9.764644
1764071615770,0.073347,0.047002,9.804761
1764071615780,0.072898,0.034428,9.773775
1764071615790,0.090412,0.04311,9.812994
1764071615800,0.077239,0.035177,9.787397
1764071615810,0.078886,0.029938,9.798773
1764071615820,0.086969,0.049996,9.77617
1764071615830,0.080233,0.039069,9.809551
1764071615840,0.069905,0.039069,9.787098
1764071615850,0.073497,0.021555,9.802516
1764071615860,0.06751,0.041164,9.783206
1764071615870,0.078138,0.032033,9.793834
1764071615880,0.076042,0.038021,9.768237
1764071615890,0.080982,0.034428,9.812545
1764071615900,0.084424,0.038769,9.770482
1764071615910,0.08173,0.050744,9.787547
1764071615920,0.074844,0.029638,9.788445
1764071615930,0.079335,0.037272,9.793235
1764071615941,0.080383,0.035027,9.770931
1764071615951,0.076042,0.042961,9.82452
1764071615961,0.081131,0.042661,9.758208
1764071615971,0.089214,0.029638,9.803264
1764071615981,0.085921,0.050445,9.775123
1764071615991,0.084724,0.029638,9.803713
1764071616001,0.083077,0.064366,9.765542
1764071616011,0.08158,0.041015,9.792636
1764071616021,0.072749,0.042063,9.774973
1764071616031,0.085023,0.041763,9.799671
1764071616041,0.060923,0.051343,9.783505
1764071616051,0.07679,0.050744,9.789493
1764071616061,0.080383,0.040715,9.786798
1764071616071,0.080383,0.047751,9.80057
1764071616081,0.082179,0.042212,9.770632
1764071616091,0.07709,0.041613,9.81494
1764071616101,0.055085,0.041613,9.774075
1764071616111,0.071402,0.038021,9.801917
1764071616121,0.06751,0.048499,9.749675
1764071616131,0.078437,0.047152,9.818682
1764071616141,0.093106,0.039069,9.776919
1764071616151,0.084125,0.032333,9.807904
1764071616162,0.070503,0.043859,9.774224
1764071616172,0.074695,0.036225,9.781709
1764071616182,0.070952,0.036973,9.773326
1764071616192,0.080982,0.039069,9.796827
1764071616202,0.086819,0.040566,9.787397
1764071616212,0.075742,0.048499,9.793983
1764071616222,0.071402,0.039518,9.792486
