timestamp,X,Y,Z
1764071700763,0.004627,0.001604,0.004161
1764071700773,0.012158,0.000006,0.003726
1764071700783,0.005288,0.000217,0.005029
1764071700793,0.011258,0.001093,0.005771
1764071700803,0.005552,-0.00136,0.004059
1764071700813,0.010682,0.001071,0.004347
1764071700823,0.006443,0.000467,0.005282
1764071700833,0.01091,0.00026,0.00523
1764071700843,0.007905,0.00026,0.004551
1764071700853,0.008281,0.001201,0.00449
1764071700863,0.00876,0.001714,0.00513
1764071700873,0.007893,0.001902,0.006374
1764071700883,0.007226,0.00103,0.0044
1764071700894,0.007797,0.001333,0.004455
1764071700904,0.009142,0.001805,0.004911
1764071700914,0.005217,0.001213,0.005369
1764071700924,0.008636,0.002212,0.004672
1764071700934,0.006918,0.00094,0.004588
1764071700944,0.007292,0.000839,0.004054
1764071700954,0.007665,0.001617,0.005381
1764071700964,0.008722,0.001391,0.003242
1764071700974,0.007442,0.000509,0.003685
1764071700984,0.008352,0.00147,0.003892
1764071700994,0.00874,0.001659,0.004143
1764071701004,0.008513,0.002113,0.004344
1764071701014,0.009495,0.000577,0.004898
1764071701024,0.007931,0.001006,0.001671
1764071701034,0.008926,0.000913,0.004681
1764071701044,0.005482,0.000721,0.004463
1764071701054,0.010469,0.00123,0.004445
1764071701064,0.007757,0.001405,0.00393
1764071701074,0.009207,-0.000438,0.003452
1764071701084,0.007054,0.000619,0.002528
1764071701094,0.009431,-0.000333,0.003928
1764071701104,0.007479,0.002802,0.003384
1764071701115,0.008866,-0.000189,0.002707
1764071701125,0.008651,0.000968,0.001934
1764071701135,0.009243,0.000864,0.003969
1764071701145,0.007515,0.000544,0.003852
1764071701155,0.008042,0.000477,0.003832
1764071701165,0.008571,0.000204,0.004871
1764071701175,0.008882,0.000373,0.004916
1764071701185,0.008026,0.001357,0.002683
1764071701195,0.00843,0.001987,0.004077
1764071701205,0.005931,0.000501,0.003961
1764071701215,0.008078,0.000858,0.0023
1764071701225,0.006686,0.001048,0.00441
1764071701235,0.007455,0.001639,0.003768
1764071701245,0.006271,0.000958,0.003914
1764071701255,0.007346,0.000182,0.005149
1764071701265,0.007873,0.002654,0.004077
1764071701275,0.007841,0.001671,0.005191
1764071701285,0.00733,0.000868,0.00247
1764071701295,0.00768,0.001776,0.00379
1764071701305,0.008665,0.001088,0.002972
1764071701315,0.007215,0.001568,0.00508
1764071701325,0.009153,0.002334,0.003703
1764071701336,0.006177,0.001345,0.003539
1764071701346,0.009187,0.000679,0.00379
1764071701356,0.008259,0.001208,0.002498
1764071701366,0.007223,0.001089,0.003608
1764071701376,0.00702,0.001011,0.003609
1764071701386,0.007828,0.00119,0.003713
1764071701396,0.008349,-0.000241,0.003491
1764071701406,0.007806,0.002118,0.002873
1764071701416,0.008755,0.000826,0.004374
1764071701426,0.009203,0.000525,0.003637
1764071701436,0.007933,0.001597,0.004638
1764071701446,0.004196,-0.000487,0.003614
1764071701456,0.007568,0.0013,0.003085
1764071701466,0.007618,0.003111,0.002696
1764071701476,0.008897,0.001189,0.005205
1764071701486,0.006997,0.000914,0.004798
1764071701496,0.008023,0.001297,0.004049
1764071701506,0.006448,0.000866,0.004546
1764071701516,0.008399,0.001016,0.003796
1764071701526,0.00696,0.000039,0.003087
1764071701536,0.006152,-0.00058,0.005317
1764071701546,0.009478,0.001589,0.002799
1764071701557,0.008078,-0.00016,0.003781
1764071701567,0.009793,0.001372,0.004982
1764071701577,0.008235,0.002171,0.003336
1764071701587,0.009355,0.001494,0.005042
1764071701597,0.008096,0.000956,0.003959
1764071701607,0.009243,0.001506,0.004144
1764071701617,0.008785,-0.000712,0.00414
1764071701627,0.007689,0.001789,0.003761
1764071701637,0.006761,0.00182,0.005143
1764071701647,0.009564,0.00146,0.0031
1764071701657,0.006335,0.001189,0.004894
1764071701667,0.008743,0.00063,0.003388
1764071701677,0.007573,0.00251,0.004876
1764071701687,0.007942,0.001966,0.003184
1764071701697,0.009444,0.000535,0.004122
1764071701707,0.006907,0.000908,0.004021
1764071701717,0.008183,-0.000195,0.002238
1764071701727,0.007218,0.002815,0.003557
1764071701737,0.00763,0.001483,0.005173
1764071701747,0.007409,0.000904,0.0038
1764071701757,0.007446,0.000109,0.004405
1764071701767,0.008355,-0.00127,0.003792
1764071701778,0.007416,0.000688,0.002903
1764071701788,0.00682,-0.000249,0.003797
1764071701798,0.007864,-0.000267,0.003746
1764071701808,0.010465,0.001223,0.004148
1764071701818,0.007325,0.000407,0.004413
1764071701828,0.009478,0.001827,0.004274
1764071701838,0.007971,0.001804,0.004439
1764071701848,0.007944,0.000845,0.004307
1764071701858,0.008091,-0.000341,0.005207
1764071701868,0.007396,0.001467,0.003679
1764071701878,0.008339,0.000952,0.002752
1764071701888,0.007264,0.003072,0.004389
1764071701898,0.009745,0.001235,0.00593
1764071701908,0.006175,0.001703,0.004156
1764071701918,0.008221,0.001475,0.00554
1764071701928,0.008669,0.000248,0.003687
1764071701938,0.007671,0.002162,0.006016
1764071701948,0.007934,0.000651,0.004009
1764071701958,0.006128,0.000315,0.005335
