timestamp,X,Y,Z
1764071643274,0.015942,0.001349,0.002614
1764071643285,0.013547,0.000604,0.006577
1764071643295,-0.009855,0.00028,0.003359
1764071643305,0.026426,0.000093,0.00463
1764071643315,-0.002,0.000189,0.004389
1764071643325,0.013318,0.000803,0.003282
1764071643335,0.014583,0.001697,0.003719
1764071643345,-0.004429,0.003504,0.002968
1764071643355,0.014293,0.002591,0.00414
1764071643365,-0.000275,0.00171,0.003796
1764071643375,0.004318,0.001708,0.003129
1764071643385,0.012423,0.000636,0.003805
1764071643395,0.000643,-0.000954,0.002369
1764071643405,0.013496,0.000873,0.003591
1764071643415,0.005926,0.001428,0.004567
1764071643425,0.006305,0.000705,0.00323
1764071643435,0.011518,0.000578,0.003649
1764071643445,0.003381,0.001364,0.003031
1764071643455,0.011702,0.001667,0.00382
1764071643465,0.006933,0.001317,0.004927
1764071643475,0.008084,0.001795,0.004473
1764071643485,0.008646,0.00067,0.004393
1764071643495,0.006507,0.001893,0.004234
1764071643506,0.008053,0.001545,0.004158
1764071643516,0.009331,0.001487,0.004685
1764071643526,0.005884,0.002237,0.005816
1764071643536,0.010631,0.000365,0.004537
1764071643546,0.005005,0.0017,0.003444
1764071643556,0.010416,0.000162,0.004608
1764071643566,0.005935,0.001284,0.00602
1764071643576,0.007325,-0.00042,0.004616
1764071643586,0.007116,0.001592,0.002698
1764071643596,0.007139,-0.000138,0.003555
1764071643606,0.007915,0.002584,0.004977
1764071643616,0.008187,0.000067,0.002449
1764071643626,0.006838,0.001678,0.003982
1764071643636,0.009733,-0.000012,0.004232
1764071643646,0.007355,0.001427,0.004874
1764071643656,0.009425,0.000466,0.002838
1764071643666,0.005721,0.001375,0.004457
1764071643676,0.009222,0.000493,0.004451
1764071643686,0.007735,0.001315,0.003741
1764071643696,0.007579,-0.001295,0.003381
1764071643706,0.006446,0.001163,0.0037
1764071643716,0.008107,0.001094,0.002331
1764071643727,0.007343,-0.000396,0.004453
1764071643737,0.009255,0.000247,0.005015
1764071643747,0.007573,0.002014,0.005747
1764071643757,0.009907,0.001931,0.002621
1764071643767,0.007,0.001827,0.002632
1764071643777,0.009012,0.000937,0.004455
1764071643787,0.006973,0.001869,0.004528
1764071643797,0.009205,0.00166,0.004961
1764071643807,0.007985,-0.00007,0.003879
1764071643817,0.008348,0.001026,0.004226
1764071643827,0.009322,0.000386,0.004544
1764071643837,0.007071,0.000417,0.004976
1764071643847,0.008297,-0.000099,0.005202
1764071643857,0.007288,0.001662,0.003756
1764071643867,0.008667,0.000531,0.004644
1764071643877,0.00816,0.00028,0.003731
1764071643887,0.009168,-0.000295,0.003535
1764071643897,0.008431,0.001347,0.004446
1764071643907,0.008136,0.000239,0.003777
1764071643917,0.007443,0.001294,0.003276
1764071643927,0.008617,0.000149,0.003555
1764071643937,0.00792,-0.000144,0.003968
1764071643948,0.007469,0.001125,0.004483
1764071643958,0.008931,0.002227,0.004153
1764071643968,0.00838,0.000191,0.002423
1764071643978,0.007783,0.001966,0.002979
1764071643988,0.007125,0.00156,0.003443
1764071643998,0.008278,0.002148,0.004539
1764071644008,0.008189,0.002614,0.004625
1764071644018,0.006616,0.001418,0.005005
1764071644028,0.008183,0.000314,0.004826
1764071644038,0.009142,0.002541,0.002803
1764071644048,0.009503,0.001866,0.003865
1764071644058,0.009488,0.001587,0.004071
1764071644068,0.008556,-0.000505,0.002691
1764071644078,0.008096,0.001043,0.00457
1764071644088,0.007255,0.00059,0.00512
1764071644098,0.007696,0.000681,0.004209
1764071644108,0.005989,0.000054,0.003218
1764071644118,0.008697,0.001855,0.003496
1764071644128,0.008885,-0.000456,0.002604
1764071644138,0.00722,-0.000125,0.004006
1764071644148,0.008125,0.000189,0.004931
1764071644158,0.007458,0.000366,0.004766
1764071644169,0.008787,0.000197,0.004341
1764071644179,0.010072,0.00117,0.002471
1764071644189,0.008088,0.00274,0.001923
1764071644199,0.007234,0.000646,0.005138
1764071644209,0.008632,-0.001205,0.004928
1764071644219,0.00809,0.000208,0.003637
1764071644229,0.007912,0.00213,0.003797
1764071644239,0.009632,0.000841,0.002825
1764071644249,0.006486,0.002255,0.003447
1764071644259,0.007776,0.001811,0.004471
1764071644269,0.006593,0.000674,0.004049
1764071644279,0.008535,0.001101,0.002862
1764071644289,0.007943,-0.000916,0.00459
1764071644299,0.008901,0.001279,0.003847
1764071644309,0.008303,0.001907,0.00463
1764071644319,0.008314,0.001826,0.003377
1764071644329,0.006791,0.000897,0.003876
1764071644339,0.008175,0.000771,0.003594
1764071644349,0.00783,0.000887,0.004091
1764071644359,0.008612,0.002299,0.00388
1764071644369,0.007772,0.000999,0.004402
1764071644379,0.008482,0.001098,0.002533
1764071644390,0.005962,0.001488,0.004057
1764071644400,0.008229,0.001943,0.003891
1764071644410,0.007291,-0.001388,0.003994
1764071644420,0.007587,0.000631,0.005529
1764071644430,0.008568,0.001279,0.003476
1764071644440,0.007633,0.000293,0.005391
1764071644450,0.008243,-0.000115,0.004909
1764071644460,0.008212,-0.000328,0.003018
1764071644470,0.00841,0.000474,0.002454
1764071644480,0.005893,0.000259,0.004498
1764071644490,0.007239,0.001898,0.004637
1764071644500,0.00667,0.000218,0.004563
1764071644510,0.008695,0.00046,0.003095
1764071644520,0.007823,0.000199,0.004416
1764071644530,0.007867,0.000949,0.004325
1764071644540,0.007886,0.002358,0.00266
1764071644550,0.006342,0.001463,0.004036
1764071644560,0.008278,0.001899,0.004139
1764071644570,0.006717,0.000779,0.004205
1764071644580,0.00932,0.001664,0.004904
1764071644590,0.006617,0.000255,0.003703
1764071644600,0.006928,0.000669,0.004714
1764071644610,0.00824,0.000948,0.003097
1764071644621,0.007391,0.000611,0.003624
1764071644631,0.008347,0.001628,0.004902
1764071644641,0.007858,0.001248,0.003922
1764071644651,0.00792,0.000166,0.003449
1764071644661,0.007361,-0.001218,0.004647
1764071644671,0.007232,0.001584,0.004408
1764071644681,0.007214,0.002277,0.005374
1764071644691,0.00848,0.00034,0.00369
1764071644701,0.008457,0.000497,0.004338
1764071644711,0.007621,0.002092,0.005894
1764071644721,0.009453,0.001134,0.00478
1764071644731,0.007117,0.001758,0.004567
1764071644741,0.007932,0.000115,0.00454
1764071644751,0.007511,0.000634,0.003921
1764071644761,0.008626,0.000225,0.005478
1764071644771,0.009019,0.000577,0.00272
1764071644781,0.007197,0.001596,0.003698
1764071644791,0.009092,0.002626,0.004927
1764071644801,0.007608,0.000679,0.003461
1764071644811,0.008749,0.000188,0.004796
1764071644821,0.007222,0.001111,0.004271
1764071644831,0.007053,0.000813,0.003866
1764071644842,0.008883,0.000734,0.004609
1764071644852,0.007172,0.002217,0.005016
1764071644862,0.007268,0.001155,0.002485
1764071644872,0.006979,0.002279,0.004702
1764071644882,0.006279,0.000327,0.003837
1764071644892,0.006994,0.001953,0.00434
1764071644902,0.007767,0.001947,0.002285
1764071644912,0.007417,0.002787,0.00292
1764071644922,0.007593,0.001057,0.004447
1764071644932,0.008521,-0.00064,0.004315
1764071644942,0.006545,0.001588,0.005494
1764071644952,0.008681,0.00041,0.004912
1764071644962,0.007021,0.00026,0.003741
1764071644972,0.008559,0.001621,0.003038
1764071644982,0.00866,0.000899,0.004531
1764071644992,0.006995,0.001877,0.003762
1764071645002,0.008274,0.001835,0.004373
1764071645012,0.007042,0.001283,0.003182
1764071645022,0.009872,-0.000382,0.004684
1764071645032,0.008437,0.002424,0.004449
1764071645042,0.008082,0.000587,0.003942
1764071645052,0.007997,0.001965,0.005066
1764071645063,0.00764,0.00107,0.002867
1764071645073,0.007135,0.000334,0.003933
1764071645083,0.006345,0.000254,0.003588
1764071645093,0.007147,0.000628,0.003484
1764071645103,0.008189,0.001793,0.004109
1764071645113,0.009037,0.00054,0.004671
1764071645123,0.008616,0.002427,0.005143
1764071645133,0.008804,0.001326,0.004042
1764071645143,0.008919,0.001306,0.00441
1764071645153,0.009918,0.000796,0.00545
1764071645163,0.008744,-0.001275,0.004961
1764071645173,0.008714,0.001007,0.004192
1764071645183,0.007469,0.001938,0.005496
1764071645193,0.006005,0.000631,0.003827
1764071645203,0.007372,0.00036,0.002114
1764071645213,0.007315,0.000659,0.004119
1764071645223,0.007876,0.001888,0.003786
1764071645233,0.008464,0.000789,0.004504
1764071645243,0.008387,-0.000063,0.004125
1764071645253,0.008587,0.001076,0.004511
1764071645263,0.007825,0.001177,0.004655
1764071645273,0.007443,0.00065,0.004892
1764071645284,0.0074,0.00096,0.004919
1764071645294,0.007354,0.000548,0.004129
1764071645304,0.006855,0.00068,0.005076
1764071645314,0.006839,0.000839,0.003916
1764071645324,0.008917,-0.000291,0.005313
1764071645334,0.009095,-0.000292,0.004689
1764071645344,0.008353,0.001735,0.004019
1764071645354,0.006374,0.001669,0.005092
1764071645364,0.009093,0.001851,0.004505
1764071645374,0.007797,-0.000513,0.004351
1764071645384,0.008664,0.00138,0.005254
1764071645394,0.008689,0.000542,0.004591
1764071645404,0.007837,0.001256,0.004673
1764071645414,0.008303,0.000648,0.004335
1764071645424,0.008086,0.00126,0.003614
1764071645434,0.009117,0.000449,0.005903
1764071645444,0.009419,0.001225,0.004563
1764071645454,0.007884,0.001626,0.003853
