timestamp,X,Y,Z
1764071375383,0.014337,0.00159,0.003796
1764071375393,-0.002058,0.002521,0.004871
1764071375403,0.016455,0.000907,0.004299
1764071375413,0.000034,0.001331,0.00336
1764071375423,0.011563,0.00105,0.003252
1764071375433,0.008459,0.00113,0.005383
1764071375443,0.004748,0.00051,0.003644
1764071375453,0.013455,0.00102,0.00499
1764071375463,0.002016,0.001295,0.003406
1764071375473,0.012083,0.001513,0.005036
1764071375483,0.007032,0.002345,0.002552
1764071375493,0.008537,0.000625,0.005324
1764071375503,0.009465,0.000633,0.005383
1764071375513,0.004984,0.001173,0.004309
1764071375523,0.009588,0.000176,0.003881
1764071375534,0.007636,0.000855,0.004937
1764071375544,0.008244,-0.000749,0.003493
1764071375554,0.009358,0.001538,0.004324
1764071375564,0.006863,0.001844,0.00298
1764071375574,0.007906,-0.000246,0.004311
1764071375584,0.007792,0.000609,0.006042
1764071375594,0.009125,0.001307,0.004764
1764071375604,0.007424,0.000794,0.004318
1764071375614,0.008305,0.001614,0.004741
1764071375624,0.008119,0.002294,0.002246
1764071375634,0.007527,0.002509,0.004609
1764071375644,0.009015,0.001416,0.003757
1764071375654,0.008492,0.001311,0.003841
1764071375664,0.007567,0.00116,0.003181
1764071375674,0.008664,0.000991,0.004212
1764071375684,0.006997,0.001179,0.00413
1764071375694,0.007876,0.000949,0.003908
1764071375704,0.006943,0.001483,0.005899
1764071375714,0.00817,0.001013,0.00468
1764071375724,0.009098,0.000245,0.003953
1764071375734,0.007329,0.000666,0.004437
1764071375744,0.010161,0.002747,0.002872
1764071375755,0.00807,0.00046,0.00469
1764071375765,0.010177,0.000581,0.003878
1764071375775,0.007835,0.002056,0.004144
1764071375785,0.009106,0.000638,0.004375
1764071375795,0.005058,0.000529,0.004644
1764071375805,0.005841,0.000417,0.00451
1764071375815,0.010023,0.000378,0.005265
1764071375825,0.006913,0.001057,0.004977
1764071375835,0.008984,0.001038,0.002891
1764071375845,0.006208,0.000633,0.003567
1764071375855,0.008983,0.001996,0.003948
1764071375865,0.006633,0.001131,0.006073
1764071375875,0.009296,0.000267,0.003164
1764071375885,0.00953,0.000136,0.003389
1764071375895,0.007673,0.001691,0.003626
1764071375905,0.008741,0.000666,0.005584
1764071375915,0.007724,0.001354,0.003777
1764071375925,0.008971,0.000564,0.004945
1764071375935,0.006288,0.000628,0.004022
1764071375945,0.007423,0.000886,0.005076
1764071375955,0.008235,0.00055,0.003967
1764071375965,0.006949,0.00063,0.003218
1764071375976,0.008774,0.000498,0.003786
1764071375986,0.005485,0.000849,0.004004
1764071375996,0.008541,0.000949,0.002955
1764071376006,0.006202,0.00114,0.004061
1764071376016,0.009117,0.002204,0.004851
1764071376026,0.007143,0.001679,0.004891
1764071376036,0.006413,-0.000262,0.004878
1764071376046,0.007578,0.001603,0.004381
1764071376056,0.006578,0.001413,0.004427
1764071376066,0.008217,0.000785,0.004567
1764071376076,0.006253,0.001706,0.004146
1764071376086,0.007158,0.001043,0.003848
1764071376096,0.005578,-0.000922,0.004666
1764071376106,0.007343,-0.001242,0.004202
1764071376116,0.010576,0.001578,0.004512
1764071376126,0.007624,0.000131,0.004507
1764071376136,0.01199,0.001807,0.003517
1764071376146,0.007089,0.002433,0.003986
1764071376156,0.009191,0.001306,0.004401
1764071376166,0.006059,0.001315,0.00507
1764071376176,0.007891,0.001578,0.00551
1764071376186,0.006981,0.002021,0.003499
1764071376197,0.006246,0.000984,0.004692
1764071376207,0.00956,0.000598,0.004907
1764071376217,0.008071,0.001182,0.003691
1764071376227,0.009071,0.000219,0.004299
1764071376237,0.007118,-0.000748,0.004396
1764071376247,0.006014,0.002857,0.004121
1764071376257,0.006567,0.000701,0.00325
1764071376267,0.004978,0.001096,0.005169
1764071376277,0.010229,0.000476,0.003626
1764071376287,0.005319,0.001117,0.005457
1764071376297,0.011689,0.000186,0.003737
1764071376307,0.006813,0.000774,0.005892
1764071376317,0.007486,0.001684,0.003114
1764071376327,0.006982,0.001968,0.003867
1764071376337,0.006403,0.00179,0.004891
1764071376347,0.007531,0.001115,0.004746
