timestamp,X,Y,Z
1764690329618,0.093374,-0.059855,9.672575
1764690329638,0.112527,-0.055067,9.684546
1764690329658,0.088585,-0.064643,9.679757
1764690329678,0.110133,-0.074220,9.670180
1764690329698,0.086191,-0.055067,9.684546
1764690329718,0.081403,-0.069432,9.665392
1764690329738,0.093374,-0.071826,9.672575
1764690329758,0.081403,-0.052672,9.677363
1764690329778,0.110133,-0.069432,9.665392
1764690329798,0.095768,-0.074220,9.672575
1764690329819,0.098162,-0.038307,9.670180
1764690329839,0.090980,-0.074220,9.679757
1764690329859,0.100556,-0.069432,9.667787
1764690329879,0.074220,-0.064643,9.670180
1764690329899,0.095768,-0.057461,9.665392
1764690329919,0.095768,-0.071826,9.677363
1764690329939,0.069432,-0.071826,9.674969
1764690329959,0.110133,-0.062249,9.679757
1764690329979,0.095768,-0.076614,9.667787
1764690329999,0.086191,-0.064643,9.667787
1764690330019,0.079009,-0.052672,9.662998
1764690330039,0.134075,-0.069432,9.667787
1764690330060,0.088585,-0.071826,9.667787
1764690330080,0.095768,-0.040701,9.662998
1764690330100,0.105345,-0.071826,9.670180
1764690330120,0.095768,-0.074220,9.648633
1764690330140,0.093374,-0.062249,9.662998
1764690330160,0.090980,-0.055067,9.665392
1764690330180,0.100556,-0.071826,9.660604
1764690330200,0.079009,-0.055067,9.662998
1764690330220,0.083797,-0.064643,9.660604
1764690330240,0.093374,-0.079009,9.674969
1764690330260,0.095768,-0.055067,9.660604
1764690330280,0.105345,-0.052672,9.655815
1764690330301,0.093374,-0.062249,9.665392
1764690330321,0.095768,-0.083797,9.662998
1764690330341,0.093374,-0.088585,9.648633
1764690330361,0.110133,-0.074220,9.670180
1764690330381,0.110133,-0.074220,9.662998
1764690330401,0.102951,-0.067038,9.655815
1764690330421,0.095768,-0.064643,9.665392
1764690330441,0.088585,-0.057461,9.660604
1764690330461,0.112527,-0.074220,9.662998
1764690330481,0.095768,-0.062249,9.670180
1764690330501,0.100556,-0.062249,9.662998
1764690330521,0.076614,-0.055067,9.349358
1764690330541,0.095768,0.174777,9.263166
1764690330562,0.117316,-1.417367,9.466674
1764690330582,-0.086191,-0.495600,9.502586
1764690330602,0.258574,-0.620098,9.694122
1764690330622,0.038307,0.761356,9.653421
1764690330642,0.021548,-1.642422,9.648633
1764690330662,0.110133,-1.608904,9.631873
1764690330682,-0.011971,0.955287,9.607931
1764690330702,0.198719,-1.070208,9.658210
1764690330722,0.205901,-0.577003,9.804255
1764690330742,-0.076614,-1.125275,9.524135
1764690330762,-0.165200,-1.517924,9.512163
1764690330782,0.395043,1.731008,9.816227
1764690330803,-0.222661,-2.147599,9.524135
1764690330823,0.007183,0.392649,9.665392
