timestamp,X,Y,Z
1764690283579,0.090980,-0.064643,9.670180
1764690283599,0.079009,-0.040701,9.679757
1764690283619,0.079009,-0.047884,9.662998
1764690283639,0.095768,-0.023942,9.653421
1764690283659,0.064643,-0.074220,9.679757
1764690283679,0.098162,-0.050278,9.674969
1764690283700,0.095768,-0.045490,9.655815
1764690283720,0.086191,-0.064643,9.667787
1764690283740,0.086191,-0.062249,9.667787
1764690283760,0.081403,-0.069432,9.660604
1764690283780,0.100556,-0.043096,9.684546
1764690283800,0.076614,-0.059855,9.670180
1764690283820,0.088585,-0.055067,9.667787
1764690283840,0.093374,-0.055067,9.686940
1764690283860,0.102951,-0.062249,9.670180
1764690283880,0.090980,-0.043096,9.684546
1764690283900,0.052672,-0.057461,9.682152
1764690283920,0.093374,-0.047884,9.682152
1764690283941,0.090980,-0.059855,9.677363
1764690283961,0.064643,-0.045490,9.684546
1764690283981,0.081403,-0.043096,9.689334
1764690284001,0.083797,-0.067038,9.684546
1764690284021,0.081403,-0.043096,9.677363
1764690284041,0.071826,-0.059855,9.670180
1764690284061,0.100556,-0.055067,9.679757
1764690284081,0.114922,-0.062249,9.679757
1764690284101,0.069432,-0.043096,9.672575
1764690284121,0.088585,-0.047884,9.655815
1764690284141,0.086191,-0.055067,9.679757
1764690284162,0.079009,-0.047884,9.670180
1764690284182,0.086191,-0.076614,9.689334
1764690284202,0.076614,-0.052672,9.658210
1764690284222,0.114922,-0.069432,9.674969
1764690284242,0.079009,-0.052672,9.706094
1764690284262,0.071826,-0.047884,9.672575
1764690284282,0.086191,-0.062249,9.686940
1764690284302,0.100556,-0.050278,9.667787
1764690284322,0.074220,-0.055067,9.658210
1764690284342,0.064643,-0.069432,9.679757
1764690284362,0.088585,-0.055067,9.696517
1764690284382,0.076614,-0.067038,9.689334
1764690284402,0.081403,-0.055067,9.689334
1764690284423,0.090980,-0.045490,9.682152
1764690284443,0.112527,-0.050278,9.682152
1764690284463,0.081403,-0.047884,9.701305
1764690284483,0.076614,-0.071826,9.691729
1764690284503,0.079009,-0.062249,9.684546
1764690284523,0.095768,-0.052672,9.670180
1764690284543,0.069432,-0.047884,9.706094
1764690284563,0.086191,-0.062249,9.684546
1764690284583,0.074220,-0.057461,9.677363
1764690284603,0.098162,-0.050278,9.684546
1764690284623,0.093374,-0.050278,9.662998
1764690284643,0.093374,-0.045490,9.684546
1764690284664,0.090980,-0.062249,9.689334
1764690284684,0.090980,-0.076614,9.665392
1764690284704,0.079009,-0.055067,9.682152
1764690284724,0.093374,-0.067038,9.686940
1764690284744,0.088585,-0.067038,9.684546
1764690284764,0.071826,-0.057461,9.684546
1764690284784,0.088585,-0.047884,9.682152
1764690284804,0.095768,-0.047884,9.682152
1764690284824,0.079009,-0.069432,9.677363
1764690284844,0.090980,-0.043096,9.670180
1764690284864,0.076614,-0.062249,9.686940
1764690284884,0.107739,-0.069432,9.701305
1764690284904,0.083797,-0.064643,9.662998
1764690284925,0.067038,-0.045490,9.686940
1764690284945,0.086191,-0.055067,9.665392
1764690284965,0.088585,-0.069432,9.682152
1764690284985,0.083797,-0.062249,9.677363
1764690285005,0.088585,-0.047884,9.686940
1764690285025,0.083797,-0.076614,9.660604
1764690285045,0.076614,-0.050278,9.682152
1764690285065,0.102951,-0.043096,9.689334
1764690285085,0.088585,-0.050278,9.691729
1764690285105,0.071826,-0.059855,9.682152
1764690285125,0.093374,-0.064643,9.686940
1764690285145,0.102951,-0.069432,9.691729
1764690285166,0.093374,-0.059855,9.684546
1764690285186,0.074220,-0.052672,9.670180
1764690285206,0.102951,-0.064643,9.694122
1764690285226,0.071826,-0.074220,9.682152
1764690285246,0.100556,-0.035913,9.677363
1764690285266,0.076614,-0.055067,9.682152
