timestamp,X,Y,Z
1764690373927,0.282516,0.289698,9.631873
1764690373947,0.153229,0.311246,9.821015
1764690373967,0.110133,0.306458,9.679757
1764690373987,0.256180,0.265756,9.641450
1764690374007,0.246603,0.227449,9.655815
1764690374027,0.177171,0.277727,9.591172
1764690374048,0.162806,0.277727,9.751583
1764690374068,0.177171,0.263362,9.706094
1764690374088,0.169988,0.280122,9.591172
1764690374108,0.225055,0.284910,9.576807
1764690374128,0.179565,0.316035,9.639056
1764690374148,0.167594,0.272939,9.703699
1764690374168,0.210690,0.189142,9.684546
1764690374188,0.064643,0.169988,9.641450
1764690374208,0.153229,0.122104,9.528923
1764690374228,0.342371,0.225055,9.461885
1764690374248,0.378284,0.265756,9.636662
1764690374269,0.198719,0.284910,9.868899
1764690374289,0.050278,0.349553,9.765948
1764690374309,0.062249,0.325611,9.782708
1764690374329,0.081403,0.318429,9.703699
1764690374349,0.064643,0.301669,9.651027
1764690374369,0.026336,0.292093,9.588778
1764690374389,0.148441,0.280122,9.576807
1764690374409,0.270545,0.196325,9.521740
1764690374429,0.131681,0.141258,9.538500
1764690374449,0.086191,0.124498,9.818622
1764690374469,0.169988,0.148441,9.813833
1764690374489,0.220267,0.143652,9.696517
1764690374510,0.272939,0.203507,9.725247
1764690374530,0.150835,0.234632,9.698911
1764690374550,0.055067,0.284910,9.689334
1764690374570,0.067038,0.287304,9.651027
1764690374590,0.158017,0.222661,9.536105
1764690374610,0.172383,0.227449,9.545682
1764690374630,0.158017,0.229843,9.605537
1764690374650,0.167594,0.256180,9.773131
1764690374670,0.086191,0.265756,9.746795
1764690374690,0.124498,0.277727,9.593566
1764690374710,0.237026,0.210690,9.622296
1764690374731,0.237026,0.153229,9.672575
1764690374751,0.203507,0.146046,9.751583
1764690374771,0.167594,0.208296,9.677363
1764690374791,0.189142,0.246603,9.612720
1764690374811,0.129287,0.270545,9.512163
1764690374831,0.131681,0.495600,9.567230
1764690374851,0.469264,0.840365,9.648633
1764690374871,0.359130,1.053449,9.777920
1764690374891,0.337582,0.569820,9.583989
1764690374911,0.402226,0.723049,9.636662
1764690374931,-0.114922,-1.142034,9.593566
1764690374952,0.313640,1.031901,9.847352
1764690374972,-0.138864,-1.173159,9.586384
1764690374992,0.021548,0.126893,9.655815
