timestamp,X,Y,Z
1764071392820,-0.041749,0.177919,9.757644
1764071392830,-0.043096,0.187795,9.787571
1764071392840,-0.035838,0.188843,9.775675
1764071392850,-0.043021,0.191237,9.775600
1764071392860,-0.040701,0.186673,9.795951
1764071392870,-0.042946,0.165948,9.754277
1764071392880,-0.057536,0.186897,9.818546
1764071392890,-0.039280,0.162207,9.737593
1764071392900,-0.052672,0.175974,9.803134
1764071392910,-0.048857,0.181361,9.755698
1764071392920,-0.040701,0.187870,9.804705
1764071392930,-0.051326,0.191162,9.778294
1764071392940,-0.032172,0.185102,9.765350
1764071392950,-0.044293,0.178293,9.801188
1764071392960,-0.041749,0.175525,9.768942
1764071392970,-0.034716,0.183007,9.794081
1764071392980,-0.042946,0.189890,9.768792
1764071392991,-0.033594,0.191461,9.795801
1764071393001,-0.052448,0.197073,9.763255
1764071393011,-0.044368,0.184354,9.800515
1764071393021,-0.043021,0.170886,9.764827
1764071393031,-0.052672,0.186748,9.799243
1764071393041,-0.037035,0.173355,9.774404
1764071393051,-0.046612,0.200888,9.783606
1764071393061,-0.043096,0.195053,9.792061
1764071393071,-0.038158,0.189890,9.768642
1764071393081,-0.053870,0.193856,9.800739
1764071393091,-0.029778,0.183830,9.759215
1764071393101,-0.052672,0.205827,9.805453
1764071393111,-0.048857,0.185027,9.760262
1764071393121,-0.028805,0.186748,9.805827
1764071393131,-0.042871,0.177769,9.750760
1764071393141,-0.038307,0.171036,9.786748
1764071393151,-0.045340,0.155174,9.755548
1764071393162,-0.050203,0.163778,9.779342
1764071393172,-0.046537,0.181585,9.769615
1764071393182,-0.043021,0.182857,9.775675
1764071393192,-0.043170,0.196325,9.807773
1764071393202,-0.034566,0.199467,9.764827
1764071393212,-0.045490,0.198719,9.806576
1764071393222,-0.034566,0.183979,9.763779
1764071393232,-0.041824,0.188917,9.785252
1764071393242,-0.032247,0.187571,9.768642
1764071393252,-0.041824,0.187720,9.787646
1764071393262,-0.046612,0.188917,9.784055
1764071393272,-0.032247,0.197148,9.773355
1764071393282,-0.047884,0.196175,9.797073
1764071393292,-0.034641,0.183979,9.771036
1764071393302,-0.046687,0.189067,9.797148
1764071393312,-0.041824,0.166173,9.774628
1764071393322,-0.041899,0.171036,9.785327
1764071393332,-0.053720,0.173206,9.766098
1764071393343,-0.040627,0.160187,9.774702
1764071393353,-0.050278,0.165125,9.793707
1764071393363,-0.038307,0.170961,9.779416
1764071393373,-0.038382,0.185551,9.801936
1764071393383,-0.029853,0.192359,9.768493
1764071393393,-0.044218,0.190115,9.777770
1764071393403,-0.050278,0.179490,9.793332
1764071393413,-0.045340,0.179191,9.764677
1764071393423,-0.038382,0.196399,9.808820
1764071393433,-0.042871,0.207847,9.762058
1764071393443,-0.037260,0.222885,9.826552
1764071393453,-0.039280,0.205378,9.757344
1764071393463,-0.044368,0.202385,9.812336
1764071393473,-0.048931,0.175600,9.769690
1764071393483,-0.043096,0.179415,9.790040
1764071393493,-0.046612,0.172158,9.778069
1764071393503,-0.045415,0.185251,9.773206
1764071393513,-0.042048,0.191686,9.819818
1764071393524,-0.042796,0.183605,9.736171
1764071393534,-0.040851,0.173804,9.821165
1764071393544,-0.048782,0.146570,9.729287
1764071393554,-0.047884,0.148366,9.789067
1764071393564,-0.045340,0.149189,9.754427
1764071393574,-0.039430,0.182932,9.781661
1764071393584,-0.046762,0.196399,9.816153
1764071393594,-0.037858,0.203582,9.702578
1764071393604,-0.078485,0.213383,9.954343
1764071393614,0.152107,0.161683,9.665168
1764071393624,-0.241964,0.273986,9.728839
1764071393634,-0.116717,0.147468,9.936910
1764071393644,0.297854,0.173505,9.641450
1764071393654,-0.457891,0.262838,9.947235
1764071393664,0.329726,0.107215,9.686491
1764071393674,-0.350975,0.330924,9.828049
1764071393684,0.076315,0.145971,9.776050
1764071393695,-0.028880,0.185700,9.818995
1764071393705,-0.048782,0.174029,9.732879
1764071393715,-0.028955,0.182184,9.824757
1764071393725,-0.044143,0.175525,9.758990
1764071393735,-0.059930,0.170138,9.813833
1764071393745,-0.049006,0.153004,9.774702
1764071393755,-0.046537,0.158765,9.753155
1764071393765,-0.052822,0.165499,9.825953
1764071393775,-0.039280,0.172906,9.737517
1764071393785,-0.048034,0.191761,9.823335
1764071393795,-0.042871,0.192210,9.760113
1764071393805,-0.044368,0.197596,9.817424
1764071393815,-0.044143,0.195876,9.769615
1764071393825,-0.037035,0.180463,9.777022
1764071393835,-0.062249,0.172383,9.806725
1764071393845,0.015487,0.177021,9.779865
1764071393855,-0.087987,0.220267,9.712828
1764071393865,-0.201113,0.232836,9.898229
1764071393876,0.309151,0.122179,9.749489
1764071393886,-0.369829,0.317232,9.777696
1764071393896,0.153379,0.059705,9.844284
1764071393906,-0.125920,0.284461,9.692851
1764071393916,-0.078485,0.100781,9.918429
1764071393926,0.143877,0.240393,9.660903
1764071393936,-0.127267,0.141033,9.897330
1764071393946,-0.076315,0.174253,9.757569
1764071393956,-0.062025,0.117914,9.731606
1764071393966,-0.043245,0.150984,9.803208
1764071393976,-0.062025,0.144325,9.742156
1764071393986,-0.022820,0.178368,9.797148
1764071393996,-0.041899,0.199766,9.789666
1764071394006,-0.040627,0.184129,9.776648
1764071394016,-0.050278,0.191461,9.796849
1764071394026,-0.057386,0.203283,9.785925
1764071394036,-0.012121,0.210765,9.811439
1764071394046,-0.057162,0.205303,9.753678
1764071394057,-0.042048,0.198943,9.827973
1764071394067,-0.021473,0.203133,9.771935
1764071394077,-0.060903,0.198494,9.784803
1764071394087,-0.038307,0.167519,9.788843
1764071394097,-0.054917,0.150386,9.753005
1764071394107,-0.053870,0.207098,9.812262
1764071394117,-0.013018,0.193407,9.758018
1764071394127,-0.056339,0.189217,9.817424
1764071394137,-0.044218,0.161309,9.773505
1764071394147,-0.044218,0.131307,9.759439
1764071394157,-0.051475,0.138789,9.788020
1764071394167,-0.029853,0.131232,9.750012
1764071394177,-0.052822,0.197671,9.826926
1764071394187,-0.046462,0.189740,9.750536
1764071394197,-0.018106,0.191611,9.805603
1764071394207,-0.070479,0.197222,9.783531
1764071394217,-0.035913,0.194978,9.792211
1764071394228,-0.040627,0.199691,9.787347
1764071394238,-0.051401,0.218920,9.799093
1764071394248,-0.039504,0.197447,9.794604
1764071394258,-0.053795,0.215254,9.787123
1764071394268,-0.041973,0.221538,9.815853
1764071394278,-0.042796,0.198045,9.746944
1764071394288,-0.057610,0.179790,9.824681
1764071394298,-0.032172,0.175450,9.750835
1764071394308,-0.047959,0.205976,9.817349
1764071394318,-0.036960,0.186299,9.766173
1764071394328,-0.056264,0.186673,9.801862
1764071394338,-0.040776,0.167519,9.795053
1764071394348,-0.045415,0.119486,9.764378
1764071394358,-0.049081,0.105195,9.771709
1764071394368,-0.041824,0.109759,9.755025
1764071394378,-0.045565,0.177171,9.802161
1764071394388,-0.053645,0.206650,9.770737
1764071394399,-0.034716,0.220117,9.804255
1764071394409,-0.045340,0.205527,9.781586
1764071394419,-0.039504,0.183007,9.788993
1764071394429,-0.056039,0.183830,9.761385
1764071394439,-0.031199,0.189142,9.804405
1764071394449,-0.054992,0.224831,9.791911
1764071394459,-0.041824,0.235679,9.801488
1764071394469,-0.031050,0.237999,9.794380
1764071394479,-0.064569,0.197372,9.794455
1764071394489,-0.041899,0.158990,9.778294
1764071394499,-0.038232,0.184054,9.774478
1764071394509,-0.051401,0.211737,9.799243
1764071394519,-0.035763,0.210316,9.778144
1764071394529,-0.045490,0.199841,9.804481
1764071394539,-0.056114,0.144475,9.765425
1764071394549,-0.041899,0.099135,9.762358
1764071394559,-0.057386,0.120608,9.765650
1764071394569,-0.029853,0.145747,9.768044
1764071394579,-0.031125,0.180613,9.789217
1764071394590,-0.059705,0.200739,9.781586
1764071394600,-0.031199,0.229843,9.811214
1764071394610,-0.029853,0.225878,9.780165
1764071394620,-0.045490,0.191386,9.793482
1764071394630,-0.054992,0.153004,9.772234
1764071394640,-0.044143,0.207996,9.778967
1764071394650,-0.026336,0.263213,9.810915
1764071394660,-0.033369,0.273687,9.784504
1764071394670,-0.051550,0.227524,9.824158
1764071394680,-0.064419,0.183905,9.767220
1764071394690,-0.046762,0.174777,9.802086
1764071394700,-0.022670,0.140884,9.754801
1764071394710,-0.053870,0.072948,9.769465
1764071394720,-0.081253,0.089408,9.749937
1764071394730,-0.046687,0.175824,9.787721
1764071394740,-0.012046,0.224980,9.805528
1764071394750,-0.049006,0.131457,9.767819
1764071394761,-0.071751,0.036811,9.745823
1764071394771,-0.047734,0.072499,9.731382
1764071394781,-0.025139,0.173430,9.784429
1764071394791,-0.039355,0.179191,9.769914
1764071394801,-0.064643,0.180687,9.799617
1764071394811,-0.045415,0.242862,9.806351
1764071394821,-0.034566,0.301221,9.795203
1764071394831,-0.033594,0.390330,9.868526
1764071394841,-0.027234,0.381202,9.790713
1764071394851,-0.043021,0.344541,9.826777
1764071394861,-0.047884,0.271742,9.824981
1764071394871,-0.036960,0.171934,9.760262
1764071394881,-0.056264,0.046612,9.757644
1764071394891,-0.072799,0.011447,9.712379
1764071394901,-0.044442,0.088735,9.788469
1764071394911,-0.026187,0.222287,9.773057
1764071394921,-0.028880,0.283863,9.846977
1764071394932,-0.030900,0.206425,9.755624
1764071394942,-0.059930,0.112602,9.804031
1764071394952,-0.053720,0.015113,9.722479
1764071394962,-0.064643,0.011821,9.751135
1764071394972,-0.044218,0.084695,9.757793
1764071394982,-0.035838,0.186374,9.773655
1764071394992,-0.031125,0.256105,9.819743
1764071395002,-0.034566,0.235380,9.772832
