timestamp,X,Y,Z
1764071392821,-0.000150,0.000300,0.000583
1764071392831,0.000933,-0.000383,-0.000200
1764071392841,-0.000416,-0.000783,0.000333
1764071392851,0.001066,-0.000117,-0.000067
1764071392861,-0.000799,-0.000250,-0.000883
1764071392871,0.000000,0.000017,-0.000350
1764071392881,-0.000266,0.000283,0.000316
1764071392891,0.000799,-0.000916,0.000333
1764071392901,0.000666,0.000966,0.000583
1764071392911,-0.000799,-0.000650,-0.000217
1764071392921,0.000400,-0.000250,0.000316
1764071392931,0.000550,-0.000400,-0.000883
1764071392941,0.000799,0.000017,0.000183
1764071392951,0.000799,-0.000383,-0.000350
1764071392961,0.000533,-0.000250,0.000450
1764071392971,0.000000,0.000017,0.000183
1764071392981,0.000533,-0.000516,0.000983
1764071392992,-0.000133,0.000150,0.000050
1764071393002,0.000533,-0.000650,-0.000466
1764071393012,-0.000533,-0.000650,-0.000200
1764071393022,-0.000666,-0.000383,-0.000200
1764071393032,0.000533,0.000017,0.000200
1764071393042,0.000133,-0.000117,0.000067
1764071393052,0.000117,-0.000233,0.000333
1764071393062,0.000383,-0.000366,0.000466
1764071393072,0.000799,-0.000117,0.000716
1764071393082,-0.000533,-0.000250,0.000183
1764071393092,0.000683,0.000133,-0.001149
1764071393102,-0.000666,-0.000117,-0.000616
1764071393112,-0.000283,0.000383,0.000250
1764071393122,0.000383,0.000250,0.000250
1764071393132,-0.000283,-0.000150,-0.000017
1764071393142,0.000383,-0.000416,0.000650
1764071393152,-0.000816,0.000650,0.000117
1764071393163,0.001582,-0.000416,0.000266
1764071393173,0.000516,0.000117,0.000650
1764071393183,0.001049,-0.000550,0.000533
1764071393193,0.001316,-0.000550,0.000666
1764071393203,0.000366,0.000000,0.001182
1764071393213,0.000650,0.000250,0.000383
1764071393223,0.000117,-0.000550,0.000133
1764071393233,0.000516,-0.000150,-0.000283
1764071393243,0.000117,0.001182,0.000250
1764071393253,0.000516,0.000117,-0.000550
1764071393263,-0.000416,-0.000017,-0.000416
1764071393273,0.000516,0.000516,-0.000816
1764071393283,-0.000949,0.000916,-0.000699
1764071393293,-0.000416,-0.000150,-0.000017
1764071393303,-0.000283,0.000383,0.000516
1764071393313,-0.000683,-0.000816,-0.000283
1764071393323,-0.000017,-0.000283,-0.000816
1764071393333,-0.000283,0.000516,-0.000150
1764071393344,0.000783,0.000250,-0.000283
1764071393354,0.000250,-0.000283,0.000666
1764071393364,0.001299,0.000133,0.001732
1764071393374,0.000366,-0.001083,0.000799
1764071393384,0.000650,-0.000283,0.000266
1764071393394,0.000100,-0.000933,0.000533
1764071393404,0.000500,-0.000133,0.000799
1764071393414,-0.000017,0.000000,0.000266
1764071393424,-0.000150,-0.000683,-0.000799
1764071393434,0.000250,0.000117,-0.000266
1764071393444,-0.000816,-0.000416,-0.000266
1764071393454,-0.001083,0.000383,-0.000550
1764071393464,-0.001216,0.000117,-0.000416
1764071393474,-0.001632,0.000117,0.000117
1764071393484,-0.000150,0.001049,-0.001216
1764071393494,-0.001749,-0.000017,-0.000816
1764071393504,-0.000666,0.000783,-0.001615
1764071393514,-0.000416,-0.000283,-0.000550
1764071393525,0.000783,0.000250,-0.000150
1764071393535,-0.000283,-0.000283,-0.000017
1764071393545,-0.000683,-0.001482,-0.000000
1764071393555,0.001316,-0.000416,0.000799
1764071393565,0.001582,-0.000949,0.000133
1764071393575,0.001582,0.000250,0.000133
1764071393585,0.000500,-0.000949,0.000799
1764071393595,0.001049,0.001332,0.001449
