timestamp,X,Y,Z
1764072542896,-0.028730,0.094272,9.788245
1764072542906,-0.017957,0.120533,9.786898
1764072542916,-0.034641,0.110807,9.770139
1764072542926,-0.031050,0.113276,9.778519
1764072542936,-0.029853,0.123975,9.775974
1764072542946,-0.025064,0.122852,9.778443
1764072542956,-0.027459,0.133552,9.774777
1764072542966,-0.023867,0.121581,9.777246
1764072542976,-0.034566,0.105943,9.769240
1764072542986,-0.031199,0.082376,9.795801
1764072542996,-0.031274,0.070554,9.806650
1764072543006,-0.027533,0.068983,9.774404
1764072543017,-0.028656,0.095170,9.764602
1764072543027,-0.028805,0.105046,9.800365
1764072543037,-0.016460,0.146271,9.743952
1764072543047,-0.045490,0.103923,9.803882
1764072543057,-0.037110,0.082301,9.788245
1764072543067,-0.032546,0.038457,9.812635
1764072543077,-0.037110,0.070255,9.772832
1764072543087,-0.025289,0.077812,9.808745
1764072543097,-0.023792,0.133327,9.758018
1764072543107,-0.025064,0.143054,9.774702
1764072543117,-0.033294,0.146495,9.759066
1764072543127,-0.019154,0.115745,9.784578
1764072543137,-0.029928,0.088137,9.781735
1764072543147,-0.033668,0.070554,9.815330
1764072543157,-0.025289,0.056114,9.799992
1764072543167,-0.029853,0.108412,9.785102
1764072543177,-0.023718,0.159589,9.765574
1764072543187,-0.016460,0.171410,9.754801
1764072543198,-0.024989,0.148964,9.778817
1764072543208,-0.029928,0.091803,9.794828
1764072543218,-0.031274,0.045415,9.800815
1764072543228,-0.028880,0.045340,9.791238
1764072543238,-0.028730,0.079906,9.784953
1764072543248,-0.025139,0.101379,9.783606
1764072543258,-0.020201,0.141707,9.764153
1764072543268,-0.025064,0.134674,9.776124
1764072543278,-0.026187,0.123825,9.765500
1764072543288,-0.029928,0.101379,9.786000
1764072543298,-0.037185,0.074071,9.802984
1764072543308,-0.029928,0.070255,9.782783
1764072543318,-0.028805,0.085967,9.800590
1764072543328,-0.037035,0.107290,9.787123
1764072543338,-0.019154,0.108412,9.778967
1764072543348,-0.033519,0.106168,9.788394
1764072543358,-0.021473,0.114323,9.768119
1764072543369,-0.022745,0.097713,9.777770
1764072543379,-0.034791,0.076465,9.803059
1764072543389,-0.026411,0.087089,9.797073
1764072543399,-0.027533,0.090606,9.785102
1764072543409,-0.025139,0.094122,9.781511
1764072543419,-0.035763,0.119112,9.776423
1764072543429,-0.029928,0.101305,9.787347
1764072543439,-0.027533,0.100108,9.786224
1764072543449,-0.022820,0.093149,9.799467
1764072543459,-0.031125,0.089483,9.789666
1764072543469,-0.028730,0.103774,9.786000
1764072543479,-0.027533,0.097713,9.781212
1764072543489,-0.026411,0.084695,9.787347
1764072543499,-0.022820,0.081104,9.786224
1764072543509,-0.026336,0.101379,9.783606
1764072543519,-0.016759,0.107290,9.781286
1764072543529,-0.039504,0.094197,9.788320
1764072543539,-0.035988,0.069207,9.793407
1764072543550,-0.037260,0.056189,9.800665
1764072543560,-0.025289,0.089633,9.804031
1764072543570,-0.019079,0.121506,9.772758
1764072543580,-0.025064,0.137143,9.785701
