"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.178875020E-3,1.365161133E-1,2.402503967E-1,9.849667511E0
1.324887501E-2,1.255888367E-1,2.288740540E-1,9.819430389E0
2.331887500E-2,1.290316772E-1,2.332150269E-1,9.822424164E0
3.338987503E-2,1.407073975E-1,2.508782959E-1,9.824370117E0
4.345987501E-2,1.411564636E-1,2.549198914E-1,9.823621674E0
5.352987500E-2,1.489402771E-1,2.504292297E-1,9.831555176E0
6.360087500E-2,1.434017944E-1,2.505789185E-1,9.829459534E0
7.367087502E-2,1.181044006E-1,2.399510193E-1,9.840686188E0
8.374087501E-2,1.300794983E-1,2.371069336E-1,9.817334747E0
9.381187501E-2,1.389111328E-1,2.384541321E-1,9.815089417E0
1.038818750E-1,1.359173584E-1,2.448907471E-1,9.831854553E0
1.139518750E-1,1.372645569E-1,2.495310974E-1,9.838740234E0
1.240228750E-1,1.327738953E-1,2.510279846E-1,9.845027161E0
1.340928750E-1,1.384620667E-1,2.492317200E-1,9.834548950E0
1.441628750E-1,1.426533508E-1,2.538720703E-1,9.830806732E0
1.542338750E-1,1.423539734E-1,2.546205139E-1,9.829908600E0
1.643038750E-1,1.398092651E-1,2.558180237E-1,9.830956421E0
1.743738750E-1,1.366658020E-1,2.522254944E-1,9.829010468E0
1.844448750E-1,1.321751404E-1,2.522254944E-1,9.821226654E0
1.945148750E-1,1.299298096E-1,2.480342102E-1,9.832004242E0
2.045848750E-1,1.339714050E-1,2.386038208E-1,9.824519806E0
2.146558750E-1,1.365161133E-1,2.519261169E-1,9.831106110E0
2.247258750E-1,1.359173584E-1,2.457888794E-1,9.813742218E0
2.347958750E-1,1.413061523E-1,2.351609802E-1,9.840835876E0
2.448668750E-1,1.413061523E-1,2.348616028E-1,9.829908600E0
2.549368750E-1,1.420545959E-1,2.351609802E-1,9.822873230E0
2.650068750E-1,1.380130005E-1,2.351609802E-1,9.833650818E0
2.750778750E-1,1.323248291E-1,2.447410583E-1,9.839937744E0
2.851478750E-1,1.389111328E-1,2.362088013E-1,9.835746460E0
2.952178750E-1,1.398092651E-1,2.496807861E-1,9.811945953E0
3.052888750E-1,1.375639343E-1,2.523751831E-1,9.826316071E0
3.153588750E-1,1.414558411E-1,2.510279846E-1,9.823771362E0
3.254288750E-1,1.405577087E-1,2.574645996E-1,9.826166382E0
3.354998750E-1,1.463955688E-1,2.516267395E-1,9.823022919E0
3.455698750E-1,2.168989563E-1,2.359094238E-1,9.833052063E0
3.556398750E-1,1.275347900E-1,2.609074402E-1,9.834399261E0
3.657108750E-1,8.457412720E-2,2.639012146E-1,9.823771362E0
3.757808750E-1,1.154100037E-1,2.430944824E-1,9.841135254E0
3.858508750E-1,1.356179810E-1,2.393522644E-1,9.812095642E0
3.959218750E-1,1.372645569E-1,2.436932373E-1,9.833351440E0
4.059918750E-1,1.335223389E-1,2.398013306E-1,9.824968872E0
4.160618750E-1,1.535806274E-1,2.392025757E-1,9.827513580E0
4.261328750E-1,1.919009399E-1,2.237846375E-1,9.827513580E0
4.362028750E-1,1.143621826E-1,2.643502808E-1,9.827663269E0
4.462728750E-1,1.172062683E-1,2.561174011E-1,9.832453308E0
4.563438750E-1,1.082249451E-1,2.540217590E-1,9.820328522E0
4.664138750E-1,1.363664246E-1,2.465373230E-1,9.821226654E0
4.764838750E-1,1.378633118E-1,2.528242493E-1,9.820927277E0
4.865548750E-1,1.339714050E-1,2.469863892E-1,9.835297394E0
4.966248750E-1,1.422042847E-1,2.594105530E-1,9.824070740E0
5.066948750E-1,1.396595764E-1,2.722837830E-1,9.832602997E0
5.167658750E-1,1.360670471E-1,2.630030823E-1,9.827214203E0
5.268358750E-1,1.342707825E-1,2.426454163E-1,9.824220428E0
5.369058750E-1,1.360670471E-1,2.330653381E-1,9.824070740E0
5.469768750E-1,1.456471252E-1,2.285746765E-1,9.815089417E0
5.570468750E-1,1.314266968E-1,2.243833923E-1,9.819430389E0
5.671168750E-1,1.323248291E-1,2.329156494E-1,9.804162140E0
5.771878750E-1,1.357676697E-1,2.523751831E-1,9.834698639E0
5.872578750E-1,1.314266968E-1,2.520758057E-1,9.820777588E0
5.973278750E-1,1.440005493E-1,2.505789185E-1,9.827513580E0
6.073988750E-1,1.859133911E-1,2.311193848E-1,9.817035370E0
6.174688750E-1,1.212478638E-1,2.447410583E-1,9.812694397E0
6.275388750E-1,9.340576172E-2,2.430944824E-1,9.828561401E0
6.376098750E-1,1.309776306E-1,2.308200073E-1,9.819280701E0
6.476798750E-1,1.377136230E-1,2.395019531E-1,9.819580078E0
6.577498750E-1,1.320254517E-1,2.490820312E-1,9.826765137E0
6.678208750E-1,1.333726501E-1,2.610571289E-1,9.823771362E0
6.778908750E-1,1.372645569E-1,2.603086853E-1,9.824220428E0
6.879608750E-1,1.416055298E-1,2.483335876E-1,9.823172607E0
6.980318750E-1,1.425036621E-1,2.451901245E-1,9.824370117E0
7.081018750E-1,1.374142456E-1,2.438429260E-1,9.819580078E0
7.181718750E-1,1.371148682E-1,2.406994629E-1,9.822124786E0
7.282428750E-1,1.381626892E-1,2.480342102E-1,9.807006226E0
7.383128750E-1,1.335223389E-1,2.499801636E-1,9.812245331E0
7.483828750E-1,1.278341675E-1,2.634521484E-1,9.821975098E0
7.584538750E-1,1.365161133E-1,2.504292297E-1,9.822274475E0
7.685238750E-1,1.408570862E-1,2.433938599E-1,9.831405487E0
7.785938750E-1,1.339714050E-1,2.348616028E-1,9.820328522E0
7.886648750E-1,1.338217163E-1,2.240840149E-1,9.811646576E0
7.987348750E-1,1.353186035E-1,2.275268555E-1,9.801767120E0
8.088048750E-1,1.336720276E-1,2.344125366E-1,9.806407471E0
8.188758750E-1,1.314266968E-1,2.381547546E-1,9.814790039E0
8.289458750E-1,1.342707825E-1,2.460882568E-1,9.819280701E0
8.390168750E-1,1.402583313E-1,2.511776733E-1,9.813143463E0
8.490868750E-1,1.368154907E-1,2.486329651E-1,9.815987549E0
8.591568750E-1,1.396595764E-1,2.505789185E-1,9.815538483E0
8.692278750E-1,1.342707825E-1,2.543211365E-1,9.816137238E0
8.792978750E-1,1.362167358E-1,2.507286072E-1,9.819131012E0
8.893678750E-1,1.374142456E-1,2.299218750E-1,9.824669495E0
8.994388750E-1,1.318757629E-1,2.242337036E-1,9.798923035E0
9.095088750E-1,1.300794983E-1,2.368075562E-1,9.802515564E0
9.195788750E-1,1.426533508E-1,2.327659607E-1,9.807604980E0
9.296488750E-1,1.387614441E-1,2.384541321E-1,9.808054047E0
9.397198750E-1,1.392105103E-1,2.504292297E-1,9.817933502E0
9.497898750E-1,1.393601990E-1,2.612068176E-1,9.825268250E0
9.598608750E-1,1.384620667E-1,2.764750671E-1,9.821076965E0
9.699308750E-1,1.410067749E-1,2.511776733E-1,9.811347198E0
9.800006250E-1,1.362167358E-1,2.429447937E-1,9.808652802E0
9.900716250E-1,1.317260742E-1,2.380050659E-1,9.801467743E0
1.000141625E0,1.332229614E-1,2.404000854E-1,9.808054047E0
1.010211625E0,1.434017944E-1,2.450404358E-1,9.810748444E0
1.020282625E0,1.327738953E-1,2.598596191E-1,9.824968872E0
1.030352625E0,1.386117554E-1,2.589614868E-1,9.821975098E0
1.040422625E0,1.432521057E-1,2.577639771E-1,9.817185059E0
1.050493625E0,1.398092651E-1,2.535726929E-1,9.815538483E0
1.060563625E0,1.360670471E-1,2.356100464E-1,9.818681946E0
1.070633625E0,1.312770081E-1,2.362088013E-1,9.809850311E0
1.080704625E0,1.327738953E-1,2.324665833E-1,9.806257782E0
1.090774625E0,1.318757629E-1,2.493814087E-1,9.816286926E0
1.100844625E0,1.305285645E-1,2.633024597E-1,9.810598755E0
1.110915625E0,1.315763855E-1,2.633024597E-1,9.800419922E0
1.120985625E0,1.434017944E-1,2.579136658E-1,9.812544708E0
1.131055625E0,1.353186035E-1,2.520758057E-1,9.807305603E0
1.141126625E0,1.375639343E-1,2.496807861E-1,9.808203735E0
1.151196625E0,1.372645569E-1,2.457888794E-1,9.812694397E0
1.161266625E0,1.242416382E-1,2.517764282E-1,9.818981323E0
1.171337625E0,1.366658020E-1,2.522254944E-1,9.818831635E0
1.181407625E0,1.296304321E-1,2.520758057E-1,9.812095642E0
1.191477625E0,1.378633118E-1,2.438429260E-1,9.811347198E0
