"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.178875020E-3,9.032157250E-4,6.736412179E-4,-2.090125345E-4
1.324887501E-2,-1.405412331E-4,-2.026910195E-3,-8.910519537E-4
2.331887500E-2,-4.185750149E-4,-2.465872094E-4,6.102817133E-5
3.338987503E-2,-2.400742378E-3,-8.283788338E-4,-2.144424245E-3
4.345987501E-2,3.738142550E-5,-1.337841386E-3,5.206011701E-4
5.352987500E-2,1.075454056E-4,4.104366526E-4,4.948652349E-5
6.360087500E-2,7.128822617E-4,-2.164307749E-3,-2.024849644E-3
7.367087502E-2,-1.707275864E-3,-2.963809762E-3,1.625229139E-3
8.374087501E-2,-1.376245171E-3,-2.316730097E-4,3.053664695E-4
9.381187501E-2,-7.554134354E-4,8.274468128E-4,-1.442767913E-3
1.038818750E-1,-6.052111275E-4,-3.779289313E-3,-5.791049916E-4
1.139518750E-1,-1.556986012E-3,-3.361683339E-4,6.783474237E-4
1.240228750E-1,8.238800801E-4,1.350944280E-3,-1.081469469E-3
1.340928750E-1,4.582041875E-4,-6.232538726E-4,2.655243734E-3
1.441628750E-1,1.217737328E-3,-9.273868054E-4,-9.682532400E-4
1.542338750E-1,3.497116268E-5,1.853059512E-4,-4.061805084E-4
1.643038750E-1,2.038157545E-4,-2.007541014E-3,-8.392103482E-4
1.743738750E-1,1.803511754E-3,3.415622283E-3,1.654869295E-3
1.844448750E-1,9.297286160E-4,5.575445946E-3,1.126327552E-4
1.945148750E-1,2.171620727E-4,2.054144861E-3,2.081813291E-4
2.045848750E-1,2.087499946E-3,3.884002799E-3,1.311262604E-3
2.146558750E-1,9.986776859E-4,8.404743858E-4,-1.559150871E-3
2.247258750E-1,-5.739186890E-4,1.100132591E-3,1.479354687E-4
2.347958750E-1,-3.113583662E-4,2.880059183E-4,3.788061207E-3
2.448668750E-1,-2.120177727E-3,-8.702029008E-4,2.074849792E-3
2.549368750E-1,1.726501621E-3,-6.135702133E-4,1.421230962E-3
2.650068750E-1,-5.754968151E-5,-2.167592756E-4,-3.899848089E-4
2.750778750E-1,-1.817008480E-3,-3.531880211E-4,-1.527341083E-3
2.851478750E-1,-3.892877139E-4,1.923281932E-3,4.018691834E-3
2.952178750E-1,-1.021493226E-3,1.560171368E-3,1.534317271E-3
3.052888750E-1,-1.343940385E-4,6.424461026E-4,2.120579593E-4
3.153588750E-1,8.610785007E-4,1.637744834E-3,3.388535697E-4
3.254288750E-1,-2.678353339E-4,1.491004718E-3,1.445663278E-3
3.354998750E-1,5.377917551E-4,-2.263737842E-4,-4.162421450E-3
3.455698750E-1,-5.642245524E-4,-6.602026988E-4,-7.596567273E-3
3.556398750E-1,-1.496640965E-3,-3.409671364E-3,-5.329594947E-3
3.657108750E-1,-1.778434962E-4,4.439225886E-4,-1.697198022E-4
3.757808750E-1,-1.326333266E-3,7.056887262E-5,1.686413307E-3
3.858508750E-1,-1.494823955E-4,-4.396929871E-4,6.757676601E-6
3.959218750E-1,-4.314272664E-4,-1.090277918E-3,-1.459401567E-3
4.059918750E-1,1.040235627E-3,1.134793158E-3,-1.044214703E-3
4.160618750E-1,1.265960746E-4,1.589128398E-3,-3.853583243E-3
4.261328750E-1,-1.838816795E-3,-1.527302666E-3,-5.114323925E-3
4.362028750E-1,-2.971970942E-3,1.521289232E-3,-2.252331469E-4
