timestamp,X,Y,Z
1764087874304,-0.117356,-0.40416,9.868828
1764087874314,-0.102088,-0.417632,9.890832
1764087874324,-0.101788,-0.433499,9.878258
1764087874334,-0.087119,-0.416584,9.884096
1764087874344,-0.104483,-0.396974,9.873917
1764087874354,-0.108824,-0.416883,9.886641
1764087874364,-0.118254,-0.42781,9.883647
1764087874374,-0.094304,-0.425415,9.88679
1764087874384,-0.099842,-0.40371,9.873618
1764087874394,-0.104932,-0.404758,9.871073
1764087874404,-0.107626,-0.421523,9.878707
1764087874414,-0.108674,-0.427661,9.883048
1764087874424,-0.108375,-0.40401,9.876761
1764087874435,-0.102237,-0.400567,9.882898
1764087874445,-0.092807,-0.414039,9.881851
1764087874455,-0.095501,-0.427361,9.883048
1764087874465,-0.104782,-0.424068,9.869726
1764087874475,-0.100441,-0.398172,9.87751
1764087874485,-0.101938,-0.410446,9.862541
1764087874495,-0.102237,-0.426613,9.881851
1764087874505,-0.105081,-0.41359,9.881551
1764087874515,-0.111817,-0.406704,9.873767
1764087874525,-0.104932,-0.411943,9.878408
1764087874535,-0.101489,-0.425715,9.880354
1764087874545,-0.093705,-0.417033,9.892928
1764087874555,-0.099393,-0.410446,9.893975
1764087874565,-0.109273,-0.409249,9.889036
1764087874575,-0.093406,-0.429457,9.876162
1764087874585,-0.094454,-0.424368,9.886491
1764087874595,-0.096699,-0.414937,9.889335
1764087874605,-0.099842,-0.396525,9.878857
1764087874615,-0.10119,-0.416733,9.875264
1764087874625,-0.105531,-0.42796,9.883198
1764087874635,-0.101938,-0.415536,9.8823
1764087874645,-0.102986,-0.403411,9.881701
1764087874655,-0.106578,-0.415686,9.889634
1764087874665,-0.100142,-0.417781,9.864187
1764087874675,-0.101339,-0.419727,9.887389
1764087874685,-0.095352,-0.411195,9.886042
1764087874695,-0.103136,-0.404309,9.884695
1764087874705,-0.095501,-0.418979,9.874067
1764087874715,-0.098944,-0.426313,9.888437
1764087874726,-0.104183,-0.406854,9.876611
1764087874736,-0.096998,-0.419428,9.884844
1764087874746,-0.0964,-0.423619,9.889485
1764087874756,-0.102237,-0.421823,9.87736
1764087874766,-0.098795,-0.416883,9.880803
1764087874776,-0.100741,-0.410596,9.877809
1764087874786,-0.103285,-0.415386,9.880503
1764087874796,-0.108674,-0.421823,9.886042
1764087874806,-0.102986,-0.412692,9.89188
1764087874816,-0.100591,-0.412093,9.880354
1764087874826,-0.097747,-0.415835,9.878408
1764087874836,-0.104183,-0.423619,9.873318
1764087874846,-0.096998,-0.421673,9.881402
1764087874856,-0.101938,-0.411794,9.885892
1764087874866,-0.102387,-0.405806,9.885144
1764087874876,-0.106578,-0.421673,9.877959
1764087874886,-0.091011,-0.426912,9.88694
1764087874896,-0.098046,-0.417182,9.882749
1764087874906,-0.101788,-0.414488,9.884395
1764087874916,-0.103585,-0.418829,9.886192
1764087874926,-0.097747,-0.41853,9.881851
1764087874936,-0.104632,-0.421523,9.884395
1764087874946,-0.099992,-0.416135,9.887389
1764087874956,-0.11526,-0.416434,9.869426
1764087874966,-0.105081,-0.425116,9.874815
1764087874976,-0.104333,-0.421823,9.882449
1764087874986,-0.098196,-0.412093,9.878707
1764087874996,-0.103585,-0.414638,9.871073
1764087875006,-0.099693,-0.411794,9.874815
1764087875017,-0.100591,-0.426912,9.879456
1764087875027,-0.101339,-0.416284,9.883797
1764087875037,-0.099842,-0.415985,9.876611
1764087875047,-0.103285,-0.419727,9.888437
1764087875057,-0.10104,-0.417931,9.887239
1764087875067,-0.097747,-0.419577,9.885293
1764087875077,-0.110919,-0.413889,9.871522
1764087875087,-0.111518,-0.417182,9.880054
1764087875097,-0.10104,-0.424368,9.878857
1764087875107,-0.092208,-0.418979,9.878408
1764087875117,-0.10119,-0.412093,9.876611
1764087875127,-0.100291,-0.409548,9.87272
1764087875137,-0.104632,-0.420027,9.882
1764087875147,-0.099393,-0.417332,9.876761
1764087875157,-0.102537,-0.417781,9.881402
1764087875167,-0.102986,-0.411494,9.889485
1764087875177,-0.090562,-0.41823,9.87721
1764087875187,-0.098795,-0.41853,9.880952
1764087875197,-0.101489,-0.411345,9.876462
1764087875207,-0.101788,-0.413889,9.880054
1764087875217,-0.11077,-0.41344,9.88679
1764087875227,-0.096549,-0.418081,9.895173
1764087875237,-0.106728,-0.416733,9.880952
1764087875247,-0.097597,-0.402363,9.89188
1764087875257,-0.088466,-0.414937,9.878707
1764087875267,-0.095801,-0.423769,9.880204
1764087875277,-0.105381,-0.415536,9.879007
1764087875287,-0.094454,-0.420775,9.875863
1764087875297,-0.108075,-0.41853,9.88694
1764087875308,-0.099393,-0.411345,9.884545
1764087875318,-0.091609,-0.416584,9.880354
1764087875328,-0.099543,-0.411794,9.886341
1764087875338,-0.102986,-0.414039,9.885144
1764087875348,-0.095651,-0.413291,9.882449
1764087875358,-0.106429,-0.424218,9.881851
1764087875368,-0.094603,-0.41853,9.883946
1764087875378,-0.097747,-0.411494,9.875414
1764087875388,-0.107626,-0.414189,9.891431
1764087875398,-0.098795,-0.420925,9.874666
1764087875408,-0.0964,-0.416584,9.880354
1764087875418,-0.107177,-0.414488,9.869726
1764087875428,-0.10089,-0.409249,9.880354
1764087875438,-0.095651,-0.411045,9.879905
1764087875448,-0.103435,-0.417033,9.884096
1764087875458,-0.100291,-0.419877,9.880354
1764087875468,-0.093256,-0.407153,9.886491
1764087875478,-0.10089,-0.417182,9.876462
1764087875488,-0.09595,-0.424368,9.876611
