timestamp,X,Y,Z
1764087830409,-0.082029,-0.005838,9.921368
1764087830419,-0.084574,-0.002245,9.863738
1764087830429,-0.068108,-0.006886,9.90146
1764087830439,-0.086221,0.003143,9.884844
1764087830449,-0.070054,-0.008682,9.900562
1764087830459,-0.079485,-0.004341,9.884695
1764087830469,-0.077239,-0.008532,9.882449
1764087830479,-0.072749,0.00015,9.885742
1764087830489,-0.078886,-0.001198,9.88694
1764087830499,-0.077389,-0.003742,9.893826
1764087830509,-0.078287,-0.005089,9.881851
1764087830519,-0.082778,-0.002096,9.89188
1764087830529,-0.077688,0.00015,9.890233
1764087830539,-0.079485,-0.003742,9.879156
1764087830549,-0.074395,-0.012424,9.887988
1764087830559,-0.073946,-0.013023,9.896969
1764087830569,-0.082478,-0.001048,9.895323
1764087830579,-0.082329,-0.005688,9.893826
1764087830589,-0.076042,-0.000449,9.889036
1764087830599,-0.076641,0.000748,9.893826
1764087830609,-0.077988,-0.007185,9.899514
1764087830619,-0.085323,-0.006137,9.890982
1764087830629,-0.077688,-0.007784,9.883946
1764087830639,-0.073198,-0.0,9.887688
1764087830649,-0.077539,-0.004191,9.886192
1764087830659,-0.082628,-0.002096,9.886491
1764087830669,-0.081431,-0.008083,9.887389
1764087830679,-0.073647,-0.011676,9.89188
1764087830690,-0.072599,-0.002694,9.895023
1764087830700,-0.075892,-0.007484,9.889485
1764087830710,-0.074695,-0.00943,9.894724
1764087830720,-0.070653,0.002395,9.88215
1764087830730,-0.067061,-0.004341,9.897718
1764087830740,-0.080383,-0.002096,9.893227
1764087830750,-0.076491,-0.000898,9.887688
1764087830760,-0.079335,-0.012574,9.890533
1764087830770,-0.079485,-0.002694,9.889485
1764087830780,-0.082778,0.00015,9.884695
1764087830790,-0.079036,-0.001347,9.89637
1764087830800,-0.074844,-0.002844,9.892928
1764087830810,-0.077688,-0.003143,9.884395
1764087830820,-0.068258,-0.000898,9.884695
1764087830830,-0.083975,-0.000299,9.885144
1764087830840,-0.080832,-0.002844,9.888736
1764087830850,-0.077239,-0.005988,9.893377
1764087830860,-0.080982,0.00015,9.887239
1764087830870,-0.076341,-0.006736,9.893826
1764087830880,-0.083077,-0.00015,9.885593
1764087830890,-0.08158,-0.006586,9.889634
1764087830900,-0.074246,-0.003293,9.893526
1764087830910,-0.073946,-0.001347,9.896221
1764087830920,-0.082928,-0.001647,9.888587
1764087830930,-0.077389,0.000898,9.890533
1764087830940,-0.069905,-0.001946,9.884994
1764087830950,-0.08652,-0.002694,9.891281
1764087830960,-0.084125,-0.006886,9.885293
1764087830970,-0.083676,-0.002694,9.890383
1764087830981,-0.074246,-0.001048,9.887688
1764087830991,-0.080233,-0.005538,9.887838
1764087831001,-0.083377,0.005688,9.895772
1764087831011,-0.084724,-0.002395,9.89158
1764087831021,-0.085622,-0.007634,9.889185
1764087831031,-0.079485,-0.007934,9.892928
1764087831041,-0.077389,0.000599,9.887988
1764087831051,-0.079784,-0.010029,9.886192
1764087831061,-0.073946,-0.002694,9.886341
1764087831071,-0.077239,-0.004491,9.885144
1764087831081,-0.075293,-0.002994,9.899514
1764087831091,-0.074994,-0.003742,9.898616
1764087831101,-0.074545,-0.003593,9.887389
1764087831111,-0.079185,-0.001946,9.89158
1764087831121,-0.073497,-0.007484,9.880653
1764087831131,-0.079036,-0.000748,9.877659
1764087831141,-0.075443,-0.000599,9.888437
1764087831151,-0.079634,-0.001347,9.900113
1764087831161,-0.083826,-0.004491,9.886341
1764087831171,-0.075892,-0.009281,9.893826
1764087831181,-0.080383,0.001497,9.884695
1764087831191,-0.075443,-0.002844,9.897568
1764087831201,-0.074545,-0.003293,9.888437
1764087831211,-0.088316,-0.007484,9.892628
1764087831221,-0.07679,-0.008532,9.888437
1764087831231,-0.071701,-0.000748,9.88709
