timestamp,X,Y,Z
1764087830409,0.000923,0.008848,-0.010853
1764087830419,0.002574,0.008978,-0.008338
1764087830429,0.000299,0.007858,-0.012059
1764087830439,-0.001538,0.004932,-0.009653
1764087830449,-0.001441,0.007152,-0.010725
1764087830459,0.002958,0.008354,-0.009857
1764087830469,0.000636,0.006622,-0.012236
1764087830479,-0.001332,0.007728,-0.011258
1764087830489,-0.003352,0.007652,-0.010117
1764087830499,-0.000758,0.008348,-0.012893
1764087830509,0.000255,0.004877,-0.011637
1764087830519,-0.00126,0.006953,-0.013075
1764087830529,0.002384,0.006045,-0.008834
1764087830539,0.000129,0.009356,-0.009498
1764087830549,0.000603,0.006697,-0.010804
1764087830559,0.001803,0.005347,-0.008357
1764087830569,0.000705,0.007641,-0.008005
1764087830579,0.000284,0.00855,-0.010711
1764087830589,0.00256,0.009171,-0.008107
1764087830599,0.001277,0.006566,-0.011043
1764087830609,0.00026,0.009106,-0.012326
1764087830619,0.002398,0.005156,-0.011973
1764087830629,0.000195,0.008374,-0.012342
1764087830639,0.002822,0.007112,-0.011629
1764087830649,0.000781,0.007969,-0.008064
1764087830659,0.002007,0.006155,-0.009939
1764087830669,-0.000636,0.008402,-0.012819
1764087830679,0.001176,0.005813,-0.01098
1764087830689,-0.001482,0.006531,-0.009266
1764087830700,0.002218,0.00888,-0.011266
1764087830710,-0.000509,0.004972,-0.00931
1764087830720,-0.002039,0.007146,-0.011777
1764087830730,0.001504,0.00677,-0.009172
1764087830740,0.000018,0.006731,-0.01204
1764087830750,-0.000422,0.007582,-0.011541
1764087830760,0.00168,0.008474,-0.011948
1764087830770,-0.000973,0.006878,-0.010911
1764087830780,0.002097,0.00527,-0.012362
1764087830790,0.001761,0.005508,-0.010782
1764087830800,0.001997,0.005079,-0.01108
1764087830810,0.00143,0.009066,-0.010204
1764087830820,-0.00285,0.004521,-0.010349
1764087830830,-0.003465,0.008093,-0.011899
1764087830840,-0.001052,0.007646,-0.008909
1764087830850,0.000854,0.006959,-0.009493
1764087830860,-0.00041,0.007245,-0.011196
1764087830870,0.001104,0.00761,-0.011069
1764087830880,0.002527,0.006732,-0.009344
1764087830890,0.001244,0.007445,-0.010413
1764087830900,0.001229,0.007895,-0.01007
1764087830910,0.000601,0.005353,-0.009229
1764087830920,-0.002086,0.008219,-0.010914
1764087830930,-0.000191,0.006112,-0.011569
1764087830940,0.002214,0.003839,-0.00946
1764087830950,0.001812,0.008853,-0.011652
1764087830960,0.00261,0.007711,-0.010104
1764087830970,-0.000417,0.006697,-0.010421
1764087830980,0.002419,0.004976,-0.008667
1764087830991,0.001316,0.008927,-0.008046
1764087831001,0.00072,0.004692,-0.01059
1764087831011,0.002557,0.006294,-0.010282
1764087831021,0.001401,0.005412,-0.010704
1764087831031,-0.001048,0.007269,-0.011604
1764087831041,0.001578,0.00654,-0.010191
1764087831051,0.002307,0.00628,-0.010845
1764087831061,0.002706,0.007515,-0.010024
1764087831071,-0.001021,0.008512,-0.00987
1764087831081,-0.001484,0.009405,-0.010226
1764087831091,0.002533,0.007901,-0.01292
1764087831101,0.000664,0.008604,-0.010859
1764087831111,0.000544,0.005593,-0.011196
1764087831121,0.002402,0.008124,-0.010589
1764087831131,-0.004326,0.009085,-0.013046
1764087831141,-0.002199,0.00664,-0.009625
1764087831151,0.00347,0.004313,-0.00957
1764087831161,-0.001333,0.007407,-0.009158
1764087831171,0.00075,0.007977,-0.011832
1764087831181,-0.000531,0.006827,-0.011039
1764087831191,0.001556,0.008199,-0.009305
1764087831201,0.000672,0.005745,-0.012103
1764087831211,0.002196,0.009044,-0.011065
1764087831221,-0.000372,0.004768,-0.012286
1764087831231,0.003689,0.007947,-0.011875
1764087831241,0.000623,0.005981,-0.010914
1764087831251,-0.001823,0.006731,-0.009656
1764087831261,-0.004322,0.00761,-0.00715
1764087831271,-0.000908,0.00442,-0.011207
1764087831282,-0.002683,0.00796,-0.013306
1764087831292,0.000045,0.006374,-0.008852
1764087831302,-0.003469,0.006418,-0.011085
1764087831312,-0.001223,0.004884,-0.010732
1764087831322,0.000791,0.007514,-0.008637
1764087831332,0.000154,0.007163,-0.01188
1764087831342,0.001753,0.005408,-0.011575
1764087831352,0.002266,0.008699,-0.010292
1764087831362,0.002321,0.004819,-0.010989
1764087831372,0.000705,0.007306,-0.009897
1764087831382,0.000268,0.007397,-0.010617
1764087831392,-0.001873,0.011186,-0.010687
1764087831402,0.000251,0.008941,-0.012007
1764087831412,-0.002969,0.008559,-0.012195
1764087831422,-0.000044,0.005948,-0.011836
1764087831432,-0.001185,0.003852,-0.008101
1764087831442,-0.002394,0.00878,-0.010046
1764087831452,0.001524,0.009454,-0.01179
1764087831462,-0.000355,0.008653,-0.011134
1764087831472,-0.000567,0.00574,-0.010799
1764087831482,0.000368,0.00778,-0.01026
1764087831492,0.001498,0.006001,-0.012987
1764087831502,-0.001358,0.005131,-0.010629
1764087831512,0.000212,0.006222,-0.011334
1764087831522,0.002307,0.008448,-0.014075
1764087831532,0.001607,0.006923,-0.012107
1764087831542,-0.001368,0.008846,-0.010854
1764087831552,-0.001495,0.008813,-0.011612
1764087831562,-0.000211,0.007349,-0.01128
1764087831573,-0.000268,0.007906,-0.012157
1764087831583,0.000375,0.009266,-0.011189
1764087831593,-0.001514,0.007046,-0.013078
1764087831603,-0.001574,0.006959,-0.011184
1764087831613,-0.00086,0.006599,-0.010908
1764087831623,0.000284,0.007858,-0.011487
1764087831633,-0.000368,0.004962,-0.009294
1764087831643,-0.000658,0.007183,-0.014348
1764087831653,0.003601,0.004811,-0.009257
1764087831663,0.000611,0.008344,-0.010343
1764087831673,0.001162,0.005753,-0.010764
1764087831683,-0.000036,0.006679,-0.009274
1764087831693,0.000225,0.008267,-0.01105
1764087831703,0.000422,0.005961,-0.011187
1764087831713,-0.001028,0.006282,-0.01079
1764087831723,-0.001275,0.006957,-0.010874
1764087831733,0.000513,0.006853,-0.010643
1764087831743,-0.001838,0.006304,-0.009334
1764087831753,-0.002077,0.008881,-0.010328
1764087831763,0.000104,0.0052,-0.008286
1764087831773,0.000954,0.007193,-0.010453
1764087831783,-0.000051,0.004786,-0.008173
1764087831793,0.000497,0.008256,-0.008775
1764087831803,0.002254,0.005082,-0.012707
1764087831813,-0.000146,0.007948,-0.013113
1764087831823,0.000356,0.006349,-0.009931
1764087831833,0.001494,0.0071,-0.009638
1764087831843,-0.001013,0.007553,-0.00723
1764087831853,-0.000688,0.005322,-0.00779
1764087831864,0.000335,0.009556,-0.010595
1764087831874,-0.000265,0.008995,-0.011888
1764087831884,0.000098,0.006395,-0.010885
1764087831894,-0.000729,0.00696,-0.012347
1764087831904,-0.000711,0.006107,-0.011367
1764087831914,0.000001,0.00607,-0.010559
1764087831924,0.000468,0.009295,-0.007242
1764087831934,0.001889,0.00709,-0.011667
1764087831944,-0.001397,0.005376,-0.012198
1764087831954,0.00234,0.006018,-0.012724
1764087831964,-0.000937,0.00802,-0.010599
1764087831974,-0.000518,0.010212,-0.012233
1764087831984,-0.001115,0.008838,-0.010649
1764087831994,-0.000112,0.006904,-0.008593
1764087832004,0.001109,0.009364,-0.011773
1764087832014,0.002489,0.005972,-0.011206
1764087832024,0.001844,0.006567,-0.009235
1764087832034,0.001851,0.0052,-0.010772
1764087832044,0.000024,0.008795,-0.011251
1764087832054,-0.00006,0.006909,-0.010903
1764087832064,-0.001131,0.007035,-0.011464
1764087832074,0.00009,0.007344,-0.011171
1764087832084,-0.00045,0.007808,-0.011894
1764087832094,0.000615,0.008003,-0.010726
1764087832104,0.001493,0.005091,-0.012052
1764087832114,0.001295,0.008147,-0.012896
1764087832124,-0.001325,0.008071,-0.00991
1764087832134,0.000121,0.00531,-0.010224
1764087832144,0.000192,0.005996,-0.012079
1764087832155,0.001292,0.00537,-0.00857
1764087832165,0.001604,0.006502,-0.013309
1764087832175,0.001426,0.009941,-0.01175
1764087832185,-0.00085,0.006644,-0.011829
1764087832195,-0.000427,0.004175,-0.011713
1764087832205,0.002212,0.006216,-0.013728
1764087832215,0.001234,0.007058,-0.011236
1764087832225,-0.001566,0.008912,-0.012078
1764087832235,0.000084,0.007636,-0.011141
1764087832245,0.001846,0.005312,-0.011121
1764087832255,-0.000387,0.005707,-0.01171
1764087832265,-0.000123,0.008206,-0.011304
1764087832275,0.001719,0.004064,-0.012761
1764087832285,0.002591,0.005192,-0.010329
1764087832295,0.001109,0.008649,-0.013054
1764087832305,0.000687,0.008492,-0.008255
1764087832315,-0.002078,0.006127,-0.011271
1764087832325,0.000283,0.007186,-0.011677
1764087832335,0.00015,0.007391,-0.012082
1764087832345,0.000267,0.007495,-0.011454
1764087832355,-0.00005,0.006036,-0.009899
1764087832365,0.001718,0.008965,-0.011118
1764087832375,-0.000711,0.009453,-0.012387
1764087832385,-0.001684,0.007492,-0.011162
1764087832395,-0.000642,0.005737,-0.010553
1764087832405,-0.000945,0.005972,-0.012883
1764087832415,-0.000328,0.005315,-0.011106
1764087832425,-0.000464,0.006893,-0.010516
1764087832435,0.000507,0.006363,-0.013162
1764087832446,-0.002338,0.00572,-0.009521
1764087832456,-0.00105,0.006962,-0.013371
1764087832466,-0.001956,0.00805,-0.013243
1764087832476,0.001189,0.00792,-0.012175
1764087832486,0.000292,0.008532,-0.010938
1764087832496,-0.000422,0.008501,-0.012611
1764087832506,0.000009,0.006413,-0.010074
1764087832516,0.001372,0.00617,-0.012218
1764087832526,-0.001296,0.007383,-0.01245
1764087832536,0.002593,0.008083,-0.010924
1764087832546,0.002063,0.008339,-0.010906
1764087832556,0.002442,0.009631,-0.009286
1764087832566,-0.002457,0.010046,-0.013141
1764087832576,-0.001278,0.005431,-0.011124
1764087832586,0.001676,0.006787,-0.009497
1764087832596,0.000295,0.008462,-0.012175
1764087832606,0.002325,0.008621,-0.01335
1764087832616,-0.001415,0.00729,-0.008254
1764087832626,0.000762,0.009856,-0.011559
1764087832636,0.000188,0.007,-0.011252
1764087832646,0.000141,0.004307,-0.012475
1764087832656,-0.000191,0.008982,-0.011794
1764087832666,0.001819,0.003688,-0.010866
1764087832676,-0.002615,0.00673,-0.010868
1764087832686,0.000358,0.008882,-0.009851
1764087832696,0.001859,0.007343,-0.010059
1764087832706,-0.001817,0.00903,-0.008839
1764087832716,0.00202,0.006758,-0.012111
1764087832726,-0.00221,0.009993,-0.009301
1764087832737,0.0023,0.009999,-0.009462
1764087832747,-0.00055,0.006984,-0.010564
1764087832757,-0.000602,0.005251,-0.008612
1764087832767,-0.000015,0.008485,-0.010344
1764087832777,0.000586,0.006693,-0.011633
1764087832787,-0.00161,0.01042,-0.009746
1764087832797,-0.000064,0.007682,-0.011235
1764087832807,0.002126,0.005957,-0.012302
1764087832817,0.001572,0.004012,-0.009721
1764087832827,0.000482,0.008871,-0.0123
1764087832837,0.000329,0.005046,-0.010841
1764087832847,-0.00366,0.003034,-0.010763
1764087832857,0.004438,0.009695,-0.012219
1764087832867,0.000094,0.009028,-0.010183
1764087832877,0.00115,0.006728,-0.010346
1764087832887,-0.052714,-0.152037,-0.015565
1764087832897,-0.065691,-0.146117,-0.088761
1764087832907,-0.079895,-0.179254,-0.201184
1764087832917,-0.066664,-0.174862,-0.349432
1764087832927,-0.065323,-0.147367,-0.539651
1764087832937,-0.041985,-0.094002,-0.647598
1764087832947,-0.051266,-0.125355,-0.740046
1764087832957,-0.045197,-0.110327,-0.78927
1764087832967,-0.02717,-0.069531,-0.714813
1764087832977,-0.038332,-0.101748,-0.528276
1764087832987,-0.036882,-0.099691,-0.382262
1764087832997,-0.038568,-0.099382,-0.321243
1764087833007,-0.042983,-0.11644,-0.319634
1764087833017,-0.024581,-0.028658,-0.452331
1764087833028,-0.07104,0.007961,-0.439344
1764087833038,-0.180767,0.090442,-0.431023
1764087833048,-0.196166,0.065183,-0.45114
1764087833058,-0.186514,0.073495,-0.466076
1764087833068,-0.2896,0.005848,-0.452657
1764087833078,-0.421521,-0.04609,-0.480691
1764087833088,-0.409298,-0.046147,-0.47741
1764087833098,-0.332071,-0.039346,-0.429983
1764087833108,-0.396369,-0.139133,-0.308266
1764087833118,-0.486154,-0.537661,-0.2288
1764087833128,-0.568713,-0.987771,0.090846
1764087833138,-0.51499,-1.547446,0.223541
1764087833148,-0.286475,-2.908508,0.270538
1764087833158,-0.285631,-4.132636,0.317315
1764087833168,-0.274964,-4.412096,0.193393
1764087833178,-0.243135,-3.789612,0.093463
1764087833188,-0.205789,-2.788684,1.017805
1764087833198,0.229657,-2.302234,3.090048
1764087833208,0.604609,-2.452408,1.521549
1764087833218,-0.136474,0.444691,-1.123395
1764087833228,-1.787419,2.364175,-0.619442
1764087833238,-2.278206,2.25823,-0.862338
1764087833248,-1.495535,1.999858,-0.778651
1764087833258,-0.889629,1.885378,-1.162696
1764087833268,-0.570101,1.927803,-0.661876
1764087833278,-0.152591,1.083194,-0.078307
1764087833288,0.285839,0.500613,0.254885
1764087833298,0.462697,0.197642,0.401919
1764087833308,0.660853,0.11003,0.317612
1764087833319,0.791943,-0.020198,0.196905
1764087833329,1.00477,-0.487747,0.21889
1764087833339,0.76227,0.306448,0.068431
1764087833349,0.829945,0.549512,-0.134048
1764087833359,0.875637,0.57391,-0.116783
1764087833369,0.806028,0.574128,0.032996
1764087833379,0.679237,0.48513,0.11378
1764087833389,0.519045,0.405777,0.210818
1764087833399,0.440628,0.127382,0.326131
1764087833409,0.412732,-0.101432,0.332582
1764087833419,0.279473,0.087662,0.193785
1764087833429,0.12863,0.343421,0.004203
1764087833439,-0.07201,0.43422,-0.094029
1764087833449,-0.284554,0.41808,-0.064361
1764087833459,-0.416622,0.372817,0.033078
1764087833469,-0.389779,0.394117,0.265845
1764087833479,-0.190677,0.172758,0.70502
1764087833489,-0.008771,-0.262574,1.090989
1764087833499,0.16764,-0.439395,1.101957
1764087833509,0.273072,-0.141516,0.866223
1764087833519,0.400491,0.305293,0.525558
1764087833529,0.593734,0.434789,0.297071
1764087833539,0.642847,0.633975,0.370861
1764087833549,0.637338,0.590288,0.479286
1764087833559,0.519108,0.294333,0.586926
1764087833569,0.36268,-0.0872,0.638244
1764087833579,0.156228,-0.186231,0.517335
1764087833589,0.072554,-0.074602,0.262607
1764087833599,0.118088,0.141716,-0.032056
1764087833610,0.198661,0.610047,-0.241651
1764087833620,0.387226,0.822729,-0.270221
1764087833630,0.518887,0.642165,-0.095272
1764087833640,0.572965,0.260237,0.128792
1764087833650,0.617418,-0.087332,0.292443
1764087833660,0.586025,-0.154457,0.367527
1764087833670,0.426517,0.031095,0.270943
1764087833680,0.257916,0.23549,0.077758
1764087833690,0.187955,0.2661,-0.055115
1764087833700,0.120086,0.284343,-0.078296
1764087833710,0.123741,0.235317,-0.019265
1764087833720,0.127071,0.059741,0.088129
1764087833730,0.021967,-0.144908,0.095894
1764087833740,-0.075188,-0.202678,0.028288
1764087833750,-0.029497,-0.229026,-0.103695
1764087833760,0.105233,-0.167686,-0.239723
1764087833770,0.231059,-0.052502,-0.340638
1764087833780,0.274254,0.049909,-0.388843
1764087833790,0.316869,0.080192,-0.319164
1764087833800,0.360635,0.023395,-0.183931
1764087833810,0.311366,-0.003719,-0.065233
1764087833820,0.157682,-0.017514,-0.024345
1764087833830,-0.043559,0.014286,-0.112105
1764087833840,-0.172474,0.124352,-0.220814
1764087833850,-0.187133,0.253009,-0.263582
1764087833860,-0.069742,0.227491,-0.206769
1764087833870,0.080059,-0.010298,-0.092178
1764087833880,0.138531,-0.362622,-0.071415
1764087833890,0.087644,-0.495064,-0.086612
1764087833901,-0.009718,-0.336465,-0.147294
1764087833911,-0.112929,-0.120025,-0.261248
1764087833921,-0.286854,0.0983,-0.351951
1764087833931,-0.459741,0.235714,-0.4334
1764087833941,-0.508391,0.227175,-0.451436
1764087833951,-0.508055,0.141107,-0.374533
1764087833961,-0.529514,0.056582,-0.289851
1764087833971,-0.538336,-0.01453,-0.215966
1764087833981,-0.534256,-0.088364,-0.181433
