timestamp,X,Y,Z
1764087529319,-0.000146,0.002149,-0.009161
1764087529330,0.002615,0.007402,-0.010969
1764087529340,-0.001167,0.006334,-0.01106
1764087529350,0.002148,0.00834,-0.013145
1764087529360,0.002015,0.008015,-0.009741
1764087529370,-0.001288,0.005196,-0.012657
1764087529380,0.000562,0.007496,-0.010559
1764087529390,-0.00086,0.005144,-0.010068
1764087529400,0.002658,0.007793,-0.010487
1764087529410,-0.001976,0.006408,-0.01198
1764087529420,0.001879,0.003929,-0.00964
1764087529430,0.001745,0.008641,-0.011931
1764087529440,-0.001416,0.006381,-0.010613
1764087529450,0.003723,0.00708,-0.008353
1764087529460,-0.000385,0.006386,-0.011548
1764087529470,-0.00125,0.007539,-0.011669
1764087529480,0.00264,0.005761,-0.010877
1764087529490,0.000256,0.006257,-0.011172
1764087529500,-0.000455,0.006404,-0.011565
1764087529510,-0.001054,0.007948,-0.010959
1764087529520,0.00151,0.006515,-0.009921
1764087529530,-0.000275,0.004059,-0.012219
1764087529540,-0.000204,0.006992,-0.01158
1764087529550,0.000839,0.006162,-0.008917
1764087529560,0.001333,0.006587,-0.009278
1764087529570,0.001793,0.008706,-0.012872
1764087529580,0.002319,0.0081,-0.010028
1764087529590,0.003723,0.004949,-0.008884
1764087529600,0.001647,0.004232,-0.009715
1764087529610,0.000753,0.007063,-0.013015
1764087529621,0.002883,0.006329,-0.010938
1764087529631,-0.000426,0.008246,-0.009796
1764087529641,0.00329,0.006739,-0.011221
1764087529651,0.002094,0.007518,-0.009192
1764087529661,-0.001278,0.006701,-0.012264
1764087529671,0.000888,0.008486,-0.009799
1764087529681,-0.000133,0.007983,-0.011619
1764087529691,-0.000892,0.007798,-0.010207
1764087529701,-0.000323,0.008212,-0.011913
1764087529711,0.001945,0.005903,-0.009334
1764087529721,0.001237,0.006187,-0.009991
1764087529731,-0.000085,0.008321,-0.009653
1764087529741,0.001021,0.004065,-0.011861
1764087529751,-0.000937,0.006334,-0.009521
1764087529761,0.001069,0.008144,-0.010716
1764087529771,-0.000512,0.008403,-0.01132
1764087529781,0.000678,0.006013,-0.01023
1764087529791,0.000794,0.00406,-0.008582
1764087529801,0.000124,0.005943,-0.011012
1764087529811,-0.001261,0.004675,-0.009528
1764087529821,-0.000182,0.00915,-0.008366
1764087529831,0.001065,0.006152,-0.011643
1764087529841,0.004733,0.006694,-0.010347
1764087529851,-0.000928,0.006584,-0.010583
1764087529861,-0.000423,0.006213,-0.012357
1764087529871,0.001807,0.008575,-0.010813
1764087529881,-0.001227,0.005385,-0.00928
1764087529891,-0.00159,0.007678,-0.009541
1764087529901,0.002506,0.005377,-0.00977
1764087529911,0.001084,0.009914,-0.011516
1764087529922,0.000803,0.005896,-0.013114
1764087529932,0.000141,0.007111,-0.009236
1764087529942,0.001002,0.004719,-0.012077
1764087529952,-0.0004,0.006394,-0.011503
1764087529962,-0.00125,0.006037,-0.010217
1764087529972,0.001184,0.006076,-0.010697
1764087529982,0.000896,0.008972,-0.01137
1764087529992,-0.000368,0.006652,-0.011461
1764087530002,-0.000508,0.00512,-0.01224
1764087530012,-0.000348,0.007829,-0.011277
1764087530022,0.002542,0.006656,-0.011142
1764087530032,0.001379,0.007322,-0.012288
1764087530042,0.000523,0.007472,-0.009553
1764087530052,-0.000896,0.009817,-0.010944
1764087530062,0.002621,0.006259,-0.010399
1764087530072,-0.000881,0.008608,-0.009809
