timestamp,X,Y,Z
1764061860133,0.001737,0.006824,-0.009384
1764061860143,0.001707,0.006142,-0.011781
1764061860153,-0.001657,0.00609,-0.01333
1764061860163,0.001279,0.006129,-0.01155
1764061860173,0.000333,0.006104,-0.009138
1764061860183,-0.00217,0.007495,-0.010008
1764061860193,0.001781,0.009289,-0.011361
1764061860203,-0.000996,0.004722,-0.010682
1764061860214,0.001244,0.009101,-0.008839
1764061860224,0.001093,0.006222,-0.0118
1764061860234,-0.001271,0.008338,-0.015263
1764061860244,0.000501,0.00908,-0.009585
1764061860254,0.001434,0.008258,-0.008327
1764061860264,-0.001794,0.007865,-0.012187
1764061860274,-0.001468,0.008115,-0.010198
1764061860284,0.002248,0.006744,-0.010713
1764061860294,-0.001378,0.006757,-0.012673
1764061860304,-0.00116,0.008432,-0.009939
1764061860314,-0.00059,0.005947,-0.010179
1764061860324,-0.000197,0.008351,-0.009399
1764061860334,0.000606,0.006629,-0.01004
1764061860344,0.005805,0.006922,-0.010824
1764061860354,-0.008027,0.00529,-0.00675
1764061860364,0.008267,0.006751,0.00056
1764061860374,0.003247,0.002373,-0.000389
1764061860384,-0.007818,0.015623,-0.00898
1764061860394,0.003026,0.004607,-0.007387
1764061860404,0.010784,0.018328,-0.012774
1764061860414,-0.000221,0.006311,-0.010329
1764061860424,-0.004847,0.006218,-0.009976
1764061860434,0.008802,0.020953,-0.008828
1764061860444,-0.00205,0.002977,-0.009595
1764061860454,-0.005242,0.005687,-0.010763
1764061860464,0.003925,0.007071,-0.018265
1764061860474,0.007146,0.016401,-0.00991
1764061860484,0.000158,0.005142,-0.005887
1764061860495,-0.001897,0.005794,-0.012216
1764061860505,-0.008773,0.003416,-0.010905
1764061860515,0.002191,0.007086,-0.010171
1764061860525,-0.002088,0.005437,-0.010072
1764061860535,-0.000056,0.006113,-0.01248
1764061860545,0.00406,0.011465,-0.012003
1764061860555,0.007167,0.009608,-0.008953
1764061860565,-0.01198,-0.000734,-0.011164
1764061860575,-0.003628,0.005079,-0.017525
1764061860585,0.003502,0.009163,-0.009458
1764061860595,0.004566,0.006755,-0.005309
1764061860605,-0.000669,0.007397,-0.015126
1764061860615,0.009038,0.011366,-0.014149
1764061860625,-0.005291,0.00545,-0.007808
