timestamp,X,Y,Z
1764087319552,-0.137564,0.0241,9.89188
1764087319562,-0.167801,0.041015,9.851164
1764087319573,-0.178728,0.030986,9.935589
1764087319583,-0.140707,0.046853,9.82452
1764087319593,-0.180225,0.011975,9.940529
1764087319603,-0.129331,0.021106,9.848919
1764087319613,-0.153431,0.026495,9.898466
1764087319623,-0.167651,0.041763,9.855505
1764087319633,-0.165107,0.034428,9.893077
1764087319643,-0.157473,0.03383,9.872121
1764087319653,-0.152982,0.030986,9.88709
1764087319663,-0.150287,0.034728,9.881701
1764087319673,-0.153281,0.04326,9.8823
1764087319683,-0.163161,0.047002,9.881102
1764087319693,-0.155078,0.035027,9.88694
1764087319703,-0.149389,0.028591,9.882749
1764087319713,-0.144749,0.025447,9.889185
1764087319723,-0.152533,0.02889,9.883647
1764087319733,-0.159269,0.035027,9.876312
1764087319743,-0.162263,0.036524,9.883647
1764087319753,-0.15388,0.02889,9.87751
1764087319763,-0.1443,0.029638,9.875863
1764087319773,-0.151635,0.029189,9.882449
1764087319783,-0.152832,0.03862,9.879306
1764087319793,-0.155527,0.039368,9.894275
1764087319803,-0.161065,0.03353,9.879156
1764087319813,-0.150138,0.032333,9.883797
1764087319823,-0.147743,0.028141,9.884844
1764087319833,-0.152682,0.036823,9.880054
1764087319843,-0.157622,0.038769,9.890982
1764087319853,-0.15867,0.044008,9.883946
1764087319863,-0.147743,0.037871,9.880204
1764087319874,-0.150587,0.031435,9.887239
1764087319884,-0.151784,0.030986,9.882749
1764087319894,-0.159568,0.028291,9.884844
1764087319904,-0.158071,0.039069,9.877959
1764087319914,-0.161664,0.03832,9.886042
1764087319924,-0.148192,0.035776,9.873169
1764087319934,-0.148791,0.029489,9.880204
1764087319944,-0.158221,0.034728,9.878707
1764087319954,-0.162712,0.040416,9.8823
1764087319964,-0.157173,0.036674,9.889185
1764087319974,-0.156425,0.035476,9.877809
1764087319984,-0.148491,0.024549,9.885892
1764087319994,-0.156425,0.026345,9.87721
1764087320004,-0.157323,0.037272,9.880653
1764087320014,-0.163011,0.035177,9.880653
1764087320024,-0.154329,0.030387,9.880803
1764087320034,-0.14894,0.037722,9.883647
1764087320044,-0.147892,0.033381,9.879755
1764087320054,-0.155676,0.039518,9.883048
1764087320064,-0.163909,0.044008,9.888437
